dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
../test_data\Abalone_1_preprocessed.csv,0.2,RF[100],"[4.670553470560077, 4.685861925287356, 4.429964145524175, 4.886730842911877, 4.876739779798947, 4.394349904214559, 4.761508903781715, 4.551501005747127, 4.325667975107708, 4.947192911877394, 4.5948315940641455, 4.511978304597701, 4.808749688846338, 4.629921312260536, 4.649492628051699, 4.583332040229885, 4.7305300622307325, 4.617597509578545, 4.66448745811393, 4.6547930555555554, 5.022612158927717, 4.343589846743295, 4.55921795117281, 4.629201245210727, 4.600881187170895, 4.7101750957854405, 4.750861991383437, 4.506906704980843, 4.797044040210627, 4.44691709770115, 4.704117807563427, 4.588019540229886, 4.442892101483964, 4.810502442528735, 4.475988319770225, 4.829021120689656, 4.37584131163236, 4.912824712643678, 5.073052608903781, 4.308918582375479, 4.6491403542364775, 4.5176598659003835, 4.723761177596936, 4.4782875, 4.89916041168023, 4.384727586206896, 4.610306414552418, 4.543015421455938, 4.60080426041168, 4.708086302681993, 4.749220057443754, 4.515635632183908, 4.5539380564863565, 4.569531800766283, 4.588926950694113, 4.647258189655172, 4.713755241742461, 4.687014559386973, 4.494505313547152, 4.615113026819923, 4.340107515557683, 4.6990083812260535, 4.789469411201532, 4.4157567049808435, 4.894732695069411, 4.495908764367815, 4.792526759214936, 4.368653927203066, 4.467774581139301, 4.730744683908046, 4.819873240785065, 4.43806403256705, 4.716249305887985, 4.778958141762452, 4.511847103877453, 4.79481245210728, 4.583717999042605, 4.619373132183909, 4.8652729535663, 4.296161637931035, 4.595995452369554, 4.726822365900383, 4.37776984202968, 4.905769731800766, 4.72017237912877, 4.599687116858237, 4.942581187170895, 4.398649521072797, 4.51580402106271, 4.776286973180077, 4.586882288176161, 4.454702250957854, 4.7826015318334125, 4.355170641762452, 4.542895595978937, 4.627322892720307, 4.249200239348971, 4.9882525383141765, 4.283765725227381, 4.907748132183908]",4.629,0.183
../test_data\Abalone_1_preprocessed.csv,0.2,RF[200],"[4.670646110579225, 4.612593390804598, 4.405464420775491, 4.901546551724138, 4.8455693034944955, 4.430399856321839, 4.760598875059837, 4.563066415229885, 4.290808999521302, 4.9303252035440615, 4.581829439923408, 4.523601233237549, 4.793917759693634, 4.592528651819923, 4.632003554332216, 4.579722198275863, 4.698537649593106, 4.565712308429118, 4.635056498324557, 4.605487440134099, 4.983375502632838, 4.333933357279694, 4.537339600287218, 4.6486547892720305, 4.584737505983724, 4.71971400862069, 4.722978793681187, 4.498814511494253, 4.759023037338439, 4.450811218869732, 4.6857839157491625, 4.555610021551724, 4.38207032072762, 4.774690768678161, 4.4290988989947335, 4.805503759578544, 4.366270368597415, 4.893286254789272, 5.044062015318334, 4.286898204022989, 4.662082407850646, 4.452445929118774, 4.6816714217328865, 4.485764643199234, 4.8775899832455725, 4.387425957854407, 4.604708425083772, 4.509135177203065, 4.567894255624701, 4.672008010057471, 4.708911022020105, 4.491237895114942, 4.56945221397798, 4.5158904094827585, 4.587351663475347, 4.599199784482758, 4.670307922450934, 4.650367947796935, 4.464333066060316, 4.5750730603448275, 4.316800538535184, 4.701087619731801, 4.801473180947822, 4.400780890804597, 4.851921601244615, 4.468521527777777, 4.802003075634274, 4.3414328783524905, 4.449580923887027, 4.721839655172413, 4.814203135471517, 4.417931836685824, 4.675552465294399, 4.68772956178161, 4.4687189923408335, 4.763666906130269, 4.568836871708952, 4.581632902298851, 4.857039552417425, 4.30659991618774, 4.57897114648157, 4.707345977011494, 4.349701974629008, 4.913596958812261, 4.7124650789851605, 4.573578603927203, 4.927492029679272, 4.346695809386973, 4.506709238870272, 4.735673359674329, 4.605148958831977, 4.424445617816093, 4.767322989468645, 4.378492720306513, 4.508127369554811, 4.62881397270115, 4.1921553853518425, 4.962558500957854, 4.263371900430828, 4.903686374521073]",4.608,0.183
../test_data\Abalone_1_preprocessed.csv,0.2,RF[500],"[4.675499676400192, 4.5899594367816094, 4.395491797032073, 4.911696706896551, 4.824617259932982, 4.3787386034482765, 4.749610665390138, 4.543924093869732, 4.2663537673528005, 4.897238022988506, 4.566617905217807, 4.5243714846743295, 4.781667280038295, 4.556907450191571, 4.614321947343226, 4.593908007662836, 4.678886483484922, 4.520226042145594, 4.615164457635232, 4.592223423371647, 4.9902008980373385, 4.308116260536399, 4.51990358831977, 4.676806505747126, 4.574061955002393, 4.699318593869731, 4.69834310004787, 4.482071216475096, 4.760988440402106, 4.427657055555555, 4.693259927237913, 4.561260438697318, 4.3863218592628055, 4.758295354406131, 4.426355249401627, 4.762494770114943, 4.372064329344184, 4.8874067203065135, 5.024475860220201, 4.2676635, 4.642772907611297, 4.443717850574713, 4.696824714217328, 4.476169992337165, 4.855397531833414, 4.374394578544061, 4.612830064145524, 4.515798461685823, 4.537409761608425, 4.689110270114942, 4.700559584490187, 4.502310356321839, 4.557940448061274, 4.536731630268199, 4.547476536141694, 4.5868257911877395, 4.644175207276208, 4.635731739463601, 4.454374772618477, 4.562334835249042, 4.320560605074198, 4.688984239463601, 4.790453064624221, 4.40564224329502, 4.812233776926759, 4.423604141762452, 4.774853280995692, 4.325840275862069, 4.43914531163236, 4.697174492337164, 4.79275590234562, 4.4120827796934865, 4.635956597415031, 4.679527180076628, 4.461113106749641, 4.732825044061303, 4.566388919100048, 4.600455434865901, 4.850608936333174, 4.28163946743295, 4.549501418860699, 4.684347503831418, 4.32993710674964, 4.879997011494253, 4.662868880804213, 4.551764011494253, 4.95054711153662, 4.3436451264367815, 4.472652972714217, 4.7165978659003835, 4.590261520344662, 4.415012335249042, 4.747459624700814, 4.383202747126438, 4.51198728386788, 4.620273057471265, 4.190067509813308, 4.961545113026819, 4.249196744853998, 4.90203879310345]",4.595,0.183
../test_data\Abalone_1_preprocessed.csv,0.2,RF[md10],"[4.666371538623958, 4.648686912704006, 4.425914086572306, 4.895630214040022, 4.86792347882258, 4.37866034336721, 4.756200916993629, 4.529844683094037, 4.293387809640649, 4.9551415387669815, 4.598180138916669, 4.507731310790657, 4.822683472281097, 4.656831800010584, 4.648440937281587, 4.586636619371341, 4.730704569475372, 4.587652941320668, 4.692759089755208, 4.660681333421349, 5.029700864085193, 4.328290431067189, 4.577319474017777, 4.671666080139035, 4.6152215773195175, 4.718762190183074, 4.746120530678665, 4.5024516231227585, 4.800585518900037, 4.4454396928207, 4.724009434084662, 4.58335763133518, 4.423772780948865, 4.776301786174158, 4.481079253684582, 4.806205107814215, 4.395878438670305, 4.951848264561123, 5.087941519790129, 4.289516986568764, 4.6621904211857235, 4.540736440862045, 4.73692634660434, 4.45887291532616, 4.886318452954451, 4.396730808558795, 4.628566939194353, 4.537050038719481, 4.612493740070218, 4.736738258505619, 4.735536476382883, 4.536676755080846, 4.5953516375656855, 4.550013891036213, 4.597898850851779, 4.654144986518869, 4.689963188887449, 4.691390622336707, 4.507974790014627, 4.62143874305914, 4.360978867612506, 4.709075415558686, 4.808964661160268, 4.4093457482376754, 4.8779428385343, 4.507292291620342, 4.80794523997377, 4.366968044909078, 4.482962819821117, 4.7454308855898475, 4.806272426243552, 4.422318018361389, 4.699251610176135, 4.762079277254825, 4.516918746496809, 4.801164753085468, 4.571958181467326, 4.579178462523178, 4.844510189519706, 4.302238133356695, 4.5603537050797796, 4.707927504154278, 4.360818841246786, 4.901693806320217, 4.707544262098627, 4.646405999018836, 4.954826211809381, 4.416919914211221, 4.528028460707207, 4.7836837723857375, 4.610306339379002, 4.461859882461037, 4.7960904788960494, 4.383345778598531, 4.547623663096419, 4.624110041346458, 4.242396865997142, 4.990966425699168, 4.288367484430037, 4.910900676540283]",4.630,0.184
../test_data\Abalone_1_preprocessed.csv,0.2,RF[md15],"[4.67435557548462, 4.670776546694385, 4.421879438546881, 4.886135308114774, 4.866989135376593, 4.401849434163032, 4.758832992768041, 4.547141228007615, 4.314631086460844, 4.959548858834294, 4.59654927818948, 4.515172970231987, 4.816913469917739, 4.635955728965221, 4.656258582891437, 4.5738855806590735, 4.730358648359511, 4.616919668826307, 4.683425019449245, 4.63856351273397, 5.021227386703633, 4.350260001144549, 4.5498617956183445, 4.625829523193146, 4.604041743889344, 4.712226819932231, 4.756281258516741, 4.5146524118784965, 4.786681954303127, 4.457305523702033, 4.698707712474435, 4.590402066696502, 4.430022496130118, 4.806714109095632, 4.480037039245815, 4.823057389386059, 4.373034780291995, 4.909185958629265, 5.078572223876625, 4.295822454118064, 4.651429829553129, 4.521461736975811, 4.7204506747391966, 4.480572545357105, 4.910380331315482, 4.37020095254009, 4.58379202543177, 4.543359684089023, 4.613307257154555, 4.7204260415418995, 4.736077472202272, 4.53044609196229, 4.555763157768347, 4.57710889398202, 4.585968459194898, 4.649490927218726, 4.708637011804013, 4.675013245510012, 4.502742687253941, 4.628625760181853, 4.3374593402041555, 4.694979011181273, 4.787403625557673, 4.412121042044704, 4.880519465340183, 4.494548846901716, 4.7919994788249385, 4.3595708260528365, 4.466777911802855, 4.738509266696534, 4.800832664962268, 4.421837715832562, 4.719876088092473, 4.782971983631062, 4.509141634306182, 4.802585162463033, 4.588817728879354, 4.5978559228653495, 4.85872310912224, 4.30135876763218, 4.592478181331659, 4.715526134510066, 4.366861803494442, 4.913575193220819, 4.7083448970942605, 4.591615186168817, 4.933878282631052, 4.41214689669811, 4.527244110605928, 4.759361554369513, 4.586024962432566, 4.445715811239489, 4.775541298849074, 4.372900900906346, 4.556435362258135, 4.60368958190725, 4.247574758481692, 4.9911902587866, 4.315308570601807, 4.903379153429188]",4.628,0.182
../test_data\Abalone_1_preprocessed.csv,0.2,RF[md20],"[4.6696135475706075, 4.690205888037462, 4.429964145524175, 4.8890976010471245, 4.8769020412212125, 4.392406509418902, 4.761508903781715, 4.550211198016201, 4.323299516403817, 4.94889191156354, 4.595053650071805, 4.510890160415484, 4.806728127350977, 4.629515061836996, 4.6500665343332805, 4.582762794688047, 4.730622439587133, 4.617840078378702, 4.66448745811393, 4.652253178103271, 5.021968855522978, 4.344762940905706, 4.560911941786278, 4.629803412569179, 4.60014744536195, 4.705438009031622, 4.754934314181067, 4.509258758713814, 4.7961081765198665, 4.4441807597647935, 4.703227526737851, 4.59280185970015, 4.442892101483964, 4.812075415043635, 4.477947062542074, 4.826534437702522, 4.37579917275012, 4.912409306493572, 5.073238473020052, 4.310032539248138, 4.646179536759455, 4.5172778682418055, 4.726771605575741, 4.475861367407756, 4.898942831232381, 4.383910547147722, 4.610266635758783, 4.546598240900383, 4.599323707515557, 4.708836094871172, 4.750069481776097, 4.516461645349226, 4.5556428768748995, 4.5679129429178635, 4.589548130418596, 4.650395674482549, 4.714360969790198, 4.68612998989976, 4.494927155470455, 4.618628454927628, 4.344074353757779, 4.697022524277251, 4.789402265836923, 4.414939250957854, 4.895932122341516, 4.496997984634148, 4.792038890108006, 4.367909076404877, 4.468480056247008, 4.726182900517127, 4.819523892034075, 4.4385043331271286, 4.715324286317784, 4.778527217919239, 4.5126021305666395, 4.789982805289416, 4.583504271049412, 4.620030925104637, 4.86598709645302, 4.29502479994287, 4.597646061692196, 4.722841142254642, 4.378530969123983, 4.905278393287924, 4.719390314344981, 4.598079043796645, 4.943410753736232, 4.397230005617349, 4.51785771478797, 4.777392643199233, 4.5887201175764885, 4.453314004629629, 4.78400347199617, 4.3564411029294385, 4.543664360938248, 4.625817134993057, 4.246223939138898, 4.988223355018093, 4.285551107826711, 4.907951037675607]",4.629,0.183
../test_data\Abalone_1_preprocessed.csv,0.2,RF[md25],"[4.670553470560077, 4.685861925287356, 4.429964145524175, 4.886730842911877, 4.876739779798947, 4.394349904214559, 4.761508903781715, 4.551501005747127, 4.325667975107708, 4.947192911877394, 4.5948315940641455, 4.511978304597701, 4.808749688846338, 4.629921312260536, 4.649492628051699, 4.583332040229885, 4.7305300622307325, 4.617597509578545, 4.66448745811393, 4.6547930555555554, 5.022612158927717, 4.343589846743295, 4.55921795117281, 4.629201245210727, 4.600881187170895, 4.7101750957854405, 4.750861991383437, 4.506906704980843, 4.797044040210627, 4.44691709770115, 4.704117807563427, 4.588019540229886, 4.442892101483964, 4.810502442528735, 4.4743923867488595, 4.829021120689656, 4.37584131163236, 4.912824712643678, 5.073052608903781, 4.308918582375479, 4.6491403542364775, 4.5176598659003835, 4.7237372426998565, 4.4782875, 4.89916041168023, 4.384727586206896, 4.610306414552418, 4.543015421455938, 4.60080426041168, 4.708086302681993, 4.749220057443754, 4.515635632183908, 4.5539380564863565, 4.569531800766283, 4.588926950694113, 4.648572078544061, 4.713755241742461, 4.687014559386973, 4.494505313547152, 4.615113026819923, 4.340107515557683, 4.6990083812260535, 4.789469411201532, 4.4157567049808435, 4.894732695069411, 4.495908764367815, 4.792526759214936, 4.368653927203066, 4.467774581139301, 4.730744683908046, 4.819873240785065, 4.43806403256705, 4.716249305887985, 4.778958141762452, 4.511847103877453, 4.79481245210728, 4.583717999042605, 4.619373132183909, 4.8652729535663, 4.296161637931035, 4.595995452369554, 4.726822365900383, 4.37776984202968, 4.905769731800766, 4.72017237912877, 4.599687116858237, 4.942581187170895, 4.398649521072797, 4.51580402106271, 4.776286973180077, 4.586882288176161, 4.454702250957854, 4.7826015318334125, 4.355170641762452, 4.542895595978937, 4.626291189069818, 4.249200239348971, 4.9882525383141765, 4.283765725227381, 4.907748132183908]",4.629,0.183
../test_data\Abalone_1_preprocessed.csv,0.2,RF[mss3],"[4.695707484442317, 4.667043690120796, 4.415671120977608, 4.886357435903576, 4.860360136628371, 4.402569403296615, 4.760271700242009, 4.556852581337804, 4.280557761275996, 4.973322256971052, 4.602628147904367, 4.528331533657939, 4.854690116855486, 4.628844941331417, 4.670996835553959, 4.5816567815825895, 4.750533565953939, 4.6060011103262015, 4.6881283082282845, 4.636317152857599, 5.031348903276422, 4.359794431486803, 4.545088531580767, 4.651499011999786, 4.62502256697782, 4.686721496075457, 4.754085707302803, 4.487344045232013, 4.777621798268709, 4.431603777378672, 4.707579153130153, 4.5816299600893995, 4.4136521120419125, 4.795771186741699, 4.449162000359024, 4.809015468630268, 4.401096135684272, 4.9003196283391866, 5.060563932277539, 4.300507672573436, 4.650262911467475, 4.540134273866539, 4.7483275088958035, 4.461823682564389, 4.917135460334556, 4.3677428514793535, 4.600469748258071, 4.568991830034057, 4.615443328160736, 4.7144010819098545, 4.7275495700095735, 4.519682863879061, 4.581983411986064, 4.536943403695722, 4.5804503352082335, 4.654641100135696, 4.69208795740918, 4.697410834091635, 4.504509538388915, 4.628254558854832, 4.358858068241051, 4.676418986470306, 4.8000031396734215, 4.404828197012026, 4.90756740394128, 4.508904568792571, 4.796970255292272, 4.3638537612547905, 4.481020391614807, 4.727744790256493, 4.803546975014627, 4.442363766735845, 4.70404356617999, 4.7656690701628355, 4.508048121522791, 4.791309315267135, 4.585987000319132, 4.6033102818353555, 4.853415489122919, 4.297872633128459, 4.566777790210628, 4.705453595226692, 4.360833006967714, 4.8969038478873985, 4.7167691988724005, 4.62406305918742, 4.946128095207701, 4.415165496354832, 4.54010347786022, 4.780900164378458, 4.622046623743418, 4.464529081244678, 4.785199482713685, 4.374667684027777, 4.533675753018456, 4.643108152964027, 4.227995420775491, 5.001688674369412, 4.303662810994096, 4.900183692542039]",4.629,0.183
../test_data\Abalone_1_preprocessed.csv,0.2,RF[mss4],"[4.67742325911073, 4.675830004843572, 4.429780835314611, 4.878003721134318, 4.867486232447742, 4.388151494931354, 4.743996708297648, 4.576472694295391, 4.2859827924003175, 4.962665638701554, 4.598465038152009, 4.509268997214403, 4.810303389016163, 4.632595576229246, 4.66460254588906, 4.610106889687101, 4.730422200680814, 4.600230235778523, 4.707095409860689, 4.609575039671136, 5.042476804677943, 4.369199856733977, 4.568730576538482, 4.643867088069391, 4.616231467440127, 4.704068920005853, 4.7593246190761125, 4.5104136400422234, 4.804479653609666, 4.431728394616468, 4.721405758027959, 4.581893645660388, 4.423033737952768, 4.774117223855027, 4.473988563004139, 4.826555947517561, 4.380443312603052, 4.921388369811622, 5.084369911680231, 4.292559728219401, 4.654283725320462, 4.528678941145168, 4.731189992937849, 4.468408928844015, 4.884581478744346, 4.390291312173656, 4.609654474934843, 4.559673944989889, 4.6061486866921975, 4.711131660623062, 4.740477125950747, 4.537930618991418, 4.591729490811659, 4.519555292469494, 4.582418625884261, 4.61156894630341, 4.714063683583374, 4.689072146528918, 4.509393734187771, 4.633226255986591, 4.353487208260199, 4.698904622451152, 4.810278650070719, 4.403883373729512, 4.893000633036508, 4.506018542837378, 4.821538783522153, 4.371737173791116, 4.476658748037176, 4.733133708200298, 4.812770089693449, 4.412166982140143, 4.726666083597105, 4.7766777390778, 4.497246592486668, 4.807323500269871, 4.578912570445667, 4.6044869742131365, 4.838122850646243, 4.295830825840458, 4.558607090682052, 4.725520269027582, 4.364697261834476, 4.9065528388540285, 4.702141204231972, 4.605023809520279, 4.941618897079942, 4.40915530897212, 4.5399113654210215, 4.776611384272563, 4.6176475755146, 4.471266262613107, 4.77810925942769, 4.381129017343191, 4.529001101782744, 4.619413744071782, 4.206855516721185, 4.990746575684344, 4.30969839479283, 4.911584560384739]",4.629,0.184
../test_data\Abalone_1_preprocessed.csv,0.2,RF[mss6],"[4.67731428935048, 4.664614676142312, 4.420394883987037, 4.876316761840363, 4.883525831679533, 4.389778832962124, 4.74701174171916, 4.544839389866808, 4.307603089975825, 4.955930548951309, 4.598532238159823, 4.52803496356632, 4.799625128217598, 4.627149011766192, 4.649469980079558, 4.608815884688524, 4.723761849567061, 4.597046395888244, 4.684447963376449, 4.6575166707753555, 5.006000488774468, 4.358404508382244, 4.568228410348833, 4.631517106975093, 4.60537496204285, 4.697987863928949, 4.732221081557785, 4.497871383459675, 4.8019390129056365, 4.4301626721023215, 4.702473023174336, 4.5556163343437595, 4.424134768112299, 4.803211274143832, 4.441141487897878, 4.8271325615090745, 4.405311379431415, 4.909127165469115, 5.097692744486456, 4.274891284592762, 4.661228143522039, 4.53556577065765, 4.721417241017931, 4.456957437443331, 4.900301474591823, 4.375935087995256, 4.5997832133768535, 4.558864100363787, 4.623503926549663, 4.732555734902615, 4.725013520113469, 4.505368356075112, 4.581294291234011, 4.5414519081270575, 4.59344473914417, 4.639814587703092, 4.695510188057425, 4.677905894608745, 4.527421543606161, 4.628050936467612, 4.356414829881769, 4.7162088365164605, 4.807837655052083, 4.409799900228131, 4.891822230930817, 4.457583492779695, 4.813124313143912, 4.3569680233222865, 4.47617511999799, 4.713255297669539, 4.813791904647001, 4.428753386732714, 4.707144365741797, 4.758972693872069, 4.477934782787989, 4.808380874977216, 4.57070099967327, 4.599118519745906, 4.881674463386392, 4.31001139338316, 4.5639451463994805, 4.707605634905183, 4.367613660206484, 4.896334796485194, 4.703625487948472, 4.590304970868904, 4.9403793324633565, 4.427160741738173, 4.546657634257925, 4.766710658020984, 4.625035313156287, 4.457644003094128, 4.762444820000047, 4.370390052125197, 4.539775305169486, 4.631780579096119, 4.230128357883714, 5.014497565203128, 4.287175473235588, 4.900169781602355]",4.627,0.184
