dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
../test_data\Energy_Efficiency_242_preprocessed.csv,0.2,RF[100],"[1.0501036276041689, 0.8536329560937501, 1.243984565260413, 0.8971766935677113, 0.8010123628906247, 1.0787233880989555, 1.3092217257031253, 1.087546999869789, 1.367381894140622, 0.8804307696875008, 1.177167831666665, 0.792408213541667, 2.007110883046882, 0.614580839973956, 1.197840399973953, 0.8399797449739563, 0.869211222447916, 1.388801156354165, 1.0577842955729135, 1.0016846202343743, 0.8562391810156251, 1.1801931657552085, 1.5968483678906253, 1.0040571054687513, 1.1024550747395911, 1.3677788960937463, 1.1374312576822903, 0.773887456406248, 1.1357620114322986, 0.9721957809635411, 1.5109549501822939, 1.1833138019270824, 1.148212921588539, 0.9346493329687492, 1.304637438177085, 1.078096391666661, 1.2989456198177103, 0.9890014312239512, 1.0687147403124955, 1.1037592774739602, 1.0225668252864555, 1.2656397551562535, 0.7734276779166662, 1.0392922943229133, 0.7865945160416651, 1.9854459556510389, 1.147379937317709, 1.0949630788802047, 1.1676266036458331, 1.0026340464843628, 1.4742308500520844, 0.8003646853645817, 1.1040311547135422, 1.0606260197395814, 1.571507127786459, 0.7458564255468754, 1.23025588359375, 0.8502629369010407, 1.2399272356250015, 1.210856174401043, 0.7432091915624955, 1.236789652057295, 1.4158745395572871, 1.0660536385156274, 0.9402188988541642, 1.0217497412239551, 1.2945582040624968, 0.7165072277604206, 1.276858632838545, 0.8628782814322866, 0.7253680940885433, 2.063587372734372, 1.0446128380208368, 1.126936877864579, 1.7085648033333314, 1.0658514692447894, 0.9168782014843769, 1.1973223921354148, 0.992655867916658, 1.225319136380205, 1.5210247002864563, 0.7794913403125001, 1.3652870737239633, 0.7458392044531239, 1.0768288000781212, 0.9322541973697884, 0.9336077242187489, 1.1378365940624997, 0.8790704804947923, 1.6612851094010448, 1.319510334895831, 0.748743764661454, 0.8103562227083353, 1.6924179445052057, 1.062601018177082, 1.2203205460677091, 1.017686166041669, 1.2163516621354111, 1.0834733459375003, 1.0082760167447935]",1.117,0.281
../test_data\Energy_Efficiency_242_preprocessed.csv,0.2,RF[200],"[0.9961349771549463, 0.8430413879231796, 1.1325529759374948, 0.8616870780729196, 0.7596652980273427, 1.0594561662695376, 1.224518450403653, 1.1441437309505271, 1.353725836770843, 0.7787872914388053, 1.1488517141341144, 0.8230641185351564, 1.9350757887109407, 0.6800053148111918, 1.1602029586458398, 0.8217203108854143, 0.8470407436263084, 1.3149847803646002, 1.040173793600264, 0.9475281900455741, 0.9099546859895887, 1.2134113007747422, 1.512340067467452, 0.9744329972916684, 1.0982718726888099, 1.3535318738216178, 1.1310945341080731, 0.7728387702473928, 1.1323073709505194, 0.9598960831705874, 1.4159605979362064, 1.2020494586263053, 1.160457566992195, 0.9062353149934955, 1.2999441871223991, 1.033634648632827, 1.2726343429166678, 0.9577959081770824, 1.0100337037174512, 1.101957257682296, 1.0379818109700516, 1.232732046035159, 0.7877423107096339, 1.0293376396224005, 0.8368592495312441, 2.045376645657567, 1.1667286271419304, 1.0122322880794263, 1.082697307031246, 1.0083832706380107, 1.4590261924544439, 0.7800891979752588, 1.1324921340169292, 1.1199486713281253, 1.5510238251953201, 0.7419421358723991, 1.2758336868815154, 0.8209002336197889, 1.1967560980598992, 1.091813141829435, 0.7390618496419235, 1.2683550245117283, 1.308936433893221, 1.1066781107161567, 0.9158688990624971, 0.9653524466601597, 1.2608105800390652, 0.7593465575976607, 1.3408970566601583, 0.8048193015950527, 0.7254562500130225, 2.0182090675911506, 1.0028411076367276, 1.146434246523435, 1.7311754348958355, 1.0156441652473882, 0.8647293495963574, 1.1642996210807357, 1.012085360768225, 1.2227898161002706, 1.546767351243485, 0.7924525319791759, 1.3442261728385525, 0.713870345162764, 1.0201893058268359, 1.00476295817057, 0.8998158270963591, 1.0811823053906273, 0.8347296392447962, 1.5342067175846357, 1.3578203956575505, 0.8054171339908892, 0.7923538268685002, 1.600963181100263, 1.0162532433854208, 1.1703892770182363, 0.9218582845117204, 1.1819193286393272, 1.0759152687369795, 1.0414487103906318]",1.098,0.273
../test_data\Energy_Efficiency_242_preprocessed.csv,0.2,RF[500],"[1.0021965840333442, 0.8277278684531183, 1.121971781514583, 0.8712084013562628, 0.765697889554175, 1.1298677270906292, 1.1261691447145992, 1.0554821205624922, 1.2740598388791737, 0.7801799209895801, 1.1724640100677222, 0.832219037938545, 1.9893147409989413, 0.7086738991052041, 1.1239049179937617, 0.8326549339864778, 0.7912819340822991, 1.3474439824448023, 1.0249847495146005, 0.9360532516552095, 0.8680244321260625, 1.2143138369604232, 1.4512829327281118, 0.9824427290135533, 1.1267081196646036, 1.387333154978144, 1.117425371088544, 0.7806067368020958, 1.148367316537495, 0.9462268635031353, 1.3236814548802351, 1.1408264318093535, 1.1089938123343668, 0.9454296648218977, 1.2723811974083559, 1.0280319342260658, 1.2572810699635129, 0.8948259805906607, 1.01460441373128, 1.198004374177082, 0.9711093113739659, 1.1993082917739721, 0.8127933214323037, 1.0311708147166851, 0.8360426263614569, 1.9842945457750052, 1.1153399645854136, 0.9486515556968862, 1.0447066807447805, 0.9886229138708537, 1.5017477287468795, 0.7321023460614605, 1.1151182044958285, 1.096512202679178, 1.600795328302094, 0.7356873868489657, 1.2931632846333159, 0.8007541609114647, 1.197925385037483, 1.1128101253896023, 0.7266822267812412, 1.253432488733326, 1.2434274472197997, 1.1160963261187427, 0.8982706131500101, 0.9989634160166673, 1.2659881342625146, 0.7338380128208143, 1.3838585850822878, 0.7594598797375313, 0.6682368672010431, 2.0015381064458437, 0.9820039999510315, 1.1077866304260855, 1.7471825097929494, 0.9505458226052146, 0.8381221144052197, 1.1748940119135394, 1.0384382483687815, 1.1911829992531315, 1.5134551198260304, 0.7882087179812483, 1.246466256255198, 0.7087333301572917, 1.0016306418604293, 0.9903375448156294, 0.9114960318281403, 1.0769933466937653, 0.814297063860403, 1.5691598311781447, 1.3127955462427023, 0.8440094689333365, 0.7550384316885381, 1.633382049443787, 0.9640189407052099, 1.2708878960624996, 0.9075013925874917, 1.124542057430222, 1.098917407248963, 1.0063526982177369]",1.087,0.276
../test_data\Energy_Efficiency_242_preprocessed.csv,0.2,RF[md10],"[1.0681717956785313, 0.8498163739496526, 1.2389739462566884, 0.8961941971766518, 0.8035011368671586, 1.0810292495829692, 1.302662151025029, 1.0834149615480297, 1.3642476762123819, 0.8787852035347882, 1.1898413435293667, 0.7981414486660882, 2.009716995924485, 0.6188206326803004, 1.199687915771479, 0.8372669080418097, 0.8784000518677662, 1.3838564353228069, 1.0637145882761825, 1.002817888307291, 0.8558695830772572, 1.1801701014547168, 1.598157627519531, 1.0038521014684623, 1.1251069063496526, 1.3701967647403042, 1.1400580640805829, 0.7797477341995926, 1.1390150303088895, 0.9699539619314228, 1.5263598502077935, 1.182844445102719, 1.1403215384512408, 0.9338765365024592, 1.303489152428387, 1.096197033939462, 1.2975138745630808, 0.9708226711747613, 1.0739514936303196, 1.1007075995318596, 1.0135426255570001, 1.263136025886867, 0.7713966039093242, 1.0445569889735211, 0.786068293995224, 1.9731395587494323, 1.144024605555737, 1.0842580994048368, 1.1494403003457758, 0.999840679778815, 1.4751565684447343, 0.8005285319751868, 1.1040173736769388, 1.0572549394249116, 1.5738511277654805, 0.7437064658333338, 1.2103165934825306, 0.8551711048376148, 1.2399280892267084, 1.2188855531824234, 0.7595246034194111, 1.2359866202799512, 1.4068517664308402, 1.065691281171878, 0.9454330983646173, 1.0171849072804504, 1.294576708153209, 0.718222590752319, 1.2902257115283235, 0.8675063610816288, 0.7216219277307596, 2.0635207076396087, 1.0509090111924224, 1.1179052923893191, 1.6961444953942397, 1.0596412042643208, 0.9183232259082924, 1.2036793256287956, 0.9985726045637934, 1.2327279989076938, 1.516336696793256, 0.7776525472152422, 1.3602618202423367, 0.7359254802639169, 1.0857063036639136, 0.9376660348083016, 0.927888143468604, 1.1417637161993632, 0.8791193959469048, 1.6703582315635888, 1.3183117828309439, 0.7452927084982598, 0.804352912333805, 1.693908035501299, 1.062482205891926, 1.2181713121484379, 1.0205746097808182, 1.2132340075962047, 1.08402751635489, 1.0272877686422188]",1.117,0.280
../test_data\Energy_Efficiency_242_preprocessed.csv,0.2,RF[md15],"[1.0501036276041689, 0.8536329560937501, 1.243984565260413, 0.8971766935677113, 0.8010123628906247, 1.0787233880989555, 1.3092217257031253, 1.087546999869789, 1.367381894140622, 0.8804307696875008, 1.177167831666665, 0.792408213541667, 2.007110883046882, 0.614580839973956, 1.197840399973953, 0.8399797449739563, 0.869211222447916, 1.388801156354165, 1.0577842955729135, 1.0016846202343743, 0.8562391810156251, 1.1801931657552085, 1.5968483678906253, 1.0040571054687513, 1.1024550747395911, 1.3677788960937463, 1.1374312576822903, 0.773887456406248, 1.1357620114322986, 0.9721957809635411, 1.5109549501822939, 1.1833138019270824, 1.148212921588539, 0.9346493329687492, 1.304637438177085, 1.078096391666661, 1.2989456198177103, 0.9890014312239512, 1.0687147403124955, 1.1037592774739602, 1.0225668252864555, 1.2656397551562535, 0.7734276779166662, 1.0392922943229133, 0.7865945160416651, 1.9854459556510389, 1.147379937317709, 1.0949630788802047, 1.1676266036458331, 1.0026340464843628, 1.4742308500520844, 0.8003646853645817, 1.1040311547135422, 1.0606260197395814, 1.571507127786459, 0.7458564255468754, 1.23025588359375, 0.8502629369010407, 1.2399272356250015, 1.210856174401043, 0.7432091915624955, 1.236789652057295, 1.4158745395572871, 1.0660536385156274, 0.9402188988541642, 1.0217497412239551, 1.2945582040624968, 0.7165072277604206, 1.276858632838545, 0.8628782814322866, 0.7253680940885433, 2.063587372734372, 1.0446128380208368, 1.126936877864579, 1.7085648033333314, 1.0658514692447894, 0.9168782014843769, 1.1973223921354148, 0.992655867916658, 1.225319136380205, 1.5210247002864563, 0.7794913403125001, 1.3652870737239633, 0.7458392044531239, 1.0768288000781212, 0.9322541973697884, 0.9336077242187489, 1.1378365940624997, 0.8790704804947923, 1.6612851094010448, 1.319510334895831, 0.748743764661454, 0.8103562227083353, 1.6924179445052057, 1.062601018177082, 1.2203205460677091, 1.017686166041669, 1.2163516621354111, 1.0834733459375003, 1.0082760167447935]",1.117,0.281
../test_data\Energy_Efficiency_242_preprocessed.csv,0.2,RF[md20],"[1.0501036276041689, 0.8536329560937501, 1.243984565260413, 0.8971766935677113, 0.8010123628906247, 1.0787233880989555, 1.3092217257031253, 1.087546999869789, 1.367381894140622, 0.8804307696875008, 1.177167831666665, 0.792408213541667, 2.007110883046882, 0.614580839973956, 1.197840399973953, 0.8399797449739563, 0.869211222447916, 1.388801156354165, 1.0577842955729135, 1.0016846202343743, 0.8562391810156251, 1.1801931657552085, 1.5968483678906253, 1.0040571054687513, 1.1024550747395911, 1.3677788960937463, 1.1374312576822903, 0.773887456406248, 1.1357620114322986, 0.9721957809635411, 1.5109549501822939, 1.1833138019270824, 1.148212921588539, 0.9346493329687492, 1.304637438177085, 1.078096391666661, 1.2989456198177103, 0.9890014312239512, 1.0687147403124955, 1.1037592774739602, 1.0225668252864555, 1.2656397551562535, 0.7734276779166662, 1.0392922943229133, 0.7865945160416651, 1.9854459556510389, 1.147379937317709, 1.0949630788802047, 1.1676266036458331, 1.0026340464843628, 1.4742308500520844, 0.8003646853645817, 1.1040311547135422, 1.0606260197395814, 1.571507127786459, 0.7458564255468754, 1.23025588359375, 0.8502629369010407, 1.2399272356250015, 1.210856174401043, 0.7432091915624955, 1.236789652057295, 1.4158745395572871, 1.0660536385156274, 0.9402188988541642, 1.0217497412239551, 1.2945582040624968, 0.7165072277604206, 1.276858632838545, 0.8628782814322866, 0.7253680940885433, 2.063587372734372, 1.0446128380208368, 1.126936877864579, 1.7085648033333314, 1.0658514692447894, 0.9168782014843769, 1.1973223921354148, 0.992655867916658, 1.225319136380205, 1.5210247002864563, 0.7794913403125001, 1.3652870737239633, 0.7458392044531239, 1.0768288000781212, 0.9322541973697884, 0.9336077242187489, 1.1378365940624997, 0.8790704804947923, 1.6612851094010448, 1.319510334895831, 0.748743764661454, 0.8103562227083353, 1.6924179445052057, 1.062601018177082, 1.2203205460677091, 1.017686166041669, 1.2163516621354111, 1.0834733459375003, 1.0082760167447935]",1.117,0.281
../test_data\Energy_Efficiency_242_preprocessed.csv,0.2,RF[md25],"[1.0501036276041689, 0.8536329560937501, 1.243984565260413, 0.8971766935677113, 0.8010123628906247, 1.0787233880989555, 1.3092217257031253, 1.087546999869789, 1.367381894140622, 0.8804307696875008, 1.177167831666665, 0.792408213541667, 2.007110883046882, 0.614580839973956, 1.197840399973953, 0.8399797449739563, 0.869211222447916, 1.388801156354165, 1.0577842955729135, 1.0016846202343743, 0.8562391810156251, 1.1801931657552085, 1.5968483678906253, 1.0040571054687513, 1.1024550747395911, 1.3677788960937463, 1.1374312576822903, 0.773887456406248, 1.1357620114322986, 0.9721957809635411, 1.5109549501822939, 1.1833138019270824, 1.148212921588539, 0.9346493329687492, 1.304637438177085, 1.078096391666661, 1.2989456198177103, 0.9890014312239512, 1.0687147403124955, 1.1037592774739602, 1.0225668252864555, 1.2656397551562535, 0.7734276779166662, 1.0392922943229133, 0.7865945160416651, 1.9854459556510389, 1.147379937317709, 1.0949630788802047, 1.1676266036458331, 1.0026340464843628, 1.4742308500520844, 0.8003646853645817, 1.1040311547135422, 1.0606260197395814, 1.571507127786459, 0.7458564255468754, 1.23025588359375, 0.8502629369010407, 1.2399272356250015, 1.210856174401043, 0.7432091915624955, 1.236789652057295, 1.4158745395572871, 1.0660536385156274, 0.9402188988541642, 1.0217497412239551, 1.2945582040624968, 0.7165072277604206, 1.276858632838545, 0.8628782814322866, 0.7253680940885433, 2.063587372734372, 1.0446128380208368, 1.126936877864579, 1.7085648033333314, 1.0658514692447894, 0.9168782014843769, 1.1973223921354148, 0.992655867916658, 1.225319136380205, 1.5210247002864563, 0.7794913403125001, 1.3652870737239633, 0.7458392044531239, 1.0768288000781212, 0.9322541973697884, 0.9336077242187489, 1.1378365940624997, 0.8790704804947923, 1.6612851094010448, 1.319510334895831, 0.748743764661454, 0.8103562227083353, 1.6924179445052057, 1.062601018177082, 1.2203205460677091, 1.017686166041669, 1.2163516621354111, 1.0834733459375003, 1.0082760167447935]",1.117,0.281
../test_data\Energy_Efficiency_242_preprocessed.csv,0.2,RF[mss3],"[1.104037597262202, 0.8501785008455512, 1.2810098064908646, 0.9727853476769998, 0.8529422857081576, 1.1244098193451366, 1.3589276707303755, 1.1495571566218559, 1.3990687596098257, 0.9141638859973473, 1.2809017281436694, 0.8273768958219984, 2.0402951365284134, 0.6524249155570808, 1.2426316232913024, 0.9129351582378634, 0.9242424950942189, 1.4232386378802946, 1.094141228948015, 1.0292920291976504, 0.8773508874535324, 1.2681668931881869, 1.675466623251998, 1.070555816091037, 1.151767249818347, 1.3854014403453698, 1.174416868940608, 0.8548108798994373, 1.212643600365136, 1.0246258669560933, 1.610656051950752, 1.2736258442797108, 1.2129700590269434, 0.9479635382274912, 1.3675265142338657, 1.17752328420964, 1.3866067728979157, 1.0110741217009067, 1.079708534393214, 1.1754980141626683, 1.0364647392722521, 1.3048182851726053, 0.7781309285101737, 1.0871871998315383, 0.8450921836387449, 1.9838954760593168, 1.2139745726299271, 1.120906312633279, 1.188764263134985, 1.0030091551370741, 1.5715610424263506, 0.8464742155163822, 1.1296044028432057, 1.134094793517059, 1.6151588442198939, 0.8316986634309022, 1.25409680881642, 0.9341897230652689, 1.3244415826259968, 1.2645769542658707, 0.7777836974481014, 1.2711728251080332, 1.4819271290575777, 1.160537518654934, 0.9714451150529336, 1.0673359772029452, 1.3394035656845187, 0.7561949207751244, 1.3103097590561734, 0.8919988037133088, 0.7495108849398159, 2.0630510238149573, 1.1048010787797307, 1.19271206689531, 1.7659303272795939, 1.1384144602154709, 0.9418752720193361, 1.2855242703140695, 1.0482584500050685, 1.2873794956439861, 1.5550824351300643, 0.8367583142236313, 1.3969529153641365, 0.7914382176695174, 1.1035775974982782, 0.9784800383296425, 0.9806816072662836, 1.177896499369626, 0.9106443174783534, 1.734745244817125, 1.3849594383041348, 0.803460215134368, 0.8582520438022239, 1.7268803601913343, 1.068653344843865, 1.2826256470203004, 1.0292460468735547, 1.302421943312216, 1.148098579358477, 1.0220216733840806]",1.165,0.283
../test_data\Energy_Efficiency_242_preprocessed.csv,0.2,RF[mss4],"[1.2394944782734865, 0.9455639607787069, 1.4436533164748997, 1.0118387719081667, 0.9524811001147565, 1.2293185343510435, 1.4545278880783503, 1.2769706732351545, 1.5042975417689366, 1.0101006105825168, 1.4274220689742763, 0.890379223133469, 2.2203550061111472, 0.7074514155886282, 1.3593603552507922, 1.0282819601177005, 0.9950334205155942, 1.5285201799327492, 1.2204991921345805, 1.1523205925913549, 0.9466889985580731, 1.3865489852983293, 1.8025654071230799, 1.2442285425266593, 1.2565932202548769, 1.5413899991996474, 1.2893861381882494, 0.9737070645657874, 1.332268279995145, 1.1158712109962523, 1.8189632386451138, 1.4038677622554936, 1.2738905300224987, 1.1161317669293427, 1.467086840463428, 1.3083548403856, 1.5333535011503432, 1.0906221686503383, 1.2328616906587069, 1.246079412552073, 1.1461628004495177, 1.4076050617970621, 0.8909714111560417, 1.1814726957916828, 0.9343809432729859, 2.1100439018623964, 1.3678675890507446, 1.2152422401330407, 1.292408841481987, 1.0918269415013746, 1.630242112767155, 0.9527428809625063, 1.253355349368945, 1.189177999520921, 1.7627223817615052, 0.9141441090540746, 1.3989261161940505, 1.020456732018584, 1.4133441770363147, 1.4159942488075004, 0.9138160186885447, 1.41551755773303, 1.6173186050421628, 1.2537733962481699, 1.0510214590586564, 1.184006796376252, 1.4809679677030676, 0.855170828495906, 1.4468946240931098, 0.9860132409900818, 0.8583769958125442, 2.2812096258396317, 1.2728665038771163, 1.2929172831580804, 1.8695628041258188, 1.2122118448916857, 1.0404303442817653, 1.4179030712175997, 1.131899467576537, 1.380283781311942, 1.6715809391186405, 0.9748251941638083, 1.4879997652888022, 0.8760213069969925, 1.2665076246238203, 1.1135365683876504, 1.1101237366976417, 1.2423121048863497, 1.0004877643379737, 1.8195684763621305, 1.414242192786156, 0.9435455740446992, 0.9588510407934715, 1.8171076980442065, 1.2083922551408472, 1.444162392144125, 1.1552216690313377, 1.3745831788264367, 1.2579006239635244, 1.1307216274178071]",1.278,0.295
../test_data\Energy_Efficiency_242_preprocessed.csv,0.2,RF[mss6],"[1.633738743497733, 1.2645384110441478, 1.8569014336001046, 1.3975604293537869, 1.2637736076895598, 1.5913034627788962, 2.000356080860003, 1.6638768970394249, 1.903551449106698, 1.3799601395308427, 1.8519531471801745, 1.2849007382490742, 2.6689472944378188, 1.0423850693256669, 1.7931545985901292, 1.391804556093712, 1.3424098219055611, 2.0155996338188764, 1.6433672674955837, 1.4942674769765871, 1.2505489398860608, 1.864238425820707, 2.1750474728931235, 1.6739678858820228, 1.6677426993959095, 2.0576401675697475, 1.7714714332852586, 1.3396868826118924, 1.7711651201391991, 1.4657592001317559, 2.2814646949033843, 1.8146950989912798, 1.6385749938256804, 1.492904273056934, 1.894165664394681, 1.7833916102633072, 2.0097053009249524, 1.3582266016870161, 1.7037657622871734, 1.7169368468436657, 1.5294029367077107, 1.8803135526868557, 1.2288020231781178, 1.5516831183619022, 1.2637104040134557, 2.631024423955306, 1.7861356335954106, 1.5456091521520474, 1.660914150107886, 1.6287768407554406, 2.125919764825993, 1.3122027840321073, 1.7010712030918178, 1.5671949013782278, 2.2527726165046866, 1.2302760773063965, 1.8404479838513812, 1.4160563145336162, 1.860775295226644, 1.8951675847407976, 1.2768705590354064, 1.8385928491952495, 2.044558190015282, 1.7160471084077749, 1.3495882575310685, 1.6527716050767847, 1.9404557406099903, 1.2304440660686724, 1.797940986997509, 1.3891326896561902, 1.276271661571737, 2.798050503491698, 1.5995382001311693, 1.6872674517017845, 2.480344565231396, 1.7228461799280275, 1.390574467625143, 1.8038943215773406, 1.4572768849738116, 1.7521555773108102, 1.9955710851874386, 1.3530154955159874, 1.8822283914323936, 1.3171225304851686, 1.7419790019012964, 1.5069906625991438, 1.5084277956078733, 1.5967145571760373, 1.4306417594856438, 2.349712308922064, 1.8537237912857407, 1.3055516305284194, 1.3084501941028415, 2.266470981889158, 1.5009245044679418, 1.9196412270061092, 1.4799262123694712, 1.894439691323018, 1.6283558905086946, 1.5380055634999439]",1.687,0.337
