dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
../test_data\Student_Performance_320_preprocessed.csv,0.2,RF[100],"[7.776916000000001, 6.836475308641975, 7.974414769230769, 7.201003395061729, 7.68721723076923, 6.987591049382718, 7.02474923076923, 8.076187962962964, 7.407828923076923, 7.784341358024691, 7.3048547692307695, 7.566409567901235, 6.826715999999999, 7.988407716049382, 8.143676, 6.8695308641975315, 7.221328, 8.104791049382715, 7.489557230769231, 7.940657407407408, 7.754400307692307, 6.685737962962962, 7.416471384615386, 7.86208086419753, 7.215828307692308, 8.053895987654322, 6.71214, 8.236407407407405, 6.349990153846154, 8.833879012345678, 7.2367310769230775, 7.544991975308642, 6.832517230769231, 7.532806790123456, 7.446267692307693, 6.6325320987654335, 7.241617230769232, 7.276891666666665, 6.652584307692307, 7.746090432098765, 7.538653538461539, 7.548513271604939, 7.843111692307694, 7.20798827160494, 6.794013846153847, 7.820793518518519, 6.857750769230768, 8.122916666666667, 7.057296307692307, 7.772253086419753, 8.111455692307693, 6.651415432098767, 6.569584307692308, 8.052827469135803, 6.490428923076923, 8.31985401234568, 6.862287384615385, 7.875311728395061, 6.668246769230769, 7.794432407407407, 7.49631753846154, 7.646619753086419, 7.365245538461538, 7.754514814814814, 7.654354461538463, 6.984967901234567, 7.234959076923077, 7.5112515432098785, 8.93657076923077, 5.8820200617283955, 7.17253076923077, 7.460655864197531, 8.926483076923079, 6.118175, 6.919985846153845, 7.865087654320988, 6.948755692307691, 7.389084259259259, 6.830671384615384, 8.320395679012346, 7.952588615384616, 6.8602648148148155, 7.52569076923077, 7.838352160493828, 7.5440119999999995, 7.2010305555555565, 7.7396910769230765, 7.631352777777777, 7.2079200000000005, 7.054404938271604, 6.774220307692308, 8.583916049382715, 6.822357538461539, 8.236198148148148, 8.19525323076923, 6.7391154320987665, 5.969655384615385, 8.77510185185185, 6.238299384615385, 8.82973950617284]",7.436,0.646
../test_data\Student_Performance_320_preprocessed.csv,0.2,RF[200],"[7.646522384615387, 6.829860725308642, 7.889051076923076, 7.200588425925926, 7.664905153846155, 6.9494591049382715, 6.923158384615385, 7.875306327160494, 7.387716538461538, 7.68164938271605, 7.11386176923077, 7.4249739969135815, 6.7501296153846155, 7.920538503086419, 8.023356153846155, 6.843194521604938, 7.315452999999999, 8.04701149691358, 7.480054923076923, 7.92214861111111, 7.759630153846154, 6.663508024691358, 7.370940461538463, 7.677402623456789, 7.252683, 8.087333333333333, 6.614602846153847, 8.21999351851852, 6.251049923076922, 8.794774845679013, 7.143681384615384, 7.5430137345679, 6.707270923076923, 7.724511574074074, 7.427630384615385, 6.668690277777778, 7.251973615384617, 7.121609490740741, 6.629536692307692, 7.617100925925926, 7.483108615384615, 7.452092592592593, 7.6741969999999995, 7.303356327160494, 6.740943846153845, 7.761364429012346, 6.827887461538461, 8.036024074074074, 7.008938923076923, 7.608391435185185, 7.92857223076923, 6.694489814814814, 6.4725002307692305, 8.173203780864197, 6.449402153846154, 8.144000540123457, 6.8058281538461545, 7.710515895061729, 6.652035461538461, 7.825466975308641, 7.478589307692307, 7.554947299382716, 7.195799769230769, 7.542201311728394, 7.614103153846154, 6.948044135802469, 7.286099153846155, 7.497988580246916, 8.678632692307692, 5.882273765432099, 7.245074307692308, 7.422042283950619, 8.936704769230769, 6.15389861111111, 6.991665, 7.765543209876544, 6.842820230769231, 7.454237885802468, 6.853418307692307, 8.270041589506173, 7.803058999999999, 6.681546604938272, 7.408667846153847, 7.763212268518516, 7.626199769230768, 7.02332075617284, 7.675442153846154, 7.380584567901233, 7.156022999999999, 7.122670679012346, 6.6729354615384615, 8.434010879629628, 6.756552923076923, 8.09671651234568, 8.019504461538462, 6.625335339506173, 5.876718615384616, 8.760835725308642, 6.173151692307693, 8.777235185185186]",7.376,0.632
../test_data\Student_Performance_320_preprocessed.csv,0.2,RF[500],"[7.610481255384617, 6.788515061728395, 7.826782769230768, 7.20594324691358, 7.681446904615385, 6.929991975308642, 6.811196073846154, 7.941448481481482, 7.146790843076922, 7.6609709629629625, 7.1456654646153845, 7.427342074074075, 6.67531712, 7.885797814814815, 7.993943778461539, 6.881667123456792, 7.430615323076924, 8.074961308641976, 7.39918576, 7.899254333333333, 7.860715187692307, 6.689124234567902, 7.512448775384616, 7.641917382716049, 7.235287064615385, 8.044108382716049, 6.752255064615385, 8.165720123456788, 6.134223913846154, 8.806816370370369, 7.075708590769231, 7.520048938271606, 6.718874756923078, 7.716181493827161, 7.464032664615384, 6.758688160493827, 7.2533607138461536, 7.143274456790124, 6.605809489230769, 7.501268716049384, 7.344827840000001, 7.401179283950617, 7.656263064615383, 7.305546777777778, 6.753983298461539, 7.682845024691359, 6.82609332923077, 7.968420679012345, 6.955386843076923, 7.670384580246914, 7.924263335384617, 6.678258419753085, 6.460815298461538, 8.200228086419752, 6.42305856, 8.112179679012346, 6.665864738461538, 7.657275345679012, 6.736891606153846, 7.805288308641975, 7.493585919999999, 7.617653209876543, 7.148511655384615, 7.482283530864197, 7.625414547692308, 6.862773901234567, 7.256640615384615, 7.401181419753086, 8.78426992, 5.971594358024692, 7.209374116923078, 7.427702506172839, 8.968849883076922, 6.202721432098765, 6.944374941538461, 7.640412419753089, 6.86372038153846, 7.419785987654321, 6.726080209230769, 8.131878358024691, 7.694881513846155, 6.716481148148147, 7.457780787692308, 7.814749185185185, 7.663479138461537, 7.047716271604938, 7.666622227692309, 7.455127518518518, 7.1820102769230765, 7.070121938271606, 6.687634338461539, 8.415438419753086, 6.767910387692307, 8.254899654320988, 8.023674953846156, 6.622888185185185, 5.946259840000001, 8.836348654320988, 6.199774510769231, 8.89297925925926]",7.368,0.636
../test_data\Student_Performance_320_preprocessed.csv,0.2,RF[md10],"[7.791842200312188, 6.8230619764221565, 7.998358942160418, 7.226123976174661, 7.706974813155028, 6.967866383056069, 6.963119464044734, 8.056748642115574, 7.348343871389591, 7.777401789644851, 7.252030229506462, 7.55296724759728, 6.8037900789481895, 7.973249036050638, 8.119950046250036, 6.886937505894371, 7.212461054588865, 8.160646356034038, 7.4503293843900416, 7.940155189013372, 7.739191958877468, 6.73073654960906, 7.471344245824048, 7.8398101776744795, 7.242602833410167, 8.142039435074393, 6.749374933468691, 8.26560493810043, 6.349090904349564, 8.819141174749806, 7.334043454619555, 7.582911008602952, 6.7908663376236795, 7.595593894351679, 7.462710141099555, 6.665970243601917, 7.234146926306805, 7.307795416594293, 6.6465141070683185, 7.795547868204341, 7.4835244443050595, 7.60381039879325, 7.806922580087186, 7.22075333984735, 6.775451095867832, 7.8056980589007825, 6.860869969717081, 8.157086354353545, 7.117457904222375, 7.7348280956134, 8.101964395141456, 6.655562889688333, 6.536867886419232, 8.05221225258514, 6.467006186243935, 8.341535567988913, 6.862934070749702, 7.90975574303281, 6.686252675942439, 7.76964294567057, 7.560266776938854, 7.666691458060442, 7.400634404028407, 7.780056554588521, 7.660742548507492, 6.956864747757601, 7.218228426517769, 7.490581540031141, 8.920419931977978, 5.884852449036449, 7.09137605937576, 7.454986522978222, 8.926736894875864, 6.17485327933604, 6.944705507995002, 7.859486357299634, 6.899638817466069, 7.350070757600147, 6.811376782924929, 8.303415289221327, 7.958997650788079, 6.825666145274614, 7.576253923368906, 7.817883619956116, 7.528988417909532, 7.194462869081993, 7.7081595911158285, 7.564534975049691, 7.258572266395218, 7.018869735877809, 6.713572587757282, 8.655892031404075, 6.830617365080341, 8.24205074377873, 8.233599175706075, 6.736021625203704, 6.085735140937035, 8.795595033069674, 6.260433282086875, 8.82830283582058]",7.439,0.648
../test_data\Student_Performance_320_preprocessed.csv,0.2,RF[md15],"[7.776916000000001, 6.836475308641975, 7.974414769230769, 7.201003395061729, 7.68721723076923, 6.987591049382718, 7.023970905982907, 8.076187962962964, 7.402689256153847, 7.784341358024691, 7.3048547692307695, 7.566409567901235, 6.826715999999999, 7.988407716049382, 8.143676, 6.8695308641975315, 7.221328, 8.104791049382715, 7.489557230769231, 7.929665817901232, 7.754400307692307, 6.685737962962962, 7.431399052307693, 7.86208086419753, 7.215828307692308, 8.071110432098767, 6.717461025641026, 8.236407407407405, 6.349990153846154, 8.833879012345678, 7.2367310769230775, 7.544991975308642, 6.832517230769231, 7.532806790123456, 7.443619307692308, 6.6325320987654335, 7.241617230769232, 7.276891666666665, 6.659051999999999, 7.746090432098765, 7.538653538461539, 7.557644170096022, 7.841919111111112, 7.20798827160494, 6.794013846153847, 7.820793518518519, 6.857750769230768, 8.122916666666667, 7.057296307692307, 7.772253086419753, 8.111455692307693, 6.651415432098767, 6.5738462255650525, 8.052827469135803, 6.490428923076923, 8.31985401234568, 6.862287384615385, 7.875311728395061, 6.668246769230769, 7.794432407407407, 7.49631753846154, 7.646619753086419, 7.365245538461538, 7.754514814814814, 7.654354461538463, 6.984967901234567, 7.234959076923077, 7.5112515432098785, 8.931888205128205, 5.8820200617283955, 7.17253076923077, 7.458231447187929, 8.926483076923079, 6.118175, 6.920407298461538, 7.865087654320988, 6.948755692307691, 7.389084259259259, 6.830671384615384, 8.320395679012346, 7.952588615384616, 6.8602648148148155, 7.52569076923077, 7.838352160493828, 7.547754871794872, 7.203380701303154, 7.7396910769230765, 7.631352777777777, 7.2079200000000005, 7.054404938271604, 6.774220307692308, 8.583916049382715, 6.822357538461539, 8.236198148148148, 8.194250418803419, 6.7391154320987665, 5.969655384615385, 8.77510185185185, 6.23303676923077, 8.82973950617284]",7.436,0.646
../test_data\Student_Performance_320_preprocessed.csv,0.2,RF[md20],"[7.776916000000001, 6.836475308641975, 7.974414769230769, 7.201003395061729, 7.68721723076923, 6.987591049382718, 7.02474923076923, 8.076187962962964, 7.407828923076923, 7.784341358024691, 7.3048547692307695, 7.566409567901235, 6.826715999999999, 7.988407716049382, 8.143676, 6.8695308641975315, 7.221328, 8.104791049382715, 7.489557230769231, 7.940657407407408, 7.754400307692307, 6.685737962962962, 7.416471384615386, 7.86208086419753, 7.215828307692308, 8.053895987654322, 6.71214, 8.236407407407405, 6.349990153846154, 8.833879012345678, 7.2367310769230775, 7.544991975308642, 6.832517230769231, 7.532806790123456, 7.446267692307693, 6.6325320987654335, 7.241617230769232, 7.276891666666665, 6.652584307692307, 7.746090432098765, 7.538653538461539, 7.548513271604939, 7.843111692307694, 7.20798827160494, 6.794013846153847, 7.820793518518519, 6.857750769230768, 8.122916666666667, 7.057296307692307, 7.772253086419753, 8.111455692307693, 6.651415432098767, 6.569584307692308, 8.052827469135803, 6.490428923076923, 8.31985401234568, 6.862287384615385, 7.875311728395061, 6.668246769230769, 7.794432407407407, 7.49631753846154, 7.646619753086419, 7.365245538461538, 7.754514814814814, 7.654354461538463, 6.984967901234567, 7.234959076923077, 7.5112515432098785, 8.93657076923077, 5.8820200617283955, 7.17253076923077, 7.460655864197531, 8.926483076923079, 6.118175, 6.919985846153845, 7.865087654320988, 6.948755692307691, 7.389084259259259, 6.830671384615384, 8.320395679012346, 7.952588615384616, 6.8602648148148155, 7.52569076923077, 7.838352160493828, 7.5440119999999995, 7.2010305555555565, 7.7396910769230765, 7.631352777777777, 7.2079200000000005, 7.054404938271604, 6.774220307692308, 8.583916049382715, 6.822357538461539, 8.236198148148148, 8.19525323076923, 6.7391154320987665, 5.969655384615385, 8.77510185185185, 6.238299384615385, 8.82973950617284]",7.436,0.646
../test_data\Student_Performance_320_preprocessed.csv,0.2,RF[md25],"[7.776916000000001, 6.836475308641975, 7.974414769230769, 7.201003395061729, 7.68721723076923, 6.987591049382718, 7.02474923076923, 8.076187962962964, 7.407828923076923, 7.784341358024691, 7.3048547692307695, 7.566409567901235, 6.826715999999999, 7.988407716049382, 8.143676, 6.8695308641975315, 7.221328, 8.104791049382715, 7.489557230769231, 7.940657407407408, 7.754400307692307, 6.685737962962962, 7.416471384615386, 7.86208086419753, 7.215828307692308, 8.053895987654322, 6.71214, 8.236407407407405, 6.349990153846154, 8.833879012345678, 7.2367310769230775, 7.544991975308642, 6.832517230769231, 7.532806790123456, 7.446267692307693, 6.6325320987654335, 7.241617230769232, 7.276891666666665, 6.652584307692307, 7.746090432098765, 7.538653538461539, 7.548513271604939, 7.843111692307694, 7.20798827160494, 6.794013846153847, 7.820793518518519, 6.857750769230768, 8.122916666666667, 7.057296307692307, 7.772253086419753, 8.111455692307693, 6.651415432098767, 6.569584307692308, 8.052827469135803, 6.490428923076923, 8.31985401234568, 6.862287384615385, 7.875311728395061, 6.668246769230769, 7.794432407407407, 7.49631753846154, 7.646619753086419, 7.365245538461538, 7.754514814814814, 7.654354461538463, 6.984967901234567, 7.234959076923077, 7.5112515432098785, 8.93657076923077, 5.8820200617283955, 7.17253076923077, 7.460655864197531, 8.926483076923079, 6.118175, 6.919985846153845, 7.865087654320988, 6.948755692307691, 7.389084259259259, 6.830671384615384, 8.320395679012346, 7.952588615384616, 6.8602648148148155, 7.52569076923077, 7.838352160493828, 7.5440119999999995, 7.2010305555555565, 7.7396910769230765, 7.631352777777777, 7.2079200000000005, 7.054404938271604, 6.774220307692308, 8.583916049382715, 6.822357538461539, 8.236198148148148, 8.19525323076923, 6.7391154320987665, 5.969655384615385, 8.77510185185185, 6.238299384615385, 8.82973950617284]",7.436,0.646
../test_data\Student_Performance_320_preprocessed.csv,0.2,RF[mss3],"[7.796489688034187, 6.876643998628259, 7.946902412393163, 7.260216007115913, 7.763810792735043, 6.862824041923867, 7.010850124273503, 7.975674399862824, 7.331196202991453, 7.730864859825105, 7.195660888888888, 7.538997785922496, 6.802143542735043, 8.049648739711934, 8.053690525641025, 6.895313455932783, 7.306137751623932, 8.027749009773663, 7.493633895726496, 7.902468130572704, 7.724444833333333, 6.7403715149176975, 7.36172299145299, 7.815119710219477, 7.321141217948718, 8.134745047668039, 6.725512884188034, 8.212650017146776, 6.290897578803419, 8.803087328532238, 7.2063683290598295, 7.557493175582991, 6.777614039487179, 7.595927344821674, 7.435746311965812, 6.725317656464335, 7.226327951025641, 7.256452527006174, 6.576001188034188, 7.728063633830589, 7.581903235042735, 7.607003500085734, 7.9043419728205135, 7.253476343621399, 6.922112297008547, 7.764081102366255, 6.978735690854701, 8.150117813357339, 7.113350767094016, 7.770606134259259, 8.059710305555555, 6.639096832133059, 6.57447674068376, 8.089841470679012, 6.458112861111111, 8.338985667438271, 6.80586955982906, 7.858344077846364, 6.6882644145299155, 7.770961351423181, 7.614012226495726, 7.772411219735938, 7.426283844017093, 7.689703609396433, 7.67810380128205, 6.933962459276405, 7.230334476495728, 7.471319100137174, 8.96491761111111, 5.891041277434843, 7.084217257435899, 7.5300567129629625, 8.967452331196583, 6.01961840989369, 6.910095866068375, 7.9514171131687235, 6.917619668803418, 7.368180079132373, 6.7825527991453, 8.22440559233539, 7.882631987350425, 6.830070211505486, 7.517846079059829, 7.8681785493827165, 7.573757912393163, 7.1741120468106985, 7.74443295965812, 7.620685238768862, 7.225863766410257, 6.99702536196845, 6.772124707094018, 8.621488659807957, 6.937324794871794, 8.256841245627573, 8.13417370940171, 6.640002459019204, 6.114664427350428, 8.830825810185184, 6.2198591057264965, 8.71281308084705]",7.435,0.645
../test_data\Student_Performance_320_preprocessed.csv,0.2,RF[mss4],"[7.75951798931624, 6.917592810099452, 7.89538671025641, 7.330292287637173, 7.733889045527647, 6.936081554269547, 7.022576467863247, 8.022001341563787, 7.2317265, 7.778503093707134, 7.246666687521367, 7.569674297134388, 6.78625400965812, 7.994009571330589, 7.96557736982906, 6.849105602966392, 7.333601705555558, 8.093657398662552, 7.573789573492065, 7.885474918638547, 7.810264573504274, 6.783227675497257, 7.442465543247864, 7.819456510716736, 7.227240361452992, 8.13169623393977, 6.664313735213674, 8.24241244410151, 6.231878304871795, 8.823443109825103, 7.338088356666667, 7.547125063871742, 6.753468819230768, 7.651171752290321, 7.470765336923077, 6.660359895947062, 7.312439477692309, 7.23969611265432, 6.6071704528205135, 7.724866944958849, 7.5609385745299145, 7.6173051730109735, 7.87221891042735, 7.199231975322641, 6.833361283931624, 7.76559314711934, 6.985532971452988, 8.159747563100138, 7.17276882102564, 7.73644350840192, 8.068727548888889, 6.64740935755928, 6.5848912896581195, 8.145763657578875, 6.475821446068378, 8.313113926183126, 6.880275536270713, 7.90155872127215, 6.726024885290423, 7.808220853737999, 7.508374017435897, 7.738479280689231, 7.440071345435201, 7.734074245713305, 7.684878005726496, 7.004042994476288, 7.286501584957265, 7.446418950445815, 8.913048282393161, 5.941442191529494, 7.286927537606837, 7.505373059927982, 8.99570061794872, 6.103786760030863, 6.9091585124786326, 7.956144741683812, 6.908554415213674, 7.328384860596708, 6.870066645299146, 8.25350439909122, 7.910833616239315, 6.784645046553498, 7.504474321965814, 7.917216142918382, 7.543823955641026, 7.2349354377572, 7.630431865641024, 7.54449370833333, 7.260631297435898, 7.0752458146433455, 6.734703671452992, 8.588599832322023, 6.923924189145298, 8.173584421124827, 8.211420680256408, 6.69667218707133, 6.1031719883446724, 8.912019159036353, 6.287003236581197, 8.824180602366253]",7.445,0.643
../test_data\Student_Performance_320_preprocessed.csv,0.2,RF[mss6],"[7.8272099097504695, 6.955726379761729, 7.884353516650099, 7.391678397091008, 7.714270070221523, 6.962178477266086, 6.989822551159513, 8.078513670407464, 7.324097850553377, 7.739804981802545, 7.221495023143641, 7.582064886281443, 6.789207778561012, 7.996800632942389, 7.964501433718822, 6.835208914484923, 7.304130018992673, 8.111887053397044, 7.448367021014643, 7.963040136531642, 7.834328675997296, 6.782912458367452, 7.537114706855243, 7.8260862418124155, 7.326342961113291, 8.064238300180177, 6.747286668901101, 8.209778966730005, 6.288001079204605, 8.863564377065048, 7.195109809491977, 7.5779724597096445, 6.831637318597156, 7.656621122226044, 7.495718303163314, 6.711413316105635, 7.339711761641811, 7.231993488121774, 6.600615372159429, 7.778021186805382, 7.611986830939736, 7.556508129688682, 7.813548551050061, 7.24859388543985, 6.849267498780307, 7.785176667408528, 6.97002465898686, 8.145998448006045, 7.081280352018964, 7.784273302020442, 7.994211350061778, 6.62844902268536, 6.557662122054333, 8.152500840236952, 6.539970917466957, 8.305921169298172, 6.82893457498963, 7.90555939605248, 6.801269294825135, 7.8344354815663415, 7.542296225813712, 7.725630498999624, 7.376281817146636, 7.731564036542757, 7.709747378600645, 6.969698034486453, 7.245745304544692, 7.491655200547731, 8.836396042304205, 5.943655569487749, 7.201977471449503, 7.495051016805589, 9.006289238625548, 6.110662769984938, 7.048754280196186, 7.883765257782537, 6.999160841429881, 7.397318402735981, 6.789077066681057, 8.290136372530778, 7.915679483493275, 6.842481393324937, 7.580163538655009, 7.875617526455901, 7.535880231692396, 7.217208972959076, 7.752952852247514, 7.561116263412151, 7.253887079198937, 7.093441512252073, 6.747964244759238, 8.607689765169063, 6.837979038657333, 8.221695549055964, 8.179869888195194, 6.7273202736354305, 6.0273869905957715, 8.881755220652767, 6.237931498922854, 8.819448656957741]",7.451,0.640
