dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
../test_data\Wine_Quality_186_preprocessed.csv,0.2,RF[100],"[0.4822081954887218, 0.5231613533834587, 0.5202575187969924, 0.48552939849624066, 0.5071062406015038, 0.48208338345864665, 0.5200007142857143, 0.4950285714285714, 0.5227799624060151, 0.49751394736842103, 0.4921753383458646, 0.5132386466165414, 0.5111164661654135, 0.4923144736842106, 0.49666887218045114, 0.49755458646616535, 0.49179090225563904, 0.5275755263157894, 0.5110998496240601, 0.4893796992481203, 0.48589251879699247, 0.5142090601503759, 0.5074721804511279, 0.5092786466165413, 0.49787778195488713, 0.5115247744360902, 0.5217263157894737, 0.4775567293233082, 0.48939984962406025, 0.5098918045112781, 0.4934653759398496, 0.5062143233082707, 0.4897263157894737, 0.513230977443609, 0.5239234962406015, 0.4834231954887217, 0.4986287218045113, 0.49983733082706766, 0.49428609022556386, 0.5246991729323308, 0.5007926315789474, 0.5001899248120301, 0.5147408646616541, 0.4783113909774437, 0.5186397368421053, 0.4880151879699249, 0.47906725563909774, 0.5227424436090226, 0.5089265789473684, 0.4945359774436091, 0.5184301879699248, 0.4795756766917293, 0.47712139097744355, 0.5283319172932331, 0.4883695488721805, 0.5161833458646616, 0.5092295488721804, 0.48918454887218044, 0.49024436090225565, 0.5054237218045112, 0.5061966165413534, 0.49086022556390974, 0.49480206766917295, 0.5008426315789474, 0.5077131954887218, 0.49465515037593993, 0.48910560150375937, 0.505468157894737, 0.48528616541353375, 0.5147022556390978, 0.4839415037593985, 0.5222614661654136, 0.49356221804511274, 0.5058835714285714, 0.5036839097744361, 0.4941672556390977, 0.4913281203007519, 0.5135516541353384, 0.5022260150375939, 0.5004412030075188, 0.4959986466165413, 0.503572932330827, 0.5052532706766917, 0.4945855263157894, 0.5242017669172931, 0.4771428947368421, 0.5186643233082707, 0.4932946992481203, 0.49144447368421046, 0.5076004887218045, 0.4972953383458647, 0.5046002631578947, 0.49618868421052625, 0.5056391729323308, 0.49906781954887214, 0.5041912030075187, 0.496182067669173, 0.4985343984962407, 0.5120877067669173, 0.4946345112781955]",0.501,0.013
../test_data\Wine_Quality_186_preprocessed.csv,0.2,RF[200],"[0.47850992481203014, 0.5176973120300752, 0.5158900187969925, 0.4809326785714286, 0.50452625, 0.48119368421052633, 0.5178738251879699, 0.4926832894736842, 0.520442537593985, 0.49417129699248113, 0.4911957612781955, 0.5112871146616541, 0.5093851691729324, 0.48938719924812024, 0.4933620394736842, 0.49304818609022555, 0.48758472744360903, 0.5236762781954888, 0.5068642011278195, 0.4889614661654135, 0.4850350187969924, 0.5142928477443609, 0.5027476221804511, 0.5045446710526315, 0.49325955827067675, 0.5084679793233082, 0.5192257142857143, 0.47533584586466165, 0.48536968045112777, 0.5088565413533834, 0.49262758458646616, 0.5032958552631579, 0.4857938533834587, 0.5097967481203007, 0.5192293796992481, 0.48200412593984954, 0.49613812969924814, 0.4958701033834586, 0.4922459962406015, 0.5183407800751879, 0.49964365601503763, 0.4975561184210526, 0.5106303195488722, 0.4784613251879699, 0.5143593421052631, 0.48561417293233083, 0.47619136278195495, 0.5189995112781955, 0.5069776315789474, 0.4909723966165413, 0.5160591353383459, 0.4761312030075188, 0.47557677631578943, 0.5255581203007519, 0.4839160432330827, 0.5119863063909774, 0.5092773872180452, 0.4887059210526316, 0.4840924812030076, 0.5053030169172933, 0.50179867481203, 0.4879057706766917, 0.4924367199248121, 0.498100037593985, 0.5047933552631579, 0.4925621898496241, 0.48754291353383455, 0.5037479229323307, 0.484386484962406, 0.5143413157894737, 0.4812035996240602, 0.5199845864661654, 0.48928515037593984, 0.5005355357142858, 0.5044867387218045, 0.4920357894736842, 0.489110902255639, 0.5113319736842105, 0.497365310150376, 0.4975113909774435, 0.4928919266917293, 0.5019997086466165, 0.5033633458646617, 0.4923933740601503, 0.5209671710526317, 0.47378994360902255, 0.5132434304511279, 0.4871602537593985, 0.4885187593984962, 0.5045741071428571, 0.49587875000000003, 0.5005396240601503, 0.49091180451127825, 0.5014879511278195, 0.4980997838345864, 0.5001884586466165, 0.4920684022556391, 0.495403947368421, 0.5131775845864662, 0.4931265037593985]",0.499,0.013
../test_data\Wine_Quality_186_preprocessed.csv,0.2,RF[500],"[0.47561466015037596, 0.5180076887218046, 0.5149321879699248, 0.47896296090225565, 0.5034659368421053, 0.4789687984962406, 0.513904362406015, 0.48976744812030076, 0.5179796090225565, 0.4920445578947368, 0.4888741834586465, 0.5115612270676692, 0.5074452992481203, 0.4849124030075188, 0.4918312526315789, 0.490621660150376, 0.48690338045112785, 0.5207707022556392, 0.5038784556390977, 0.4873406045112782, 0.4855486511278196, 0.5150128436090226, 0.5005753714285714, 0.5039884541353384, 0.49179124360902254, 0.5052708962406015, 0.518079045112782, 0.47143537293233084, 0.48426637894736846, 0.5061901984962406, 0.49206321954887217, 0.5007997804511277, 0.48322324360902263, 0.5087598631578948, 0.5182483714285715, 0.4819406315789474, 0.49737683007518796, 0.49139649172932326, 0.491209830075188, 0.5173841654135338, 0.4980779684210527, 0.4950085684210526, 0.5073488691729323, 0.476580954887218, 0.5103420045112782, 0.48327100300751885, 0.47677633533834585, 0.5167738872180451, 0.503908437593985, 0.49088352481203007, 0.5141267533834586, 0.4743728090225564, 0.4740600541353384, 0.5237022195488722, 0.4804483187969924, 0.5109862315789473, 0.5085111684210527, 0.4846643293233082, 0.48165819849624064, 0.5033707142857143, 0.4999990330827068, 0.48683046766917293, 0.4893183714285714, 0.49654222706766926, 0.5008194917293233, 0.4890047157894737, 0.4842403488721805, 0.501145502255639, 0.4828363112781955, 0.5110549654135338, 0.481276762406015, 0.5155520180451127, 0.48542480150375944, 0.5025274586466165, 0.501648992481203, 0.49238558345864664, 0.4864728270676692, 0.5108503894736842, 0.4975474120300752, 0.4987028421052631, 0.4915236992481202, 0.49794626766917294, 0.499104830075188, 0.4932195774436091, 0.5186595774436091, 0.47284785112781946, 0.5101036676691729, 0.4883094511278195, 0.4878195263157895, 0.5025623879699248, 0.49419808721804503, 0.4989859458646616, 0.4882785248120301, 0.5004063278195489, 0.4962869578947369, 0.49989338045112786, 0.4905073879699248, 0.4951988932330827, 0.5138127864661655, 0.49031938796992486]",0.497,0.013
../test_data\Wine_Quality_186_preprocessed.csv,0.2,RF[md10],"[0.4818854086039018, 0.5252176445141961, 0.5223750618933365, 0.48322155567750424, 0.5096601429725267, 0.48669593776290593, 0.519055011158222, 0.49697262025884353, 0.5221416579461343, 0.49883016420995563, 0.49456042820890744, 0.5128105392411058, 0.5109425411472495, 0.49419434285921754, 0.4972375866962621, 0.49783484686263757, 0.4924262511693473, 0.528572261569685, 0.5129212020790658, 0.49100035061658004, 0.488296858800157, 0.5168474169356, 0.5071177228258436, 0.5120441468876421, 0.49614510967599845, 0.5145065225475924, 0.5221065789148567, 0.479590325941152, 0.49159185311971276, 0.5154944690204659, 0.493485164927326, 0.5065106782513459, 0.4917562360913749, 0.5150777800130691, 0.5238946347150578, 0.48448401747304687, 0.5046202131038778, 0.5005102344383086, 0.4970373215397681, 0.5249941315612338, 0.5014325472645765, 0.5015805805068829, 0.5137734992100149, 0.4806566495091228, 0.5190701532283357, 0.4886170053890173, 0.4799022209333044, 0.5232500348307499, 0.5091137264922468, 0.496602868898866, 0.5212943970528539, 0.4806205461423531, 0.47761827966990555, 0.5284714788925979, 0.48870389674540055, 0.5157393135079057, 0.5123746970067993, 0.49061485157606666, 0.48941805805632105, 0.5095322617941103, 0.5080719160166027, 0.49244186281655306, 0.4951430451060859, 0.5013835683127523, 0.5090481353692572, 0.4982904596178731, 0.4930519244265208, 0.5062707340176064, 0.4876811146109237, 0.5167828969609765, 0.4883246656146434, 0.5235726891408944, 0.49621825196284597, 0.507034848667756, 0.5061133647236649, 0.4967283039248066, 0.4928334841536674, 0.5176203653266314, 0.5031151802751134, 0.5052390336694148, 0.49839280880463727, 0.5036114382338214, 0.5051061926290802, 0.4958775179321061, 0.526139262356903, 0.47666599420836886, 0.5205038169986516, 0.49325956771117757, 0.49385318750024243, 0.5110463326656927, 0.5003708703352765, 0.5064886053545532, 0.49855293493072106, 0.5074366655586744, 0.5020591053482412, 0.5050626535944752, 0.49826044583363144, 0.5012866803353494, 0.5146381860274597, 0.4945337836938068]",0.503,0.013
../test_data\Wine_Quality_186_preprocessed.csv,0.2,RF[md15],"[0.48101916664201944, 0.5225534765980812, 0.5193203644702826, 0.48445855085906175, 0.507439933441189, 0.4848323883442628, 0.518142772221262, 0.496234141102018, 0.5226457703316973, 0.4994244847442979, 0.49344793873530646, 0.5144417667971763, 0.5103117132301708, 0.4925108298615575, 0.49494123474868656, 0.497519188454666, 0.4920049417678825, 0.5279991552380219, 0.5131377009942013, 0.48990339118468207, 0.48560706252385377, 0.5128151000334918, 0.5076499530607483, 0.5087495466200672, 0.4978963583643626, 0.5124627401343386, 0.5217145953816593, 0.4789552186398044, 0.4899912554312331, 0.5097369991722366, 0.4937415483676675, 0.5046610004853719, 0.488512257447724, 0.5126421110448874, 0.5228237476580563, 0.4830016952205532, 0.4997294194277254, 0.5007195527106776, 0.49309739326886626, 0.5251082741809866, 0.49918267623162854, 0.5012934588855974, 0.5144180758413626, 0.4773575367444233, 0.5191304700874885, 0.4881291815853245, 0.47729745400794055, 0.5235766948594319, 0.5093010969715349, 0.4959344778769006, 0.5178635782824033, 0.48045693750413215, 0.4754444646376426, 0.5267274330777474, 0.4886144599930992, 0.5165543025621119, 0.5103293327923983, 0.4905950751046137, 0.48961729532374965, 0.5066884316311284, 0.505789381489712, 0.4919021287129814, 0.4951441354091967, 0.5002118278122353, 0.507018274942818, 0.4939426219152924, 0.4913959343152453, 0.5040664687160082, 0.48415122396780585, 0.5161482421124742, 0.485248586640364, 0.5211743658313653, 0.4942985611890726, 0.5060700695697579, 0.5040547400144806, 0.49547832022213695, 0.49005874857289505, 0.5139113405953971, 0.5019497286164907, 0.5020873527087618, 0.4968884037473401, 0.5022015203459423, 0.5036183853324838, 0.4928103429404251, 0.5243474226499912, 0.47675067870796034, 0.517702147863408, 0.4911843350497431, 0.49209594770639425, 0.507423753720404, 0.49639062526765837, 0.5047149579504834, 0.495460670307384, 0.5047237172940527, 0.49995719278568185, 0.5045959650256477, 0.495055764370757, 0.4987018904561317, 0.5146419211423331, 0.49371928939828713]",0.501,0.013
../test_data\Wine_Quality_186_preprocessed.csv,0.2,RF[md20],"[0.48197974580659153, 0.5229556938133044, 0.5200614851769862, 0.4848926079392714, 0.5071800508209724, 0.4819846203182533, 0.5202528943623961, 0.4952376283376312, 0.5225908351355247, 0.4970721811603307, 0.49228547706615, 0.5130489704477499, 0.511072414609014, 0.4926068159040541, 0.49665860250626565, 0.4978027325007132, 0.4915853104783309, 0.5274440775753854, 0.5115251798187599, 0.48960261375281766, 0.485831360978971, 0.5143510653393083, 0.5074721804511279, 0.5093648206453634, 0.49792037124583527, 0.5112528474776646, 0.521877089342356, 0.47773581039478863, 0.4893379615617132, 0.5097182427144996, 0.49373082054093564, 0.5059011723351184, 0.489907385684347, 0.5131513180911462, 0.5241683628966508, 0.4834949237043536, 0.49889130428035466, 0.4999751910388215, 0.4945129149862853, 0.524732473162791, 0.5006043766475313, 0.5008421342278082, 0.5152672098472255, 0.4784241510706177, 0.5183887534524496, 0.48793142766457703, 0.4789893342105263, 0.5225415432434918, 0.5088519007141717, 0.494536219755117, 0.5179304987112949, 0.4794320266037856, 0.4771128286196195, 0.5281715504026906, 0.4881920933628715, 0.5161552549102348, 0.5091418204877725, 0.4893722949643392, 0.49059444973006505, 0.5052823958587875, 0.5063555213622182, 0.4911436789154017, 0.4948488294303467, 0.5014461065640501, 0.5078703994360901, 0.49483751994008784, 0.4887920732631231, 0.5054075200139418, 0.48557155004075786, 0.5147139993545986, 0.4837653956448479, 0.5225054664978773, 0.4935096258342379, 0.5058376169104734, 0.503656907389749, 0.4942940176123339, 0.4908356090392401, 0.5135788662193679, 0.5020756269223557, 0.5003227955304929, 0.49611107273379257, 0.5035619760338346, 0.5051504268097118, 0.4943720401119136, 0.5240535270676692, 0.4767988727452163, 0.5178750416852553, 0.49330787638147244, 0.4916143661384685, 0.5076481718780502, 0.49733903960855463, 0.5045637886401804, 0.49595023322105986, 0.5065146835933846, 0.49909844759008626, 0.5036746238462355, 0.49594699318778435, 0.49931248791685845, 0.5123347464100604, 0.4944781909382189]",0.501,0.013
../test_data\Wine_Quality_186_preprocessed.csv,0.2,RF[md25],"[0.4822081954887218, 0.5231613533834587, 0.5202575187969924, 0.48543348893066, 0.5071062406015038, 0.48208338345864665, 0.5201200835421887, 0.4950285714285714, 0.5227799624060151, 0.49751394736842103, 0.4921753383458646, 0.5132386466165414, 0.5111164661654135, 0.4923144736842106, 0.49666887218045114, 0.49755458646616535, 0.49179090225563904, 0.5275755263157894, 0.5110998496240601, 0.4893796992481203, 0.48589251879699247, 0.5142090601503759, 0.5074721804511279, 0.5092786466165413, 0.49787778195488713, 0.5115247744360902, 0.5217263157894737, 0.4775567293233082, 0.48939984962406025, 0.5098918045112781, 0.4934653759398496, 0.5062998590225565, 0.4897263157894737, 0.513230977443609, 0.5240911372180451, 0.4834231954887217, 0.49841223893066, 0.49983733082706766, 0.49428609022556386, 0.5246991729323308, 0.5007926315789474, 0.5001899248120301, 0.5147408646616541, 0.4783113909774437, 0.5186397368421053, 0.4880151879699249, 0.47906725563909774, 0.5227424436090226, 0.5089265789473684, 0.4945359774436091, 0.5184301879699248, 0.4795756766917293, 0.47712139097744355, 0.5283319172932331, 0.4883695488721805, 0.5161833458646616, 0.5092295488721804, 0.48918454887218044, 0.49024436090225565, 0.5054237218045112, 0.5063373141186299, 0.49086022556390974, 0.49480206766917295, 0.5008426315789474, 0.5077131954887218, 0.49465515037593993, 0.48910560150375937, 0.505468157894737, 0.48528616541353375, 0.5147022556390978, 0.4839415037593985, 0.5222614661654136, 0.49349658775845867, 0.5058835714285714, 0.5036839097744361, 0.4941672556390977, 0.4913281203007519, 0.5135516541353384, 0.5022260150375939, 0.5004412030075188, 0.4959986466165413, 0.503572932330827, 0.5052532706766917, 0.494555066833751, 0.5242017669172931, 0.4771428947368421, 0.5186643233082707, 0.4932946992481203, 0.49144447368421046, 0.5076004887218045, 0.4972953383458647, 0.5046002631578947, 0.49618868421052625, 0.5056391729323308, 0.49906781954887214, 0.5041912030075187, 0.496182067669173, 0.4985343984962407, 0.5120877067669173, 0.4946345112781955]",0.501,0.013
../test_data\Wine_Quality_186_preprocessed.csv,0.2,RF[mss3],"[0.48228620848997494, 0.5236732197681704, 0.519719867439432, 0.4834400120405179, 0.5061614283103593, 0.4843140128968254, 0.5169799054928989, 0.4950513416353383, 0.5225438341583125, 0.49868127480158725, 0.49301881239557227, 0.5125833664891395, 0.5102062513680033, 0.492487235286132, 0.49571230759189633, 0.4964290324770259, 0.4909106555451128, 0.5259504187552213, 0.5115855193504594, 0.4885373292606516, 0.48547391969507103, 0.5130330053780284, 0.5061445441833751, 0.513229575647452, 0.4959700038847118, 0.5119638197055139, 0.5222073558897242, 0.47757838801169583, 0.48882049743107775, 0.5111008881578947, 0.4926850287698412, 0.5052320713241437, 0.49102755234962414, 0.5124730926900585, 0.5230939580722641, 0.48197022190893907, 0.5003105534670009, 0.4996051535192148, 0.4956320432017544, 0.5238974871031746, 0.4994375467314119, 0.4976337766290727, 0.5153519726399333, 0.4789524018379282, 0.5178022819548872, 0.4865567047827903, 0.47882740784252303, 0.5208211233918129, 0.5076642982351713, 0.49679240262113616, 0.5175728827276525, 0.48232664137426906, 0.47743152931286537, 0.5281344740810359, 0.4896864759711779, 0.5145699315998329, 0.5106113774018379, 0.4877308348997493, 0.48730870770676693, 0.5059129883040936, 0.5068976007727652, 0.48884107195071, 0.4929247193504595, 0.4981395073621554, 0.5064958620927318, 0.4949402819548872, 0.4941065615392649, 0.5055316492063492, 0.4868468937969925, 0.5149174229845447, 0.48506021852548037, 0.5206268658625731, 0.49387488153717635, 0.5066715533625732, 0.5037832647765247, 0.49673273365705933, 0.48990279944653303, 0.5150817499477861, 0.5021335168650793, 0.4995897834482038, 0.49649076454678365, 0.5010304509085213, 0.504479986163325, 0.4947959097431077, 0.5247604868734335, 0.47708675699665837, 0.5173929571324143, 0.4915470456244779, 0.4915434009502924, 0.5069722705200501, 0.4999796298036759, 0.5047093011173768, 0.49759564614661644, 0.5049705020363408, 0.5012666912071846, 0.5030231793441937, 0.4973810732560568, 0.49942360499164584, 0.5134455777464495, 0.49481578673767757]",0.501,0.013
../test_data\Wine_Quality_186_preprocessed.csv,0.2,RF[mss4],"[0.4824558378132833, 0.5225057395572263, 0.5219509081376911, 0.4834940426796157, 0.5103996428675857, 0.48337990156641597, 0.5167473959563023, 0.4964042636800335, 0.5221852945802006, 0.4989294230576442, 0.4930496167512744, 0.5144009653532216, 0.5106926102130326, 0.4911970411131997, 0.4961117509920635, 0.4973400505538932, 0.4909571879490392, 0.5273600488617378, 0.5108190509711781, 0.4907784630847954, 0.4863778988826233, 0.5153401284461153, 0.5056451317251462, 0.5115123630952381, 0.49709290469562517, 0.5128523535714286, 0.5212693273805261, 0.4773182145885547, 0.4897596854781512, 0.5112982353487886, 0.4912027466165413, 0.5033581501044277, 0.4931396987886383, 0.5121984744222375, 0.5231468991332497, 0.48276537015455306, 0.5003835465121136, 0.5001002170739347, 0.494509440037594, 0.523385311852548, 0.5015396026837928, 0.49965222784853297, 0.5148776338032582, 0.4785601051482874, 0.5200510484139771, 0.4854439208751045, 0.478255969559315, 0.5211428267230577, 0.5084696283730159, 0.49661929893483703, 0.5179906877715121, 0.4817974548141186, 0.47669122285923143, 0.5272741284774437, 0.48915227125274924, 0.515874050417711, 0.5111171828623429, 0.48987177696963496, 0.4911658981516291, 0.5061029136278196, 0.5065252618386954, 0.49071434093567257, 0.4949393815476191, 0.4975273632020101, 0.5069156664490734, 0.49699690558112974, 0.4915394668218164, 0.5032537693400166, 0.4862472278926483, 0.5173642663011696, 0.48636439471595655, 0.5233267847639933, 0.4947750274231498, 0.5056871105785296, 0.5043133526420217, 0.49606138615288214, 0.4918701283939014, 0.5147956383671765, 0.5040192962928154, 0.5021807928675857, 0.4949328227234753, 0.5027844200083542, 0.5043654021094403, 0.49695189044486215, 0.5231788426169591, 0.47812129916457813, 0.5182966718253968, 0.49187753249791144, 0.4928398062865496, 0.5077087066245546, 0.4997156149644945, 0.504710756457257, 0.497694604197995, 0.5062647841374269, 0.5015964984335839, 0.5048331689954051, 0.49425346423350036, 0.4981344611842105, 0.5133400031432749, 0.4944470629281537]",0.502,0.013
../test_data\Wine_Quality_186_preprocessed.csv,0.2,RF[mss6],"[0.48248395376963993, 0.5244625139152563, 0.5218387958962623, 0.4832520750517968, 0.5097689276546489, 0.4854899070693138, 0.5205058576340403, 0.49689952595316944, 0.5215499221754785, 0.4995773964960351, 0.4931780630677163, 0.5137574055257013, 0.5118212401077986, 0.4919823318399635, 0.49734298992354037, 0.4965245171028656, 0.4922929027039502, 0.5277942611810611, 0.5125237881260277, 0.4901668530125804, 0.48661859311816336, 0.514982400507167, 0.5094861374455544, 0.5119075911985771, 0.49800026052583635, 0.5131043323174244, 0.5213643419123974, 0.47895645455453517, 0.4896364539927329, 0.5132027391353419, 0.49300818732328977, 0.5051686459571607, 0.4905985814972699, 0.5139054682557265, 0.5228964480894224, 0.4827382747473192, 0.5009101052268213, 0.49848495518762537, 0.49467846631075985, 0.5246586248262795, 0.5007321712647371, 0.5013489232380898, 0.5166431948421342, 0.4799738310959455, 0.5198950789053309, 0.48705896117259556, 0.47911787308053655, 0.5222115545226267, 0.5089495852562955, 0.4955888518884016, 0.5174274450385105, 0.48258014695672474, 0.477449163697663, 0.5283821465239951, 0.489928371006906, 0.5139891091230947, 0.5122479467226208, 0.4896283387751136, 0.4903569676266026, 0.5079513455224537, 0.5061760923166405, 0.4922058706793498, 0.4951682277271623, 0.5007531292237113, 0.5077672285476008, 0.4960346473696583, 0.49238439530817696, 0.5063109625865673, 0.48847606840731833, 0.5174852094378164, 0.4851963015141311, 0.5236810499629649, 0.496524899371036, 0.5063838686962646, 0.5035081684562585, 0.49650879333088, 0.49197041099267075, 0.5164970373409076, 0.503615435677002, 0.5013498060989172, 0.4966884742994344, 0.5039990590930391, 0.50602757146447, 0.4959933909294033, 0.5224455738155919, 0.47618238155237275, 0.5173957665600841, 0.49230547022096294, 0.49193706267013904, 0.506662357029212, 0.5006457098986838, 0.5054098698979059, 0.497782883137851, 0.5053375639933698, 0.500723068701196, 0.5032016883635002, 0.4977213712867948, 0.5004296675548885, 0.514700227651322, 0.4947883641807063]",0.502,0.013
