dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
../test_data\airfoil_self_noise_processed.csv,0.2,RF[100],"[7.837357506223019, 9.864489566889631, 8.53009989616768, 9.461921447614534, 9.529260301506033, 9.432699541651635, 9.31525964768736, 9.172642273241998, 8.466145638674396, 9.31022899302464, 8.249344327017583, 9.57415875511652, 9.239867548241111, 9.035484134299624, 8.928883660807067, 8.542208913107466, 8.747339066430218, 10.11571843693024, 9.908717469046953, 8.761186810774202, 8.89627276082581, 9.166270542670604, 9.917586448640686, 7.451160205686288, 8.866172607872459, 8.988249352227998, 8.548500075061174, 9.030844158017047, 9.161295580697999, 8.72393325863464, 8.711504461998002, 8.920361194806958, 8.210712396835106, 9.724499711209324, 8.93964644830241, 8.7715387768843, 8.931477527722075, 8.768978149887383, 8.761269508990152, 9.174138318215185, 7.875341283251349, 9.827716402253822, 9.434256499034037, 9.200356686947684, 7.95803573349923, 10.01206918035619, 8.2408977098003, 9.244524568483376, 8.562484161252266, 8.952683872788818, 9.57732190600881, 8.918363616361937, 9.050622713711613, 8.798114572081886, 8.838139012910391, 9.961165380500168, 8.821873601085668, 9.483102137124076, 8.854602425834601, 7.8734958518609615, 9.300090132605748, 8.19469477244261, 9.260973763056148, 8.554184371296934, 9.366431976454141, 8.919195393577116, 9.099881277002815, 8.750296134129451, 8.80654501289324, 8.152006914588267, 8.468153276657343, 9.774826138171768, 8.227237830018105, 9.104624264439385, 9.251584420182054, 8.74322365237526, 10.436813598399468, 7.917197982702445, 8.956273492968762, 8.915930441093222, 9.052504367974473, 8.582897146110987, 9.036110088806934, 8.814188261466075, 10.181807648295067, 8.561637888641947, 9.0316540418483, 9.662698188299634, 9.460199836744817, 9.521687651323315, 8.976739407406406, 8.439406028303862, 8.981079150403582, 7.82331620303212, 8.67250021001115, 8.405300817658757, 7.761114204955487, 10.500262384724655, 8.038018966694436, 8.933051100600151]",8.958,0.602
../test_data\airfoil_self_noise_processed.csv,0.2,RF[200],"[8.006962998464891, 9.657072177527747, 8.462353533046558, 9.571703337942896, 9.608999924314476, 9.529772103513388, 9.092596632306844, 8.869314658062024, 8.006724153084777, 9.23089668848134, 8.388261380146227, 9.484461347292438, 9.158504884765444, 8.62542960924214, 8.914272052809752, 8.292276222762204, 8.919635233132338, 9.970472774453011, 9.672044943936879, 8.632480057383232, 8.919690370522902, 9.18204311809119, 9.910863110815455, 7.597438690452521, 8.53657478360934, 9.098027133180983, 8.423673909670343, 8.93581616208071, 9.119154375463896, 8.808844446973335, 8.69237930358886, 9.095763411426963, 8.220020215828512, 9.98894454839563, 9.086358353175921, 8.671389195503505, 8.801946222580787, 8.732746357094065, 8.615645921292874, 9.286778014226288, 7.731256768194579, 9.938976267509954, 9.381315029214251, 8.866841671339591, 7.857715879298817, 9.950297758873404, 8.319600274868687, 8.902103297521762, 8.469852482297314, 8.892687686004393, 9.278934514703154, 8.948115678258654, 8.971319881576218, 8.748432626135553, 8.804276480159128, 10.007498123226299, 8.597193012498266, 9.42081320170823, 8.799877104909779, 7.954303951664963, 9.064700111340771, 8.334974109581939, 9.092233166147103, 8.380564007232781, 9.110555266543052, 8.754189916122986, 9.235354360687337, 8.857914142999405, 8.988471105922367, 8.006179366132486, 8.359397189258612, 9.642106967532346, 8.038444565864229, 9.022191902380094, 9.243560660249353, 8.476534639391328, 10.172996162958249, 7.6727369757788235, 8.884869256519135, 8.840044835043402, 8.988541208228428, 8.542325947681755, 8.700253773471989, 8.791341480345595, 9.978142688030394, 8.27125594399489, 9.096106385955482, 9.56333981184319, 9.155966640370172, 9.671668389173874, 8.817000485656239, 8.318287231306714, 9.206617467072052, 7.886659868533251, 8.844380969489553, 8.73319985566765, 7.856084003193618, 10.292362881794759, 8.173186808400928, 8.933320156199049]",8.897,0.59
../test_data\airfoil_self_noise_processed.csv,0.2,RF[500],"[8.052757312567785, 9.556259318523454, 8.538793925869628, 9.37401038874482, 9.754075185780977, 9.571849088031012, 8.87868067281841, 8.736499675292919, 7.862969528863179, 9.231585359819004, 8.155098744496987, 9.51140706654699, 9.067250266789214, 8.543119653814161, 8.941075344263878, 8.124120329229308, 8.777679175220516, 9.846204933725003, 9.38808131950162, 8.667740744083558, 8.669047638484988, 9.19824425792341, 10.019178638218081, 7.796759370430184, 8.500208946436898, 9.062923514972464, 8.383835506231396, 8.819765424572347, 9.153269745586956, 8.848848317461576, 8.8094700814283, 9.104889139581662, 8.260027524228612, 9.872975664095542, 8.964799454311358, 8.519350893711715, 8.879114627240758, 8.674378107704731, 8.639821974990287, 8.935490062023666, 7.794336679031802, 9.792955300369117, 9.26490025345467, 8.770896324520875, 7.9972132583007935, 9.94205878284243, 8.398213638280428, 8.608473067736165, 8.512510895805034, 8.86641310072038, 9.251727358080002, 8.75936790229682, 8.862941468446303, 8.337231943297766, 8.704569755875664, 9.940957137647816, 8.499504409970353, 9.20507539302088, 8.704990906968147, 7.80546359466362, 8.945339377796996, 8.211854468113206, 9.045467328431549, 8.337843842531665, 9.02083980154107, 8.961968199309931, 9.021830825232723, 8.748656011830532, 8.97951762113876, 8.122434050117183, 8.255251105961005, 9.38663378584852, 8.081451030735504, 9.021182287394232, 9.1938663023481, 8.158591475813152, 10.042482353874139, 7.531853629427882, 8.714265550073717, 8.678545629963883, 9.030176504670163, 8.633665655833127, 8.548246151260082, 8.673743177510856, 9.861995455122068, 8.17177504060608, 8.933177920471302, 9.27614159776827, 9.292885838329711, 9.578347577167252, 8.748629630767647, 8.253777216355957, 9.031517121672378, 7.720101190812737, 8.878858327268512, 8.563893548063467, 7.809747209940369, 10.251031774726423, 8.145948287517557, 8.988510803387744]",8.826,0.578
../test_data\airfoil_self_noise_processed.csv,0.2,RF[md10],"[8.025722056722792, 10.10798238998709, 8.808128092388522, 9.66755456425598, 9.505986526979004, 9.574227444655873, 9.40050606684846, 9.341595601089091, 8.561925053803261, 9.513688740774127, 8.413901907510533, 9.77349455428298, 9.40425597963078, 9.12526039405406, 9.159763464219287, 8.739312033968705, 8.959576223734631, 10.4350274535862, 10.138532740205308, 8.986017142235946, 8.901663180678957, 9.426607780449153, 10.152899734605004, 7.732941553904731, 9.152049182518224, 9.099731982135106, 8.57395200508152, 9.193228195311764, 9.42261907261476, 8.86055436483125, 8.88309890312286, 9.186865840002055, 8.392468224914944, 9.791377370712613, 9.249550255760582, 8.905781089645862, 9.307863045967116, 8.866573225591926, 8.994330448789608, 9.415774515916741, 8.123049889329485, 9.991194821716439, 9.57651550114889, 9.388080138246146, 8.126111529076734, 10.370280757173893, 8.492194783014545, 9.378776016125157, 8.876134701811411, 9.19873944862132, 9.797521620298797, 9.171505944573973, 9.260029975190964, 8.957406450534986, 9.116419160625378, 10.249373756533144, 8.983483502197599, 9.840800788166481, 9.05278533682574, 8.241230606097064, 9.43228627427473, 8.489309027694475, 9.564573471732238, 8.650471773874402, 9.500899319188534, 9.174814021052162, 9.196410596937016, 8.876665733143062, 9.064225164638744, 8.338170152131266, 8.664727931111605, 10.052984976085108, 8.455042994760706, 9.355426976361594, 9.537461556977938, 8.925776479703725, 10.51191293212164, 8.066371991422773, 9.153050413431869, 9.065733735054135, 9.231795893389222, 8.800369314382287, 9.237648474067178, 9.006067991076664, 10.343671485701238, 8.934566392838011, 9.097622370841883, 9.896677395000477, 9.638700536784162, 9.784539997974155, 9.14723473034114, 8.525551003245297, 9.174622262328887, 8.115115334643411, 8.864279226772501, 8.555164328999881, 7.975951626617443, 10.719300527236602, 8.218519472239016, 9.135087113093876]",9.158,0.604
../test_data\airfoil_self_noise_processed.csv,0.2,RF[md15],"[7.875631278952089, 9.85261457430484, 8.583267005307116, 9.507353853240792, 9.531222394056153, 9.403506618917367, 9.278678749088094, 9.11135802984476, 8.457291127191848, 9.384085253595584, 8.222896310694487, 9.608986559727324, 9.219646102916311, 9.028700906708702, 8.95758589257446, 8.473540084693648, 8.77148003516361, 10.071680380978968, 9.89301813275981, 8.750026523505017, 8.958958089141191, 9.179713685456298, 9.91816117305961, 7.473265599400008, 8.899495478852742, 8.994760540410212, 8.532003244134222, 8.990188444775628, 9.14443782864065, 8.735352429507879, 8.688698443477659, 8.932801928709068, 8.15511575004024, 9.677492457290983, 8.943491027355103, 8.770082370416835, 8.901239821780699, 8.757593639176793, 8.775103033058224, 9.177968943187796, 7.925461145699377, 9.852431949374793, 9.425530045116547, 9.148963809097818, 7.979218054827313, 10.034185484615692, 8.277582110166463, 9.208118681822572, 8.615599548897594, 8.985553001613818, 9.57131804852038, 8.938302324615178, 9.031927149672999, 8.820548931538045, 8.855537033656685, 10.009828529607113, 8.82941668359759, 9.446921419546952, 8.93392383463478, 7.888943925278203, 9.282851928370548, 8.212316241519172, 9.255348196647853, 8.487444026875174, 9.428087123442285, 8.848950135368767, 9.087350504726391, 8.715709064224951, 8.801756972532933, 8.151408372885449, 8.435369790344982, 9.788415356862847, 8.210232354562391, 9.093647496339361, 9.21562383800545, 8.687070997201431, 10.424099363095062, 7.945279625630397, 9.007525372731124, 8.912914309395688, 9.050566335433873, 8.543475575821661, 9.073922331741988, 8.80468855285093, 10.224406017093983, 8.571029119107857, 9.037238744317902, 9.680682025530158, 9.371578558421044, 9.529155237082094, 8.97207227148479, 8.413680664320932, 8.96292150265931, 7.851590294789562, 8.705812475786146, 8.427315092721365, 7.75590925899537, 10.493510949324168, 8.023068453920976, 8.923556300443602]",8.958,0.6
../test_data\airfoil_self_noise_processed.csv,0.2,RF[md20],"[7.837357506223019, 9.864489566889631, 8.53009989616768, 9.461921447614534, 9.529260301506033, 9.432699541651635, 9.31525964768736, 9.172642273241998, 8.466145638674396, 9.31022899302464, 8.249344327017583, 9.57415875511652, 9.239867548241111, 9.035484134299624, 8.937146600607317, 8.522613138350698, 8.742282863841258, 10.11571843693024, 9.908717469046953, 8.761186810774202, 8.898800835239241, 9.166270542670604, 9.917586448640686, 7.446652027091878, 8.866172607872459, 8.988249352227998, 8.548500075061174, 9.030844158017047, 9.161295580697999, 8.72393325863464, 8.711504461998002, 8.91654453723958, 8.210712396835106, 9.724499711209324, 8.93964644830241, 8.7715387768843, 8.932654353693353, 8.768978149887383, 8.761269508990152, 9.174138318215185, 7.854761581102712, 9.827716402253822, 9.434256499034037, 9.193649047503209, 7.95803573349923, 10.011017749623612, 8.2408977098003, 9.244524568483376, 8.562484161252266, 8.952683872788818, 9.57732190600881, 8.918363616361937, 9.050622713711613, 8.798114572081886, 8.838139012910391, 9.961165380500168, 8.821873601085668, 9.483102137124076, 8.854602425834601, 7.880182634672754, 9.300090132605748, 8.184214567801199, 9.258287180212637, 8.554184371296934, 9.366431976454141, 8.919195393577116, 9.099881277002815, 8.750296134129451, 8.803848439409627, 8.152006914588267, 8.468153276657343, 9.774826138171768, 8.227237830018105, 9.104624264439385, 9.251584420182054, 8.74322365237526, 10.436813598399468, 7.922246759023082, 8.956273492968762, 8.915930441093222, 9.052504367974473, 8.582897146110987, 9.036110088806934, 8.818859219964745, 10.181807648295067, 8.561637888641947, 9.0316540418483, 9.662698188299634, 9.460199836744817, 9.521687651323315, 8.976739407406406, 8.439406028303862, 8.981079150403582, 7.82331620303212, 8.67250021001115, 8.405300817658757, 7.758433179127294, 10.505355586873524, 8.038018966694436, 8.933051100600151]",8.958,0.602
../test_data\airfoil_self_noise_processed.csv,0.2,RF[md25],"[7.837357506223019, 9.864489566889631, 8.53009989616768, 9.461921447614534, 9.529260301506033, 9.432699541651635, 9.31525964768736, 9.172642273241998, 8.466145638674396, 9.31022899302464, 8.249344327017583, 9.57415875511652, 9.239867548241111, 9.035484134299624, 8.928883660807067, 8.542208913107466, 8.747339066430218, 10.11571843693024, 9.908717469046953, 8.761186810774202, 8.89627276082581, 9.166270542670604, 9.917586448640686, 7.451160205686288, 8.866172607872459, 8.988249352227998, 8.548500075061174, 9.030844158017047, 9.161295580697999, 8.72393325863464, 8.711504461998002, 8.920361194806958, 8.210712396835106, 9.724499711209324, 8.93964644830241, 8.7715387768843, 8.931477527722075, 8.768978149887383, 8.761269508990152, 9.174138318215185, 7.875341283251349, 9.827716402253822, 9.434256499034037, 9.200356686947684, 7.95803573349923, 10.01206918035619, 8.2408977098003, 9.244524568483376, 8.562484161252266, 8.952683872788818, 9.57732190600881, 8.918363616361937, 9.050622713711613, 8.798114572081886, 8.838139012910391, 9.961165380500168, 8.821873601085668, 9.483102137124076, 8.854602425834601, 7.8734958518609615, 9.300090132605748, 8.19469477244261, 9.260973763056148, 8.554184371296934, 9.366431976454141, 8.919195393577116, 9.099881277002815, 8.750296134129451, 8.80654501289324, 8.152006914588267, 8.468153276657343, 9.774826138171768, 8.227237830018105, 9.104624264439385, 9.251584420182054, 8.74322365237526, 10.436813598399468, 7.917197982702445, 8.956273492968762, 8.915930441093222, 9.052504367974473, 8.582897146110987, 9.036110088806934, 8.814188261466075, 10.181807648295067, 8.561637888641947, 9.0316540418483, 9.662698188299634, 9.460199836744817, 9.521687651323315, 8.976739407406406, 8.439406028303862, 8.981079150403582, 7.82331620303212, 8.67250021001115, 8.405300817658757, 7.761114204955487, 10.500262384724655, 8.038018966694436, 8.933051100600151]",8.958,0.602
../test_data\airfoil_self_noise_processed.csv,0.2,RF[mss3],"[8.037075846854163, 10.026745277558621, 8.794218585727032, 9.651953829215566, 9.718573982541871, 9.618432605979038, 9.512918992246556, 9.22485704558528, 8.63357428664033, 9.612529701313033, 8.444304877645477, 9.739992673168027, 9.534667518550625, 9.183586487089169, 9.35507895963745, 8.81512658079046, 9.011111130001282, 10.489621505012336, 10.133892408384288, 8.998197028435449, 9.032586863298503, 9.579397547912528, 10.088918800683219, 7.7939075314798, 9.06147061382564, 9.259273502509787, 8.762013559867688, 9.217342775655363, 9.42017516501157, 8.978754793827513, 9.011748390866272, 9.116885860138785, 8.44464175472833, 10.007936072727754, 9.229094972448129, 9.009335598451292, 9.212841537111457, 9.032933182041413, 8.951135816084461, 9.347868280635767, 8.08735047265483, 10.016573212118095, 9.725708850783366, 9.382134379418721, 8.164267180572203, 10.268685954890447, 8.61410777524505, 9.491303024404138, 8.84426314100382, 9.250807003066159, 9.919032423774057, 9.217816769065756, 9.332702688230722, 8.97821089460921, 9.129393342440208, 10.14299381711736, 9.141162451989977, 9.680435739410614, 9.214657340451172, 8.204210747351425, 9.566538291588275, 8.545759277144416, 9.486931872404146, 8.68926817853181, 9.581696573785546, 9.21464946563767, 9.427438657727198, 8.944253657861285, 9.072732499630389, 8.275993442472933, 8.523625728915581, 10.120083045176257, 8.542521770391994, 9.37642758376126, 9.669500347159758, 8.871177072360982, 10.67536621999359, 8.031433037862557, 9.17056170812744, 9.22738137252936, 9.290407366266008, 8.715394650365157, 9.309369795746276, 9.103000793224934, 10.375382722980683, 8.84119053433096, 9.16957783158765, 9.841582997672344, 9.689052459992444, 9.864470955649882, 9.123792955309062, 8.528321685177888, 9.385948380178913, 8.036682067670004, 8.953378557832897, 8.592427111852212, 8.173367173590751, 10.788155406117905, 8.14186070248784, 9.106306703471992]",9.199,0.609
../test_data\airfoil_self_noise_processed.csv,0.2,RF[mss4],"[8.60096528192638, 10.42685368680369, 9.238237282148182, 10.19515076548631, 10.028492897180222, 10.10272852080521, 9.906495227088511, 9.736590483975531, 8.989485838342297, 10.124883426184354, 8.839253897485468, 10.216221075664059, 10.141545616830422, 9.484980121914063, 9.633109202722702, 9.090804891414585, 9.58746208865631, 10.828357111478615, 10.55474917007025, 9.292385060306316, 9.40593426605228, 9.857363990036502, 10.533002787072395, 8.188638228569356, 9.51447392289357, 9.692206363502999, 9.14652763267204, 9.635167682061324, 9.774509747925137, 9.372162588445914, 9.389033228444564, 9.62536993801544, 8.784359229490072, 10.391048123584106, 9.616865341025806, 9.399938829163169, 9.630534137924464, 9.404365650373208, 9.397247956109078, 9.717052329258703, 8.396601029886902, 10.492636223150848, 10.087126700748973, 9.763122218691322, 8.56479617117063, 10.731283034635297, 8.928537129074247, 9.7916781423438, 9.173376026288498, 9.735326531786308, 10.19402608277528, 9.64319561370388, 9.677801330955399, 9.305867070798206, 9.495100890432646, 10.577291650765583, 9.583660620614248, 10.016857993639976, 9.639533093186207, 8.59635309192749, 9.91095408670359, 8.882039287241904, 9.991281457364044, 9.143331828130218, 10.064555787075735, 9.60715454853036, 9.902427708399225, 9.30738931065792, 9.466861871742422, 8.639231700610127, 8.866044292712868, 10.488017027474559, 8.895693704138397, 9.823663000927304, 10.183908261542829, 9.288175352899012, 11.108116631105556, 8.405462992126882, 9.6117567687322, 9.696738260082011, 9.652825907330447, 9.126005037555231, 9.656409649704504, 9.44120122109153, 10.977059401114728, 9.253724100958616, 9.523271671863347, 10.427691220586299, 10.11621810420749, 10.379573494163592, 9.568697066688797, 9.020923679795443, 9.766072514925863, 8.44772860417647, 9.411780264195935, 9.042692214215633, 8.511481840109726, 11.141146327069722, 8.647678088230863, 9.555749390925026]",9.608,0.624
../test_data\airfoil_self_noise_processed.csv,0.2,RF[mss6],"[9.539768017607901, 11.426699052794604, 10.380258274742392, 11.13198181539255, 11.168576010015745, 11.271754285776105, 10.918081786884184, 10.759887516173748, 9.972025604964598, 11.191246116925246, 9.830249136207263, 11.345267425377177, 11.408883328785778, 10.394565212111202, 10.70656824095962, 10.277122197056451, 10.593338638981802, 11.902117100604094, 11.704473399396479, 10.361826704598112, 10.647663006458526, 11.006865953820514, 11.807045803782751, 9.20190536352103, 10.390945031769716, 10.767626217923347, 10.26392784059978, 10.638081929654508, 10.885067930120874, 10.225624133366605, 10.22363084554814, 10.76301168062121, 9.759704891687836, 11.538141526539462, 10.74404183676251, 10.221943309503382, 10.670344298267633, 10.564506362616266, 10.284076398931262, 10.728700424736171, 9.310857974144117, 11.454095555058068, 11.244906142802247, 10.73385462408339, 9.600364116121577, 11.787895517206117, 9.803077134255808, 10.837534746410322, 10.234962778417133, 10.937835452520995, 11.114407309316105, 10.69336660382759, 10.782039040939308, 10.31307362203318, 10.495326182221168, 11.684996125224842, 10.641411384071837, 10.993922799838053, 10.687893961223127, 9.578377244655368, 10.979342273275018, 9.904107047365194, 10.978437580270965, 10.057563921888628, 11.02287928831255, 10.841421220081665, 11.201273224570595, 10.454025054172249, 10.523868128046429, 9.772296433070402, 9.872120355070019, 11.688388602104308, 9.974480909682162, 10.672833260425232, 11.118947990551828, 10.21326531673536, 12.15486116382937, 9.14643047057132, 10.688742048147816, 10.741034579116182, 10.652793740252712, 10.246752041737977, 10.779674491271768, 10.296979118222454, 12.06638144592402, 10.117836432643628, 10.386521123826029, 11.659783647392644, 11.431313498416282, 11.140291344871335, 10.707778805703796, 9.954683469060205, 10.771772980298772, 9.2870868582936, 10.277804044187173, 10.05917781878795, 9.536484743234523, 12.270886374224721, 9.602944164680826, 10.525804420326443]",10.643,0.673
