dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
../test_data\bodyfat_processed.csv,0.2,RF[100],"[4.478655611111108, 2.466451515873013, 5.950317119047619, 2.284495341269841, 2.558943880952378, 5.203281944444447, 4.736257968253963, 2.265239746031745, 2.4711735714285714, 6.043935158730155, 2.3494272301587276, 5.9231201269841405, 2.162275396825396, 5.030130944444438, 5.2033999920635, 2.799758793650793, 5.447332238095242, 3.9288744682539667, 2.940544007936501, 5.015704587301586, 5.47648823015873, 2.5165859444444454, 6.35435253174602, 2.065126428571433, 6.559595706349207, 2.2336735873015865, 2.695010761904762, 5.1174300952380944, 6.446627484126987, 1.9137774444444422, 4.60836439682538, 2.7019168174603148, 1.4478146111111123, 7.394523198412697, 1.695388865079368, 5.889700515873005, 3.627101039682534, 4.187355238095238, 1.3998463174603197, 7.219966388888896, 4.143280587301588, 3.983556793650785, 5.464127706349206, 2.7115202460317454, 5.014480412698412, 2.9943500634920603, 1.7933680793650804, 5.576211833333335, 4.961767380952385, 3.1969543571428587, 3.139220626984133, 5.03978847619047, 6.716020912698401, 2.555001484126986, 3.3984207698412683, 3.7980540238095224, 3.962926476190476, 3.4712553730158753, 2.995467714285713, 4.9859544920635015, 1.5426309444444455, 5.521991873015871, 3.871441579365079, 3.1044056031746017, 5.58876712698413, 2.126414174603176, 3.2079482619047583, 6.1394659603174615, 5.02584498412699, 2.0966438650793613, 4.5342648174603175, 3.3890549682539644, 6.4036563571428555, 1.4769057301587232, 3.4790675079364957, 4.0483556190476175, 9.14878477777777, 1.1694322301587325, 2.8006803412698384, 5.227406468253971, 5.488176730158733, 2.509524293650793, 3.3886384206349134, 4.973263301587306, 2.1534225158730185, 6.0033499444444525, 4.0566854523809495, 3.769510587301584, 5.864953142857128, 3.3896250873015887, 4.895725904761906, 2.7109960555555594, 3.929186666666658, 3.9084673095238105, 2.622530682539681, 5.975933444444445, 4.135719238095242, 3.66586007142857, 1.6668128333333343, 5.890238007936487]",4.016,1.621
../test_data\bodyfat_processed.csv,0.2,RF[200],"[4.571340067460311, 2.580621615079359, 5.871881404761915, 2.3538698452380955, 2.4564375436507944, 5.311287017857139, 4.9026122619047605, 2.2090365138888823, 2.4175597817460295, 5.747899075396824, 2.15832210119047, 5.980465990079371, 2.1296333373015837, 4.935257132936496, 5.263362456349181, 2.908208482142854, 5.246295634920637, 3.7012117539682508, 2.670661484126972, 5.319203047619053, 5.513592728174586, 2.553980426587301, 6.054229170634932, 1.8513479861111073, 6.53088239087303, 2.247974781746021, 2.605063170634915, 4.703032720238088, 6.366271327380953, 1.9254756726190394, 4.481015773809502, 2.7836660734126872, 1.1782012678571374, 7.1503710753968255, 1.5760762440476157, 5.851322813492063, 3.4856410138888783, 4.198338587301577, 1.4561693333333345, 7.203430839285721, 4.077056793650778, 3.338738299603184, 5.297079178571414, 2.616774273809526, 4.944752442460296, 2.8601627460317447, 1.7722173968253894, 5.626492005952367, 5.021007373015881, 3.1516420178571405, 3.057586998015876, 5.02733479365078, 6.4349684563491785, 2.5551285496031717, 3.322235537698396, 3.7055785436507933, 4.174564757936509, 3.2645433055555406, 2.933870057539682, 5.1295144563492014, 1.7114698928571372, 5.522666982142842, 3.671536519841255, 3.19164542857143, 5.417038878968229, 2.177038821428569, 3.126152083333327, 6.007706498015867, 4.977701773809529, 1.9560635257936403, 4.3871038908729965, 3.504385188492055, 6.273264878968256, 1.3274354801587225, 3.553467438492057, 3.7187062003968063, 8.939245218253975, 1.0466674166666694, 2.720143224206345, 5.09894121626983, 5.078538353174605, 2.508074503968249, 3.2536647301587243, 4.5230298690476, 2.1454111944444447, 5.9821152857143085, 3.900154521825384, 3.3281487083333126, 5.963340170634912, 3.5295377936507912, 4.852506369047601, 2.4758532500000037, 3.7971873432539622, 3.53498970634919, 2.5587688789682534, 5.481202962301546, 4.154705087301593, 3.400537982142845, 1.5980210039682496, 5.892884257936497]",3.93,1.604
../test_data\bodyfat_processed.csv,0.2,RF[500],"[4.537712058095255, 2.668783977142866, 5.941362633333381, 2.2389842057142877, 2.3538265450793774, 5.372847912380924, 4.821063298412688, 2.1499138663492188, 2.4588925828571435, 5.5939514044444945, 2.0418084209523855, 6.022780380317458, 2.1388737565079317, 5.001295910158783, 5.0408381673015965, 2.9896498003174705, 5.295003862222177, 3.5477377736508164, 2.6175723873015957, 5.242551256190464, 5.437381406349207, 2.5925723485714385, 6.017236428254027, 1.9088901965079186, 6.505826395873005, 2.2537653774603172, 2.7041779971428674, 4.768494980952417, 6.332453574920648, 1.9284022190476375, 4.520578029523868, 2.7288981295237944, 1.2991038644444368, 7.254943411746056, 1.4748393885714215, 5.754514482857195, 3.6109383514285796, 3.955560519365088, 1.6083953815872876, 7.0653262250793185, 4.017629282222229, 3.383953903809549, 5.232050820952429, 2.507624052380951, 5.060308215238124, 2.7848353387301765, 1.7314097609523798, 5.834141845396836, 4.748410570476179, 3.1383817260317493, 2.9961679507936188, 4.762100628254019, 6.302101341587327, 2.5172357698412657, 3.360503625079382, 3.575854459047611, 4.239669174285735, 3.220930538730127, 2.874387372380983, 5.123229452063501, 1.6336112111111103, 5.583389815238098, 3.6931022485714364, 3.2424349126984175, 5.315971551111156, 2.1579599438095323, 3.0106135688888953, 6.108817746666652, 4.989962880317471, 1.8180085673015947, 4.428012165396816, 3.248424036507952, 6.341469298412661, 1.3460059780952722, 3.5882096133333583, 3.8380166834920537, 8.966374583809497, 1.1399851628571422, 2.4965969047619305, 5.042327433015871, 5.131452561269892, 2.6283378022222155, 3.2061454761904975, 4.470053672698408, 2.092277953333341, 5.979092994285719, 3.7293533015873246, 3.3908273990476157, 5.808073508571469, 3.6935540841269807, 4.623735716825464, 2.484240259047598, 3.850505541269862, 3.483465767936516, 2.4724723482539845, 5.263148981904756, 4.052697299365088, 3.387176128571433, 1.6398699701587207, 5.8850571631746815]",3.905,1.599
../test_data\bodyfat_processed.csv,0.2,RF[md10],"[4.478655611111108, 2.466451515873013, 5.950317119047619, 2.284495341269841, 2.558943880952378, 5.203281944444447, 4.736257968253963, 2.265239746031745, 2.4711735714285714, 6.043935158730155, 2.3494272301587276, 5.9231201269841405, 2.162275396825396, 5.030130944444438, 5.2033999920635, 2.799758793650793, 5.447332238095242, 3.9288744682539667, 2.940544007936501, 5.015704587301586, 5.47648823015873, 2.5165859444444454, 6.35435253174602, 2.065126428571433, 6.559595706349207, 2.2336735873015865, 2.695010761904762, 5.1174300952380944, 6.446627484126987, 1.9137774444444422, 4.60836439682538, 2.7019168174603148, 1.4478146111111123, 7.394523198412697, 1.695388865079368, 5.889700515873005, 3.627101039682534, 4.187355238095238, 1.3998463174603197, 7.219966388888896, 4.143280587301588, 3.983556793650785, 5.464127706349206, 2.7115202460317454, 5.014480412698412, 2.9943500634920603, 1.7933680793650804, 5.576211833333335, 4.961767380952385, 3.1969543571428587, 3.139220626984133, 5.03978847619047, 6.716020912698401, 2.555001484126986, 3.3984207698412683, 3.7980540238095224, 3.962926476190476, 3.4712553730158753, 2.995467714285713, 4.9859544920635015, 1.5426309444444455, 5.521991873015871, 3.871441579365079, 3.1044056031746017, 5.58876712698413, 2.126414174603176, 3.2079482619047583, 6.1394659603174615, 5.02584498412699, 2.0966438650793613, 4.5342648174603175, 3.3890549682539644, 6.4036563571428555, 1.4769057301587232, 3.4790675079364957, 4.0483556190476175, 9.14878477777777, 1.1694322301587325, 2.8006803412698384, 5.227406468253971, 5.488176730158733, 2.509524293650793, 3.3886384206349134, 4.973263301587306, 2.1534225158730185, 6.0033499444444525, 4.0566854523809495, 3.769510587301584, 5.864953142857128, 3.3896250873015887, 4.895725904761906, 2.7109960555555594, 3.929186666666658, 3.9084673095238105, 2.622530682539681, 5.975933444444445, 4.135719238095242, 3.66586007142857, 1.6668128333333343, 5.890238007936487]",4.016,1.621
../test_data\bodyfat_processed.csv,0.2,RF[md15],"[4.478655611111108, 2.466451515873013, 5.950317119047619, 2.284495341269841, 2.558943880952378, 5.203281944444447, 4.736257968253963, 2.265239746031745, 2.4711735714285714, 6.043935158730155, 2.3494272301587276, 5.9231201269841405, 2.162275396825396, 5.030130944444438, 5.2033999920635, 2.799758793650793, 5.447332238095242, 3.9288744682539667, 2.940544007936501, 5.015704587301586, 5.47648823015873, 2.5165859444444454, 6.35435253174602, 2.065126428571433, 6.559595706349207, 2.2336735873015865, 2.695010761904762, 5.1174300952380944, 6.446627484126987, 1.9137774444444422, 4.60836439682538, 2.7019168174603148, 1.4478146111111123, 7.394523198412697, 1.695388865079368, 5.889700515873005, 3.627101039682534, 4.187355238095238, 1.3998463174603197, 7.219966388888896, 4.143280587301588, 3.983556793650785, 5.464127706349206, 2.7115202460317454, 5.014480412698412, 2.9943500634920603, 1.7933680793650804, 5.576211833333335, 4.961767380952385, 3.1969543571428587, 3.139220626984133, 5.03978847619047, 6.716020912698401, 2.555001484126986, 3.3984207698412683, 3.7980540238095224, 3.962926476190476, 3.4712553730158753, 2.995467714285713, 4.9859544920635015, 1.5426309444444455, 5.521991873015871, 3.871441579365079, 3.1044056031746017, 5.58876712698413, 2.126414174603176, 3.2079482619047583, 6.1394659603174615, 5.02584498412699, 2.0966438650793613, 4.5342648174603175, 3.3890549682539644, 6.4036563571428555, 1.4769057301587232, 3.4790675079364957, 4.0483556190476175, 9.14878477777777, 1.1694322301587325, 2.8006803412698384, 5.227406468253971, 5.488176730158733, 2.509524293650793, 3.3886384206349134, 4.973263301587306, 2.1534225158730185, 6.0033499444444525, 4.0566854523809495, 3.769510587301584, 5.864953142857128, 3.3896250873015887, 4.895725904761906, 2.7109960555555594, 3.929186666666658, 3.9084673095238105, 2.622530682539681, 5.975933444444445, 4.135719238095242, 3.66586007142857, 1.6668128333333343, 5.890238007936487]",4.016,1.621
../test_data\bodyfat_processed.csv,0.2,RF[md20],"[4.478655611111108, 2.466451515873013, 5.950317119047619, 2.284495341269841, 2.558943880952378, 5.203281944444447, 4.736257968253963, 2.265239746031745, 2.4711735714285714, 6.043935158730155, 2.3494272301587276, 5.9231201269841405, 2.162275396825396, 5.030130944444438, 5.2033999920635, 2.799758793650793, 5.447332238095242, 3.9288744682539667, 2.940544007936501, 5.015704587301586, 5.47648823015873, 2.5165859444444454, 6.35435253174602, 2.065126428571433, 6.559595706349207, 2.2336735873015865, 2.695010761904762, 5.1174300952380944, 6.446627484126987, 1.9137774444444422, 4.60836439682538, 2.7019168174603148, 1.4478146111111123, 7.394523198412697, 1.695388865079368, 5.889700515873005, 3.627101039682534, 4.187355238095238, 1.3998463174603197, 7.219966388888896, 4.143280587301588, 3.983556793650785, 5.464127706349206, 2.7115202460317454, 5.014480412698412, 2.9943500634920603, 1.7933680793650804, 5.576211833333335, 4.961767380952385, 3.1969543571428587, 3.139220626984133, 5.03978847619047, 6.716020912698401, 2.555001484126986, 3.3984207698412683, 3.7980540238095224, 3.962926476190476, 3.4712553730158753, 2.995467714285713, 4.9859544920635015, 1.5426309444444455, 5.521991873015871, 3.871441579365079, 3.1044056031746017, 5.58876712698413, 2.126414174603176, 3.2079482619047583, 6.1394659603174615, 5.02584498412699, 2.0966438650793613, 4.5342648174603175, 3.3890549682539644, 6.4036563571428555, 1.4769057301587232, 3.4790675079364957, 4.0483556190476175, 9.14878477777777, 1.1694322301587325, 2.8006803412698384, 5.227406468253971, 5.488176730158733, 2.509524293650793, 3.3886384206349134, 4.973263301587306, 2.1534225158730185, 6.0033499444444525, 4.0566854523809495, 3.769510587301584, 5.864953142857128, 3.3896250873015887, 4.895725904761906, 2.7109960555555594, 3.929186666666658, 3.9084673095238105, 2.622530682539681, 5.975933444444445, 4.135719238095242, 3.66586007142857, 1.6668128333333343, 5.890238007936487]",4.016,1.621
../test_data\bodyfat_processed.csv,0.2,RF[md25],"[4.478655611111108, 2.466451515873013, 5.950317119047619, 2.284495341269841, 2.558943880952378, 5.203281944444447, 4.736257968253963, 2.265239746031745, 2.4711735714285714, 6.043935158730155, 2.3494272301587276, 5.9231201269841405, 2.162275396825396, 5.030130944444438, 5.2033999920635, 2.799758793650793, 5.447332238095242, 3.9288744682539667, 2.940544007936501, 5.015704587301586, 5.47648823015873, 2.5165859444444454, 6.35435253174602, 2.065126428571433, 6.559595706349207, 2.2336735873015865, 2.695010761904762, 5.1174300952380944, 6.446627484126987, 1.9137774444444422, 4.60836439682538, 2.7019168174603148, 1.4478146111111123, 7.394523198412697, 1.695388865079368, 5.889700515873005, 3.627101039682534, 4.187355238095238, 1.3998463174603197, 7.219966388888896, 4.143280587301588, 3.983556793650785, 5.464127706349206, 2.7115202460317454, 5.014480412698412, 2.9943500634920603, 1.7933680793650804, 5.576211833333335, 4.961767380952385, 3.1969543571428587, 3.139220626984133, 5.03978847619047, 6.716020912698401, 2.555001484126986, 3.3984207698412683, 3.7980540238095224, 3.962926476190476, 3.4712553730158753, 2.995467714285713, 4.9859544920635015, 1.5426309444444455, 5.521991873015871, 3.871441579365079, 3.1044056031746017, 5.58876712698413, 2.126414174603176, 3.2079482619047583, 6.1394659603174615, 5.02584498412699, 2.0966438650793613, 4.5342648174603175, 3.3890549682539644, 6.4036563571428555, 1.4769057301587232, 3.4790675079364957, 4.0483556190476175, 9.14878477777777, 1.1694322301587325, 2.8006803412698384, 5.227406468253971, 5.488176730158733, 2.509524293650793, 3.3886384206349134, 4.973263301587306, 2.1534225158730185, 6.0033499444444525, 4.0566854523809495, 3.769510587301584, 5.864953142857128, 3.3896250873015887, 4.895725904761906, 2.7109960555555594, 3.929186666666658, 3.9084673095238105, 2.622530682539681, 5.975933444444445, 4.135719238095242, 3.66586007142857, 1.6668128333333343, 5.890238007936487]",4.016,1.621
../test_data\bodyfat_processed.csv,0.2,RF[mss3],"[4.3881766249448875, 2.489707939704585, 6.067421839971338, 2.3877905215365955, 2.6557569225264572, 5.1533426074735456, 4.7570553700176434, 2.2633382374338606, 2.401264605108027, 6.147661341512335, 2.3025437391424157, 5.868454942116409, 2.169618721009703, 5.161076820008813, 5.088173903727962, 2.971020909453262, 5.339591621527778, 3.765192341820985, 2.899633046516755, 5.174315084656079, 5.476214461296299, 2.4815701209215204, 6.209896742806432, 2.17017054298942, 6.47227966132055, 2.126322800826717, 2.7582328764329795, 5.181647109711192, 6.359636425981061, 1.9816283090895066, 4.708155914797172, 2.759574509545856, 1.502950061948852, 7.28001136791005, 1.6053081997089993, 5.918681663939596, 3.872315549420193, 4.240011719190928, 1.4138283276521184, 7.340798088611126, 4.057862950698858, 4.076930732859342, 5.41369509496472, 2.5205005860890655, 5.297636802059085, 2.8381240679012296, 1.8211886092261942, 5.58284187182981, 5.037732241181682, 3.217705754133598, 3.0234387665851026, 4.993887841117729, 6.707796754922845, 2.6304842787962954, 3.3082234505048573, 3.7108399090476145, 4.047852199845684, 3.4038872075044093, 2.921804171190477, 4.958165798048947, 1.4974935594598766, 5.284542700231488, 3.9915243706900414, 3.191223462098768, 5.665129978101845, 2.1109456797839496, 3.2433258357561723, 6.09506508151456, 5.059358229387116, 2.124791247910052, 4.5322881876344745, 3.319717344521598, 6.38590177905644, 1.4131708935008762, 3.424911098379631, 4.126541295901674, 9.044137538300257, 1.1143630156900373, 2.61114720486331, 5.344167053496484, 5.502701308531753, 2.539234124695769, 3.3950460707253094, 5.035320210734122, 2.2065525895216083, 6.045679014799398, 4.007786544733249, 3.7238270528020276, 5.9207068363095114, 2.9459779167041455, 4.859883341283076, 2.686336179464291, 3.874526384534822, 3.9966212767857168, 2.559847808201058, 6.0104439246186185, 4.17207128937389, 3.657455738646385, 1.7707486429122572, 5.837589334922824]",4.012,1.622
../test_data\bodyfat_processed.csv,0.2,RF[mss4],"[4.5432456892019415, 2.6982810919510563, 6.176376819922837, 2.4274087235295414, 2.5669134542857175, 5.288505885507055, 4.8599421031856265, 2.283822408721339, 2.5300142578813953, 6.426746288873447, 2.3716123714021142, 6.230862059104945, 2.4117976934567915, 5.326156598796295, 5.200225777938711, 3.065884946906965, 5.348930719702378, 3.774380392879186, 2.9354528449933865, 5.233967639131395, 5.6285366659766405, 2.534425854190922, 6.354032760776007, 2.1800186956812158, 6.768927748478834, 2.2071100834678115, 2.7269396097927685, 5.285243987288353, 6.414998177689612, 2.045905470469576, 4.767469901699728, 2.684272811278664, 1.4151330315167516, 7.458740954758355, 1.5392630574228408, 5.994000957330786, 3.874029699351585, 4.288962712775581, 1.409814274138007, 7.308132599343068, 4.2214360882892485, 4.1615027816357975, 5.638541277610234, 2.5552606605912773, 5.208814218126093, 2.9386599503681623, 1.9054826953262818, 5.733860914400355, 5.141680607881406, 3.18862830794092, 3.096939454966935, 5.2325972789363115, 6.581986275149926, 2.6514584545524698, 3.5365039413073274, 3.7526292983156955, 3.8408067122839507, 3.5079833764131383, 3.1082696530864204, 5.0566235442063485, 1.5365826926014075, 5.452989017751325, 3.886702216067022, 3.2209008228593428, 5.705773106252195, 2.1712396551102247, 3.2599067666093524, 6.262946757914473, 5.300579787804225, 2.076520679911817, 4.591287957473536, 3.409038122028214, 6.462448757597005, 1.3831347703020278, 3.481161643075401, 3.981889740407854, 9.212060527281745, 1.112205311280865, 2.8207863127204575, 5.524285610108027, 5.565633235250611, 2.5629224214329813, 3.4309210218011463, 5.069420276629191, 2.2424133634810426, 6.098327220725322, 4.182044945604055, 3.953840968686063, 6.151975376406515, 3.430799785683285, 4.94071420253088, 2.71188814503527, 3.995099343575832, 3.9766022143099677, 2.663394199107144, 6.274858244589962, 4.288196007451497, 3.6515619973804996, 1.7870757600771612, 6.244525030160922]",4.097,1.661
../test_data\bodyfat_processed.csv,0.2,RF[mss6],"[5.016248308775822, 3.0034564046370047, 6.746388654736927, 2.5206595859306513, 2.9938065628951507, 5.71181148499817, 5.373478629182902, 2.4927777936697577, 2.618041545275754, 7.0943760721326585, 2.4254929477595097, 6.597567630095772, 2.5106849651498213, 5.571679060707444, 5.469997593859533, 3.3572279841309864, 6.016587956314577, 3.7880265773934605, 3.078757399333716, 5.7000693143187915, 6.3939106110324255, 2.6354936244728835, 6.966586709690589, 2.4309809427488465, 7.359030051098341, 2.5515154963808104, 2.971049758403745, 5.947299920977959, 7.0385554072041865, 2.0828475042750205, 4.996856422330167, 2.8329647721675824, 1.4365606400666193, 8.146417153039888, 1.9558980236026138, 6.20109753001911, 4.120354060128822, 4.782039898481409, 1.6166025737765006, 7.945183483023295, 4.398539537295567, 4.61097383405343, 6.3485213050388145, 2.765224788927624, 5.789816565250124, 3.1524117983311304, 2.06838081299054, 6.142137740251142, 5.567893842249142, 3.4543591269100262, 3.274799879384593, 5.4142364485271735, 6.940783226558823, 2.8788080963651006, 3.7350387645608913, 4.069369100593801, 4.3042973686371155, 4.068973138367847, 3.2760064392283264, 5.350492043507581, 1.7464599539471404, 5.690651926313346, 4.398450671799466, 3.42639504211104, 6.128802452385902, 2.4541060237267347, 3.295584889201084, 7.052589910591113, 5.759200804409759, 2.250585269394999, 4.8400730284406315, 3.914264679060934, 6.873588645925208, 1.5255431835819573, 4.073604261143163, 4.369812806461202, 10.195227217262751, 1.1262685391944145, 2.796473941335577, 6.0778811461916975, 6.0759336943513125, 2.8411949062450716, 3.6362372369996, 5.546390954327718, 2.3574745981289156, 6.69414586004822, 4.395890294006874, 3.942750103528615, 6.544664403881625, 3.712990518858298, 5.225287581961682, 2.966190214148963, 4.366702505698408, 4.446779657599929, 2.953180984420581, 6.849892123646232, 4.8837811770103405, 3.936667684384367, 1.8291642858539405, 6.915216335414112]",4.442,1.818
