dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
../test_data\delta_ailerons_processed.csv,0.2,RF[100],"[2.8002637307152873e-08, 2.6275544051627383e-08, 2.7686072370266477e-08, 2.4915158249158248e-08, 2.8025922019635346e-08, 2.6336710157126822e-08, 2.588912454417952e-08, 2.7373699494949496e-08, 2.782199354838709e-08, 2.599099410774411e-08, 2.6542854978962132e-08, 2.6640103815937146e-08, 2.748511584852735e-08, 2.6171354096520758e-08, 2.6738694530154276e-08, 2.65463872053872e-08, 2.7187692005610097e-08, 2.5200569304152634e-08, 2.537587180925666e-08, 2.8414703984287315e-08, 2.7775583169705462e-08, 2.5750992704826036e-08, 2.737749032258064e-08, 2.614767396184063e-08, 2.7141555680224403e-08, 2.6101456228956228e-08, 2.7200094530154274e-08, 2.615030583613917e-08, 2.625789116409537e-08, 2.6810367003367003e-08, 2.7356331276297333e-08, 2.646081285072952e-08, 2.704290827489481e-08, 2.667030162738496e-08, 2.648836802244039e-08, 2.6162001402918065e-08, 2.78636858345021e-08, 2.540797053872054e-08, 2.6538991584852732e-08, 2.697635185185185e-08, 2.5767709957924263e-08, 2.7547592592592596e-08, 2.706285021037868e-08, 2.5789926487093156e-08, 2.673145610098177e-08, 2.5679493265993266e-08, 2.6693451893408128e-08, 2.6825667227833898e-08, 2.829884908835904e-08, 2.4820467452300784e-08, 2.461298513323983e-08, 2.8053705106621774e-08, 2.8322387096774194e-08, 2.4354702861952863e-08, 2.834138849929873e-08, 2.52206874298541e-08, 2.6547065077138847e-08, 2.637495510662177e-08, 2.655191304347826e-08, 2.707199242424242e-08, 2.7679824123422157e-08, 2.589195145903479e-08, 2.642693183730715e-08, 2.660674494949495e-08, 2.4936766339410938e-08, 2.741516498316498e-08, 2.5848504067321176e-08, 2.7588150392817058e-08, 2.672270827489481e-08, 2.6465814814814812e-08, 2.535997531556802e-08, 2.723677441077441e-08, 2.7821755960729313e-08, 2.530925308641975e-08, 2.601970575035063e-08, 2.6802162457912456e-08, 2.520232005610098e-08, 2.780068097643097e-08, 2.640885301542777e-08, 2.693134090909091e-08, 2.7187651893408133e-08, 2.5750024691358023e-08, 2.4804632258064514e-08, 2.8524328843995507e-08, 2.5111317251051894e-08, 2.801893939393939e-08, 2.6007129312762972e-08, 2.6641833613916944e-08, 2.539205525946704e-08, 2.7789885241301908e-08, 2.753035904628331e-08, 2.545589562289562e-08, 2.4207666199158486e-08, 2.921736924803591e-08, 2.645652734922861e-08, 2.594714141414141e-08, 2.55035935483871e-08, 2.746496801346801e-08, 2.6626047966339415e-08, 2.7429188552188554e-08]",0.0,0.0
../test_data\delta_ailerons_processed.csv,0.2,RF[200],"[2.7875945862552593e-08, 2.5909532968574633e-08, 2.741542005610098e-08, 2.4856934764309765e-08, 2.8053432258064514e-08, 2.6035976641414136e-08, 2.5742066129032255e-08, 2.717478872053872e-08, 2.7852916058906027e-08, 2.5815639800785638e-08, 2.638806395511922e-08, 2.657325750561167e-08, 2.7374216269284715e-08, 2.5847695987654316e-08, 2.668043653576437e-08, 2.6442664983164985e-08, 2.6859252033660586e-08, 2.510257737093153e-08, 2.5484106100981765e-08, 2.8520480850168346e-08, 2.7609844179523144e-08, 2.563816028338945e-08, 2.72635889200561e-08, 2.594026283670034e-08, 2.7254166970546978e-08, 2.585202111391695e-08, 2.6945186255259464e-08, 2.601925238496072e-08, 2.6085405049088357e-08, 2.6798207982603816e-08, 2.7198075455820474e-08, 2.640110171156004e-08, 2.6938491164095372e-08, 2.6524335367564535e-08, 2.644132657784011e-08, 2.5814600238496067e-08, 2.7679173492286107e-08, 2.5126805765993267e-08, 2.6318007713884986e-08, 2.69781451318743e-08, 2.557016072931276e-08, 2.750970910493827e-08, 2.6924214796633936e-08, 2.5770234006734005e-08, 2.660781374474053e-08, 2.5607919051627387e-08, 2.6627561290322582e-08, 2.667923821548822e-08, 2.813370098176718e-08, 2.4607864478114474e-08, 2.4307086395511925e-08, 2.7945574775533104e-08, 2.830926823281907e-08, 2.4252814043209873e-08, 2.8143875596072927e-08, 2.5066527146464653e-08, 2.6325901122019634e-08, 2.6398417789001122e-08, 2.6239101612903227e-08, 2.685373653198653e-08, 2.7666379032258055e-08, 2.586601466049383e-08, 2.631886002805049e-08, 2.6506501613355784e-08, 2.467817166900421e-08, 2.7210679503366996e-08, 2.581898786816269e-08, 2.7391019851290684e-08, 2.6579669424964934e-08, 2.6172324775533108e-08, 2.5265564165497896e-08, 2.717432905443322e-08, 2.774093835904628e-08, 2.5298872615039275e-08, 2.5853111290322576e-08, 2.6831075757575757e-08, 2.500884347826087e-08, 2.7631025533108864e-08, 2.59496587657784e-08, 2.679463355780022e-08, 2.7016676086956514e-08, 2.54794919332211e-08, 2.4652547265077138e-08, 2.835872825476992e-08, 2.4963778190743336e-08, 2.790011819584736e-08, 2.6082607363253855e-08, 2.641413776655443e-08, 2.5230220266479668e-08, 2.7529319654882157e-08, 2.7192230645161286e-08, 2.5285231762065092e-08, 2.402359333800841e-08, 2.9242052258698084e-08, 2.6582821528751754e-08, 2.5874186237373734e-08, 2.5252176788218794e-08, 2.7258247264309763e-08, 2.6202940813464235e-08, 2.7221776234567896e-08]",0.0,0.0
../test_data\delta_ailerons_processed.csv,0.2,RF[500],"[2.781242747826087e-08, 2.5771044893378233e-08, 2.7240048695652175e-08, 2.4702955129068467e-08, 2.7926551225806465e-08, 2.5941670785634115e-08, 2.5683041548387105e-08, 2.700435212121212e-08, 2.7740027366058904e-08, 2.5626448720538716e-08, 2.628221065918655e-08, 2.656324517396184e-08, 2.7308702070126232e-08, 2.56940920650954e-08, 2.655502340532959e-08, 2.628591860830528e-08, 2.683034627769987e-08, 2.515907533108866e-08, 2.531151463674614e-08, 2.832849142536476e-08, 2.740688898737728e-08, 2.5617720931537608e-08, 2.719093274614306e-08, 2.5606617598204263e-08, 2.716768879663395e-08, 2.570451342312009e-08, 2.676472880785413e-08, 2.5909714803591466e-08, 2.5972302530154285e-08, 2.6684202525252523e-08, 2.7354415192145852e-08, 2.6339164792368135e-08, 2.684590599719495e-08, 2.6443997979797977e-08, 2.6439840258064515e-08, 2.574528725028059e-08, 2.7565692129032262e-08, 2.489429474747474e-08, 2.621535575876578e-08, 2.677778703703704e-08, 2.541839545582048e-08, 2.7339313894500562e-08, 2.677145867040673e-08, 2.5813145409652074e-08, 2.6662375113604487e-08, 2.560030185185185e-08, 2.652933525946705e-08, 2.6609046554433216e-08, 2.808570286676017e-08, 2.4629837856341198e-08, 2.419483090042076e-08, 2.775178242424242e-08, 2.8200130524544177e-08, 2.4138710998877677e-08, 2.7944739208976156e-08, 2.497623961840629e-08, 2.6299665380084154e-08, 2.6253548428731768e-08, 2.617231833941094e-08, 2.6750992693602693e-08, 2.7530455539971948e-08, 2.5777869573512908e-08, 2.6242716521739136e-08, 2.6540542603815932e-08, 2.459839991023843e-08, 2.7229440976430974e-08, 2.562931513043478e-08, 2.720869336700337e-08, 2.6477424673211777e-08, 2.6045165690235696e-08, 2.5144686137447408e-08, 2.7240420437710442e-08, 2.7818858356241236e-08, 2.519454288439955e-08, 2.5717148835904634e-08, 2.6632726980920315e-08, 2.4826098715287525e-08, 2.759013101010101e-08, 2.5921382889200564e-08, 2.66876998989899e-08, 2.6878685071528757e-08, 2.5375295914702577e-08, 2.4589260701262276e-08, 2.823875722783389e-08, 2.4952280751753153e-08, 2.79808488664422e-08, 2.603844733800841e-08, 2.6292931144781152e-08, 2.527928787657784e-08, 2.743148343434344e-08, 2.717976151472651e-08, 2.5116116778900124e-08, 2.3990904819074337e-08, 2.9060051964085294e-08, 2.6567477598877985e-08, 2.569151429854096e-08, 2.522484230014025e-08, 2.71863667227834e-08, 2.6168362939691442e-08, 2.7177575443322106e-08]",0.0,0.0
../test_data\delta_ailerons_processed.csv,0.2,RF[md10],"[2.7918222773713385e-08, 2.6238505864745682e-08, 2.7665905327295457e-08, 2.5023322671075443e-08, 2.8006792501033945e-08, 2.6434795876040566e-08, 2.5980251152512414e-08, 2.7376861741879177e-08, 2.805206439800585e-08, 2.597007629486382e-08, 2.66660937958794e-08, 2.6791389116410937e-08, 2.7380241876632125e-08, 2.6171861705391072e-08, 2.6766812481207498e-08, 2.6538371104596762e-08, 2.726370551680376e-08, 2.542754772947607e-08, 2.5474861946727455e-08, 2.8364886589350635e-08, 2.783920905475903e-08, 2.5828767206666402e-08, 2.7506314077192385e-08, 2.6231674047073275e-08, 2.724784945137517e-08, 2.6174989496274835e-08, 2.7152198766396073e-08, 2.628235165397094e-08, 2.6237998532301626e-08, 2.6956911016923883e-08, 2.739868089459445e-08, 2.6467520966974978e-08, 2.7123687151633616e-08, 2.662658481840589e-08, 2.660752508451407e-08, 2.621927978973023e-08, 2.788617082629086e-08, 2.5388308005551673e-08, 2.661926245393229e-08, 2.705524395004276e-08, 2.5763703507073057e-08, 2.7735449510359652e-08, 2.7114563506512426e-08, 2.595012582330731e-08, 2.68833426664692e-08, 2.5653999250367248e-08, 2.677853990469252e-08, 2.6845371808862846e-08, 2.8299252639100724e-08, 2.4996558168996758e-08, 2.4665725337372322e-08, 2.8202402611715004e-08, 2.8376951530882817e-08, 2.445171685168277e-08, 2.8475238806790715e-08, 2.518072230203569e-08, 2.6638024522198348e-08, 2.644630576972824e-08, 2.648393648945386e-08, 2.7057423468153424e-08, 2.764362035511225e-08, 2.5875978593337675e-08, 2.6426952999157845e-08, 2.655842122986507e-08, 2.496027269014817e-08, 2.7619081610036136e-08, 2.589593167599403e-08, 2.7716078106494213e-08, 2.685230234942298e-08, 2.657590749922627e-08, 2.5394490198370934e-08, 2.7323127048870175e-08, 2.798901340690131e-08, 2.536407055305884e-08, 2.604980642077406e-08, 2.6879230902447318e-08, 2.5217105675783605e-08, 2.7911495389135118e-08, 2.6324956110496853e-08, 2.7020197191157853e-08, 2.7307310720826792e-08, 2.5683304250383042e-08, 2.481295197471652e-08, 2.8536477863001227e-08, 2.5153993759316828e-08, 2.8032624121796975e-08, 2.6126385301569553e-08, 2.667424607972624e-08, 2.5389027811334514e-08, 2.7795657779216905e-08, 2.762563874917688e-08, 2.542608159216206e-08, 2.4232146716018598e-08, 2.9329189883671365e-08, 2.656333656679627e-08, 2.5928526531915553e-08, 2.562397420810509e-08, 2.756211508029742e-08, 2.659437369856529e-08, 2.7541961578911037e-08]",0.0,0.0
../test_data\delta_ailerons_processed.csv,0.2,RF[md15],"[2.793973227300036e-08, 2.6248092365213135e-08, 2.7655644923252067e-08, 2.4903139661146878e-08, 2.799924815447012e-08, 2.627774450585221e-08, 2.587511726866699e-08, 2.735908615002813e-08, 2.7758533548057568e-08, 2.5937954592153622e-08, 2.651594062591052e-08, 2.6599651885634857e-08, 2.7510820001996274e-08, 2.608552932849479e-08, 2.6678361788077633e-08, 2.6551341270670583e-08, 2.719432080692964e-08, 2.519361142313791e-08, 2.5411369855821662e-08, 2.8445159120047665e-08, 2.7821754023790826e-08, 2.575117882445596e-08, 2.7329050127908618e-08, 2.614140252866847e-08, 2.7192565573331377e-08, 2.604997515561703e-08, 2.716137006510202e-08, 2.6202639902934932e-08, 2.6242632186782164e-08, 2.6821793062143972e-08, 2.7364987816627e-08, 2.6455803979943222e-08, 2.7039350158025855e-08, 2.661650917991603e-08, 2.6469248080380743e-08, 2.620316196141885e-08, 2.784315602457114e-08, 2.542811588169096e-08, 2.6526026133104425e-08, 2.6990328378063075e-08, 2.574367980179073e-08, 2.758100240937088e-08, 2.7058022587163636e-08, 2.5767334126677204e-08, 2.6748015798138798e-08, 2.561372789250882e-08, 2.6795808966585003e-08, 2.6814241874351386e-08, 2.8272872967438423e-08, 2.4911722147812857e-08, 2.452625541220968e-08, 2.8017583862283887e-08, 2.8322598392378165e-08, 2.4327569046634924e-08, 2.82863768978241e-08, 2.5253923193530688e-08, 2.6605837446334407e-08, 2.642496880663695e-08, 2.6640324066917025e-08, 2.706466871445103e-08, 2.7632257925467683e-08, 2.5931820542163273e-08, 2.63537023891804e-08, 2.666330929610123e-08, 2.4928105665705107e-08, 2.7424666733597552e-08, 2.590417140969317e-08, 2.7616255706726806e-08, 2.6701687183776413e-08, 2.655306614881079e-08, 2.534074286056254e-08, 2.7266221025709073e-08, 2.7948712035763463e-08, 2.5266964926220865e-08, 2.6065527551934932e-08, 2.693347430120767e-08, 2.5170661033235828e-08, 2.783161465256425e-08, 2.6424973073013752e-08, 2.685036849920431e-08, 2.7192973240923363e-08, 2.5644381588014785e-08, 2.4710028993585565e-08, 2.8461471723704534e-08, 2.5046133143586948e-08, 2.7969985508953742e-08, 2.5991936911943714e-08, 2.661956775224677e-08, 2.5240835776427746e-08, 2.777923983815212e-08, 2.7539164913017537e-08, 2.5432226371979695e-08, 2.4188906501201663e-08, 2.917970483899789e-08, 2.6445245711123124e-08, 2.58503971365433e-08, 2.5489887241715432e-08, 2.7436758270948696e-08, 2.666038742615392e-08, 2.7575943335916644e-08]",0.0,0.0
../test_data\delta_ailerons_processed.csv,0.2,RF[md20],"[2.7992703147707146e-08, 2.632149246983173e-08, 2.7661372978464857e-08, 2.495827022121757e-08, 2.8011410813898756e-08, 2.6411630211353567e-08, 2.5899391030393138e-08, 2.7383518962381193e-08, 2.785307285342463e-08, 2.6027884523951704e-08, 2.6507964945480255e-08, 2.6622929556010128e-08, 2.7466445660781952e-08, 2.6159973211855618e-08, 2.6699632189390296e-08, 2.6521340525813753e-08, 2.7241675585045934e-08, 2.51833679480516e-08, 2.542824977542513e-08, 2.8442264151058227e-08, 2.7827601578948708e-08, 2.577224695508867e-08, 2.7382432437408438e-08, 2.6095456076265284e-08, 2.7176625857440436e-08, 2.6128942927725405e-08, 2.7190709333966657e-08, 2.6162801924959284e-08, 2.6288073913427956e-08, 2.6818747447716545e-08, 2.73542000835608e-08, 2.647769482688951e-08, 2.7032996904878425e-08, 2.6628664332154893e-08, 2.6476118503826734e-08, 2.6193341859610137e-08, 2.7849949042475723e-08, 2.542768446212191e-08, 2.6572994842464125e-08, 2.6978096665552835e-08, 2.5764959368269252e-08, 2.758146842791573e-08, 2.707248126632089e-08, 2.5835707752595083e-08, 2.6732564497236062e-08, 2.565879254794148e-08, 2.6740471209669157e-08, 2.682915268343799e-08, 2.8312384392084797e-08, 2.4852139808085602e-08, 2.4581282229656186e-08, 2.806011251365572e-08, 2.8345293023503276e-08, 2.4372698845738283e-08, 2.833273295188304e-08, 2.51648466394598e-08, 2.6616277809875644e-08, 2.643127689339929e-08, 2.6566618608371805e-08, 2.7075531231327795e-08, 2.7660085622400258e-08, 2.5931701652233307e-08, 2.6430991549742446e-08, 2.6625445453149274e-08, 2.4880296262463806e-08, 2.7427447457191928e-08, 2.584515676550972e-08, 2.7623079767291615e-08, 2.6718515105897264e-08, 2.644640902678894e-08, 2.5410749494515524e-08, 2.727765195182255e-08, 2.781114741776405e-08, 2.52964049341821e-08, 2.601394797715504e-08, 2.6785718889494142e-08, 2.5181734075456773e-08, 2.7777500401405266e-08, 2.6445962961667983e-08, 2.686657879119128e-08, 2.715164183133196e-08, 2.5741581445148827e-08, 2.478489726455767e-08, 2.8508684970663943e-08, 2.513342086003738e-08, 2.7979909539186324e-08, 2.5982790449710138e-08, 2.6589506745293537e-08, 2.5390074090318814e-08, 2.777678216558929e-08, 2.7591953068147054e-08, 2.5449369580349164e-08, 2.4168621218852764e-08, 2.9246187542420496e-08, 2.646623329727469e-08, 2.5845098062940198e-08, 2.5575650292455365e-08, 2.7449476359692253e-08, 2.662792591484772e-08, 2.7351530948167895e-08]",0.0,0.0
../test_data\delta_ailerons_processed.csv,0.2,RF[md25],"[2.799899190776869e-08, 2.629493422625564e-08, 2.7670595726051966e-08, 2.490935429441457e-08, 2.802362970616114e-08, 2.6343675661951917e-08, 2.5877406455844503e-08, 2.7385314313871444e-08, 2.782963120077831e-08, 2.598508481037224e-08, 2.6530854321078775e-08, 2.664941601092146e-08, 2.7480883932141e-08, 2.6154549107599575e-08, 2.6724647064562148e-08, 2.6543201082086803e-08, 2.7192910431642916e-08, 2.5210150441563295e-08, 2.5365991833547154e-08, 2.8421026541930497e-08, 2.777841906962974e-08, 2.5760555462846816e-08, 2.737835305625912e-08, 2.6126779648582837e-08, 2.713564004541085e-08, 2.6105874678558384e-08, 2.722350705826714e-08, 2.614397280692998e-08, 2.6241918951246456e-08, 2.6815316519854e-08, 2.7362327671010596e-08, 2.644234377618262e-08, 2.7052288261103718e-08, 2.668384656073216e-08, 2.651775783417781e-08, 2.6171257204139704e-08, 2.788166394745502e-08, 2.5406338165727457e-08, 2.6542835290543956e-08, 2.6971788595951934e-08, 2.5746927621903163e-08, 2.754249194047975e-08, 2.7029914994344315e-08, 2.5819817073454158e-08, 2.6727124027029895e-08, 2.5686550438826408e-08, 2.6692735146797567e-08, 2.6813880576519158e-08, 2.8306430725436997e-08, 2.479793319565102e-08, 2.4610460497660524e-08, 2.806330798075812e-08, 2.831109321330222e-08, 2.433793638185643e-08, 2.8339230233804798e-08, 2.5221484828879972e-08, 2.6552032346989875e-08, 2.639634324798816e-08, 2.6557226767025087e-08, 2.7069311590472784e-08, 2.7674558762659826e-08, 2.589484992109854e-08, 2.643724273438717e-08, 2.6615860425213666e-08, 2.4920938334757352e-08, 2.740916354473251e-08, 2.586297725053668e-08, 2.7603396108634354e-08, 2.6742832309255246e-08, 2.647813357836268e-08, 2.5385183520292103e-08, 2.7244738700465284e-08, 2.7820678457703717e-08, 2.5298275094805745e-08, 2.6018800043224547e-08, 2.681269585208944e-08, 2.5204579813356017e-08, 2.7805875737394403e-08, 2.639610136257616e-08, 2.692141282374283e-08, 2.720356498478389e-08, 2.5760144661734468e-08, 2.4806335595023422e-08, 2.8525682051006254e-08, 2.5103358900187e-08, 2.8015152471246498e-08, 2.59951080528022e-08, 2.663659135296271e-08, 2.5388204827258918e-08, 2.7808907419971222e-08, 2.753943628642475e-08, 2.5466471427563153e-08, 2.4191389728429994e-08, 2.924921552137709e-08, 2.6489350675030886e-08, 2.5938316536039406e-08, 2.5525308594995595e-08, 2.7463724592190643e-08, 2.6625647400980318e-08, 2.7434664774206063e-08]",0.0,0.0
../test_data\delta_ailerons_processed.csv,0.2,RF[mss3],"[2.7919553090774504e-08, 2.6252439677328844e-08, 2.7613441702976465e-08, 2.498027759243671e-08, 2.8039146134954028e-08, 2.6421975231868002e-08, 2.586538368824996e-08, 2.7402320666464024e-08, 2.7821808452236245e-08, 2.599302681101135e-08, 2.6521286056724326e-08, 2.6584803758495448e-08, 2.7501957806763284e-08, 2.61010705529056e-08, 2.682077168310737e-08, 2.6522075591329964e-08, 2.7302803976780425e-08, 2.5247371314768054e-08, 2.5390252332476233e-08, 2.830946499212807e-08, 2.7799226394498983e-08, 2.571828126839381e-08, 2.7391712299594824e-08, 2.615507646768612e-08, 2.717604058313854e-08, 2.614497108936588e-08, 2.7315819039036936e-08, 2.612314667134306e-08, 2.628238990766713e-08, 2.676518743975246e-08, 2.72643765656849e-08, 2.6373724182332587e-08, 2.702587222276765e-08, 2.672717658888265e-08, 2.650663339909615e-08, 2.6242144126449678e-08, 2.7894614618980833e-08, 2.53788777448092e-08, 2.6508566693937972e-08, 2.6988943145498194e-08, 2.5869123947249493e-08, 2.7532182299460657e-08, 2.7050212021271623e-08, 2.5839215233741736e-08, 2.679093651363565e-08, 2.5717690671919814e-08, 2.681721390330372e-08, 2.6751665379411398e-08, 2.830503417944522e-08, 2.4906628778915696e-08, 2.455553085935796e-08, 2.797124262922434e-08, 2.8348142109241077e-08, 2.4399394792757824e-08, 2.8448287771856e-08, 2.5201792119653326e-08, 2.6526560962521425e-08, 2.642716270147462e-08, 2.6524344581346423e-08, 2.7035493235440823e-08, 2.7638194106124356e-08, 2.585588448154383e-08, 2.635722126585632e-08, 2.6688442020903482e-08, 2.4924340640408287e-08, 2.742987013000374e-08, 2.583591961196821e-08, 2.7560355561790745e-08, 2.6823816111812373e-08, 2.6469136811790743e-08, 2.5345146656537322e-08, 2.7309188567075072e-08, 2.7894513384759233e-08, 2.531648275322671e-08, 2.6045306908757986e-08, 2.69100189377572e-08, 2.5205021164329123e-08, 2.7729169657921808e-08, 2.644996919985975e-08, 2.683772590792181e-08, 2.722098209848839e-08, 2.5748592153946875e-08, 2.4770861395511923e-08, 2.8470255795922183e-08, 2.5105684666354995e-08, 2.8017887916121087e-08, 2.602643436660433e-08, 2.667162584104938e-08, 2.5284484618669158e-08, 2.7735202310138422e-08, 2.7502409569113293e-08, 2.546117023592405e-08, 2.420408464601839e-08, 2.926656529391133e-08, 2.651730760230637e-08, 2.5876654049600945e-08, 2.5459059177808943e-08, 2.743901016203703e-08, 2.6637155017219887e-08, 2.758288234053498e-08]",0.0,0.0
../test_data\delta_ailerons_processed.csv,0.2,RF[mss4],"[2.7862835904059053e-08, 2.6284482894323366e-08, 2.7665426570824308e-08, 2.492097834010456e-08, 2.797301597132616e-08, 2.635890338652174e-08, 2.585458878468545e-08, 2.7360455284259513e-08, 2.788306971823091e-08, 2.5916114507575757e-08, 2.649726826227209e-08, 2.6639931270887893e-08, 2.7421658996571604e-08, 2.6078910629872042e-08, 2.6821158014414833e-08, 2.6464305199837882e-08, 2.719086096380628e-08, 2.523072646612891e-08, 2.531254419183419e-08, 2.824098731356778e-08, 2.775449503035623e-08, 2.5775951478020314e-08, 2.7385083333255415e-08, 2.6230427007318078e-08, 2.722029077471671e-08, 2.614134423729293e-08, 2.718866714383191e-08, 2.6125983669098393e-08, 2.6161883754168615e-08, 2.6737061660232648e-08, 2.7373617429318803e-08, 2.64424697132305e-08, 2.709884404690029e-08, 2.6580081236969722e-08, 2.6502401478987573e-08, 2.618536536102554e-08, 2.779141879830202e-08, 2.533798700729899e-08, 2.6545497313311975e-08, 2.706798557383962e-08, 2.5868000106083012e-08, 2.755220690000439e-08, 2.711690801510656e-08, 2.5758664873347678e-08, 2.6750860349072774e-08, 2.5705546131043044e-08, 2.6747884090306992e-08, 2.6794881750541126e-08, 2.8286121935900492e-08, 2.4866216370806833e-08, 2.4665375126681993e-08, 2.801725531161005e-08, 2.8311828052753686e-08, 2.4370896776250156e-08, 2.834942166401745e-08, 2.522792207444819e-08, 2.6588763459520788e-08, 2.6458841388888888e-08, 2.6551333271154742e-08, 2.6954349885227936e-08, 2.75449502722293e-08, 2.5879092142900092e-08, 2.6390762959641638e-08, 2.660072208915338e-08, 2.4831439599668294e-08, 2.743040567544779e-08, 2.5740782224617003e-08, 2.757031743414079e-08, 2.6778951410024157e-08, 2.6492568686604645e-08, 2.5344596167210504e-08, 2.7295303526811957e-08, 2.7831306069308886e-08, 2.527680203783234e-08, 2.6054037865747232e-08, 2.6808833563849317e-08, 2.5142142710247092e-08, 2.771980885459533e-08, 2.6377361060741078e-08, 2.6846799529710686e-08, 2.722824070134019e-08, 2.5810662987025716e-08, 2.4774644386629265e-08, 2.8493317135786877e-08, 2.511421825299984e-08, 2.8067411669472502e-08, 2.6026739097656336e-08, 2.6633554401881312e-08, 2.528367858306062e-08, 2.7653479105417042e-08, 2.7539985454243033e-08, 2.542633933113415e-08, 2.4257156960339724e-08, 2.9321730667593355e-08, 2.6439538256895745e-08, 2.5842848895054094e-08, 2.5449624470216228e-08, 2.7390150309839703e-08, 2.6546260362067593e-08, 2.7466984878335826e-08]",0.0,0.0
../test_data\delta_ailerons_processed.csv,0.2,RF[mss6],"[2.780671345476602e-08, 2.6258822599582618e-08, 2.770976596429119e-08, 2.4940095698221306e-08, 2.798576211187907e-08, 2.6310833209840445e-08, 2.582761754309423e-08, 2.7374279082145137e-08, 2.7944097371126357e-08, 2.590118569817173e-08, 2.64100137251089e-08, 2.6727191411547878e-08, 2.747263536317413e-08, 2.6006176190276937e-08, 2.674891126762308e-08, 2.6530629392603628e-08, 2.7230979946817102e-08, 2.5343547264473246e-08, 2.5381906749790053e-08, 2.8330770314431134e-08, 2.7789562583522783e-08, 2.5855891753723713e-08, 2.7379644897653297e-08, 2.6261768819667e-08, 2.7198926153554262e-08, 2.6117430868239403e-08, 2.7221281271722078e-08, 2.6026645833298207e-08, 2.6207327911864812e-08, 2.6887417361454418e-08, 2.7364398549107644e-08, 2.6448681238850796e-08, 2.703158409740041e-08, 2.664668940900583e-08, 2.6477356175357575e-08, 2.619602934148598e-08, 2.774641488238189e-08, 2.536444087446187e-08, 2.6620510827557724e-08, 2.711803536526809e-08, 2.5774915999282127e-08, 2.7546630767421412e-08, 2.7146878402147102e-08, 2.5829880297403345e-08, 2.678351874431141e-08, 2.5656699765227454e-08, 2.6711932139349016e-08, 2.6767760008263837e-08, 2.8278196481147546e-08, 2.488796239829518e-08, 2.4625272537682246e-08, 2.812363417213589e-08, 2.8296131803042456e-08, 2.4409172404664312e-08, 2.8418968705248983e-08, 2.5163753382491492e-08, 2.6444727382974362e-08, 2.6475384805610453e-08, 2.648952958779838e-08, 2.700989250994719e-08, 2.7662481021278385e-08, 2.589121951554639e-08, 2.6381097578409393e-08, 2.659186576523481e-08, 2.4882292225226042e-08, 2.7476195653692175e-08, 2.5850582545259814e-08, 2.7543961413325035e-08, 2.678228487907113e-08, 2.6538032496560174e-08, 2.5369738923401187e-08, 2.734930271966983e-08, 2.7820501742121446e-08, 2.5213173482997898e-08, 2.6056968764834682e-08, 2.6805610082492353e-08, 2.5168859451367178e-08, 2.7816905533509386e-08, 2.632978574778296e-08, 2.6821664800227067e-08, 2.7222721797221195e-08, 2.5722994794570902e-08, 2.467334973344242e-08, 2.8495162617577277e-08, 2.5184843745881434e-08, 2.8057289503640854e-08, 2.5953954612183058e-08, 2.6584489861267384e-08, 2.5303175688077822e-08, 2.7717680065902377e-08, 2.770145032688504e-08, 2.5404236984709725e-08, 2.423447955562654e-08, 2.922282102515096e-08, 2.641247972126728e-08, 2.5884693027548448e-08, 2.5418266312818233e-08, 2.7421324682555585e-08, 2.6679924751554252e-08, 2.7483584807716586e-08]",0.0,0.0
