dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
../test_data\delta_elevators_processed.csv,0.2,RF[100],"[1.9961150661903762e-06, 2.11713026481715e-06, 2.098393128808573e-06, 2.0062020176544765e-06, 2.0318498424038665e-06, 2.0571724043715847e-06, 2.071022967009876e-06, 2.0362016183270282e-06, 2.08578564824543e-06, 2.0007407734342164e-06, 1.982515717587729e-06, 2.1508560109289617e-06, 1.9933907753729773e-06, 2.10242965531736e-06, 1.9968757512082372e-06, 2.103543715846995e-06, 2.0517799117461654e-06, 2.033031210592686e-06, 2.076302563563774e-06, 2.06327553593947e-06, 2.0188245639840303e-06, 2.0717659730979402e-06, 2.0556549905442323e-06, 1.9864549810844894e-06, 2.0689281571758773e-06, 2.0680825556956708e-06, 1.9969981088463964e-06, 2.1163047709121483e-06, 2.103255725992856e-06, 2.0450408364859185e-06, 2.0636621349022907e-06, 2.0187778898696934e-06, 2.090350472788401e-06, 2.0256927280369906e-06, 2.0579947257827273e-06, 2.0187790037831025e-06, 2.039650935070393e-06, 2.065328751576292e-06, 2.1195401134692164e-06, 1.988621017234132e-06, 2.039852111788191e-06, 2.0494512189995797e-06, 2.0341376759823495e-06, 2.064016267339218e-06, 2.1057513343139317e-06, 2.039500084068937e-06, 2.008553120403446e-06, 2.112293043295502e-06, 1.969911494011347e-06, 2.168779739386297e-06, 2.055130762765287e-06, 2.0293165405632617e-06, 2.0761220634587103e-06, 2.016137852038672e-06, 2.0923972263080476e-06, 1.983031378730559e-06, 2.0713851019121666e-06, 2.064553635981505e-06, 2.0580163269594454e-06, 2.06711815889029e-06, 2.0581259928556423e-06, 2.0542296763345944e-06, 2.0775576591720947e-06, 2.0153342791088695e-06, 2.054835952931288e-06, 2.0308837116435483e-06, 1.98339537718008e-06, 2.144174043715847e-06, 1.997414603908384e-06, 2.0681619377889873e-06, 1.9942038243328435e-06, 2.06988184110971e-06, 1.984481592771591e-06, 2.0817639134089953e-06, 2.1064097079218323e-06, 2.0128572299285412e-06, 2.0925382853540663e-06, 2.0136988860865908e-06, 2.0899019121664215e-06, 2.0551553383774695e-06, 2.1000655389787772e-06, 2.0760074190836488e-06, 2.0860309728934653e-06, 2.0335542034468263e-06, 2.0063001891153603e-06, 2.094245691467003e-06, 2.0953267493170834e-06, 2.0288275956284156e-06, 2.0789474259298174e-06, 2.018858427910887e-06, 2.0750791973103597e-06, 2.028900168137873e-06, 2.078281802899769e-06, 2.014034909625893e-06, 2.0342721370035726e-06, 2.102614606977722e-06, 2.075446417314562e-06, 2.0217869482976045e-06, 2.049225068291658e-06, 2.07198656998739e-06]",0.0,0.0
../test_data\delta_elevators_processed.csv,0.2,RF[200],"[1.988563505988653e-06, 2.10490003678016e-06, 2.0917508720319396e-06, 1.9995841950399328e-06, 2.0206225204874972e-06, 2.0415377942412777e-06, 2.0652497005673465e-06, 2.0260855191256832e-06, 2.0769781781886952e-06, 1.997723470996217e-06, 1.9734924616516075e-06, 2.135970602143758e-06, 1.983929943265392e-06, 2.091381468053804e-06, 1.9894445891994113e-06, 2.0889783732660785e-06, 2.0382744746795546e-06, 2.0301203026481716e-06, 2.0629465854171045e-06, 2.057809452501051e-06, 2.007776617986972e-06, 2.059673024379992e-06, 2.051513185543181e-06, 1.9790740174443043e-06, 2.0592938852700147e-06, 2.0588912200504415e-06, 1.99028805421307e-06, 2.0958470155527533e-06, 2.0850374868669892e-06, 2.0308038776796974e-06, 2.0570236394200464e-06, 2.000320407734342e-06, 2.0715645986551795e-06, 2.0080359867591427e-06, 2.046284902290397e-06, 2.0099084489281213e-06, 2.0389015969741547e-06, 2.0523373633879783e-06, 2.105660522168523e-06, 1.981027343421606e-06, 2.0235462807312464e-06, 2.0480086013030687e-06, 2.0178681183021646e-06, 2.0467031788566626e-06, 2.097014519857113e-06, 2.0281153215636823e-06, 1.999029759403236e-06, 2.096266304119378e-06, 1.9657555263710865e-06, 2.1605365910046237e-06, 2.039883163479723e-06, 2.0257754991593107e-06, 2.073086042235764e-06, 2.0027832072299287e-06, 2.088646569657491e-06, 1.9742098518284994e-06, 2.0627217692792607e-06, 2.061794782471627e-06, 2.051439094347552e-06, 2.062183427910887e-06, 2.049293422988023e-06, 2.0515896385035732e-06, 2.070583951460391e-06, 2.0071310004203448e-06, 2.0504975415003152e-06, 2.0246877416981925e-06, 1.964206135742803e-06, 2.137939959016394e-06, 1.987698565875184e-06, 2.065903756830601e-06, 1.9749827642361844e-06, 2.0539651586801177e-06, 1.9631176455137634e-06, 2.084183979613283e-06, 2.088782585627233e-06, 2.0114073507776378e-06, 2.0771259455768023e-06, 2.0020763923917614e-06, 2.0691344032359743e-06, 2.0421966582597728e-06, 2.0827086677873508e-06, 2.057444756200084e-06, 2.0617495324648036e-06, 2.0282306693989073e-06, 1.9971373923093085e-06, 2.0790667770071458e-06, 2.0801314666946837e-06, 2.0125354087852045e-06, 2.069268533305316e-06, 2.0044644125683063e-06, 2.063164383273797e-06, 2.0193162515762925e-06, 2.0734074175246904e-06, 2.002399516603615e-06, 2.021763206555999e-06, 2.102883280790248e-06, 2.065281366883799e-06, 2.0140787200504415e-06, 2.0491702143307418e-06, 2.0609144230769232e-06]",0.0,0.0
../test_data\delta_elevators_processed.csv,0.2,RF[500],"[1.9834673612103384e-06, 2.0990356225304747e-06, 2.088866018911536e-06, 1.9944289129886507e-06, 2.0118257650766964e-06, 2.029632918032787e-06, 2.054920384114309e-06, 2.0170466675073557e-06, 2.0734322210548435e-06, 1.99171650273224e-06, 1.9590022878756035e-06, 2.1250072391761245e-06, 1.985356890943476e-06, 2.081635678015973e-06, 1.9770738407228406e-06, 2.083273475409836e-06, 2.0364368833788606e-06, 2.0327878242959234e-06, 2.0543558394620715e-06, 2.0486788163093735e-06, 2.007214109686909e-06, 2.050079347625052e-06, 2.0429347165370876e-06, 1.9737958024379993e-06, 2.0510050422357634e-06, 2.045951565363598e-06, 1.985875806682076e-06, 2.0872190113493064e-06, 2.0770682378650975e-06, 2.0237248810424543e-06, 2.052472595083001e-06, 1.9981984195039927e-06, 2.0617035494851866e-06, 2.001536629676334e-06, 2.037411471317504e-06, 2.0050632543085326e-06, 2.04184416726203e-06, 2.048556216897856e-06, 2.0946203210758558e-06, 1.9700974888608656e-06, 2.013281852490019e-06, 2.0483673383774697e-06, 2.014196953981929e-06, 2.0368615889029e-06, 2.0851350073544873e-06, 2.0145535914249662e-06, 2.0007883899978985e-06, 2.0950341185372003e-06, 1.956433198571127e-06, 2.1598251988230354e-06, 2.0325778827484763e-06, 2.015968426229508e-06, 2.069363576381592e-06, 1.996021380411938e-06, 2.0839866392099187e-06, 1.9612728608659095e-06, 2.0586002042445884e-06, 2.0582599394703658e-06, 2.051913601176717e-06, 2.050587605716688e-06, 2.042393218743433e-06, 2.0406670483396383e-06, 2.0693499037612943e-06, 2.0097047936107606e-06, 2.0380373717167474e-06, 2.0138108743169398e-06, 1.9546099121664206e-06, 2.1291020916351414e-06, 1.980606317293549e-06, 2.0572564270701972e-06, 1.9624029981088464e-06, 2.0494085565363602e-06, 1.958639653708762e-06, 2.081513910046239e-06, 2.0848362454297113e-06, 1.9989553383774695e-06, 2.0655918352595083e-06, 1.9952970945775537e-06, 2.0605839773061563e-06, 2.035048636401849e-06, 2.0681266072704354e-06, 2.0558665187053374e-06, 2.058613013658331e-06, 2.0194818419503993e-06, 1.997776694263501e-06, 2.0721166094997893e-06, 2.069924938012188e-06, 2.0085388751576286e-06, 2.06222669888632e-06, 2.0002165464480876e-06, 2.0486017037192683e-06, 2.0110792635561165e-06, 2.05984816137844e-06, 1.9969550205968893e-06, 2.0135951989913837e-06, 2.0905881227406476e-06, 2.060010680395041e-06, 2.003126813787306e-06, 2.0434301660012605e-06, 2.0452890777637656e-06]",0.0,0.0
../test_data\delta_elevators_processed.csv,0.2,RF[md10],"[1.9858143693488785e-06, 2.099436884538327e-06, 2.087504474388514e-06, 1.998317763761004e-06, 2.0271997847866966e-06, 2.033397597662728e-06, 2.0543530942081516e-06, 2.023937022561047e-06, 2.0774743642132903e-06, 1.9866586987325114e-06, 1.9684653534649447e-06, 2.1394011023278434e-06, 1.980085423440867e-06, 2.0864913919831334e-06, 1.9790924724349337e-06, 2.0963902403901473e-06, 2.031262364707038e-06, 2.0219954499380727e-06, 2.0602060674563367e-06, 2.039152597883956e-06, 2.0040706562733217e-06, 2.0541132777096723e-06, 2.0458706228602112e-06, 1.985270813367911e-06, 2.0524732409789776e-06, 2.0451044105262974e-06, 1.9860052274333697e-06, 2.103068408564632e-06, 2.0888095730426584e-06, 2.0244079626983612e-06, 2.0522725240999114e-06, 2.011099134426712e-06, 2.0697288257632797e-06, 2.017598588629375e-06, 2.0422837640396326e-06, 2.012937345564188e-06, 2.0300304369341396e-06, 2.0467801132630298e-06, 2.098923108396949e-06, 1.979144689655928e-06, 2.0130414160173675e-06, 2.0403685536581935e-06, 2.0294736102668764e-06, 2.0571684422440726e-06, 2.0958405930820937e-06, 2.021837020538255e-06, 1.9922807354302932e-06, 2.104288748465344e-06, 1.9650466198333305e-06, 2.1587743179692855e-06, 2.032251850123768e-06, 2.0100177164427176e-06, 2.0557710927416977e-06, 2.006259871069141e-06, 2.090081339212369e-06, 1.964514305338998e-06, 2.0533894075805194e-06, 2.049028249826241e-06, 2.042774158517331e-06, 2.054074207826664e-06, 2.0491618053056117e-06, 2.040158391534106e-06, 2.0655228653071564e-06, 2.0029695619832877e-06, 2.0382213798189114e-06, 2.0202303151918387e-06, 1.971125026181542e-06, 2.1350994803796257e-06, 1.987781528804877e-06, 2.0611098993249825e-06, 1.9780979171906812e-06, 2.0681901644251054e-06, 1.970715650746252e-06, 2.0775970465224837e-06, 2.0934773599034103e-06, 1.9909846984512634e-06, 2.069532364260208e-06, 2.0043779281240647e-06, 2.07820194822165e-06, 2.0354545502611008e-06, 2.0825645261889663e-06, 2.0657350804595295e-06, 2.0695203089299852e-06, 2.0176330205978345e-06, 1.9980527316280204e-06, 2.07513092749669e-06, 2.0818877805657008e-06, 2.0043844622551708e-06, 2.0692584079061637e-06, 2.000159560659548e-06, 2.06188831095098e-06, 2.021112784729209e-06, 2.063345184197334e-06, 1.997900699881885e-06, 2.01948307727577e-06, 2.091944151816968e-06, 2.064367814313542e-06, 2.0094233497089175e-06, 2.03451966682614e-06, 2.0597611517169083e-06]",0.0,0.0
../test_data\delta_elevators_processed.csv,0.2,RF[md15],"[2.0005317388682434e-06, 2.1123887871253926e-06, 2.09423290192136e-06, 2.007681325527236e-06, 2.029262971616791e-06, 2.057047632884475e-06, 2.0654219109951424e-06, 2.0354901906242536e-06, 2.083627545706218e-06, 2.0016023446590993e-06, 1.9843593317632093e-06, 2.1496529953750096e-06, 1.9875516448543362e-06, 2.097553603997202e-06, 1.991248933812541e-06, 2.1019934172170387e-06, 2.0441183775079353e-06, 2.029195301436218e-06, 2.068655512021678e-06, 2.0667209505481955e-06, 2.0143044258978547e-06, 2.068727595158201e-06, 2.056362182507073e-06, 1.9826145909412345e-06, 2.0590608209280217e-06, 2.060821860830969e-06, 1.9922591265601803e-06, 2.111496424626153e-06, 2.10430840537441e-06, 2.034120263244318e-06, 2.0600356521721746e-06, 2.015453174200052e-06, 2.081412918993966e-06, 2.0235859022442677e-06, 2.054283254522794e-06, 2.017812108791989e-06, 2.036264382497975e-06, 2.0580389056379035e-06, 2.118252929906811e-06, 1.9935949997337466e-06, 2.034680376236634e-06, 2.0445217744703884e-06, 2.0321984021992714e-06, 2.058494111590341e-06, 2.1078901127939772e-06, 2.0318499444006657e-06, 2.0068160989121924e-06, 2.1145613585734352e-06, 1.9702397094659212e-06, 2.167151897822648e-06, 2.045283325171584e-06, 2.0197008481207615e-06, 2.0757690764010453e-06, 2.0127792931429417e-06, 2.0986396443392747e-06, 1.9797884823056506e-06, 2.068645433947712e-06, 2.0575442608727207e-06, 2.056181279829836e-06, 2.0657054421459154e-06, 2.056611577749618e-06, 2.048151377330541e-06, 2.072882499192498e-06, 2.0105533911337337e-06, 2.0538190142334045e-06, 2.0295845474904282e-06, 1.981386177634865e-06, 2.1429761894813544e-06, 1.9952799357759113e-06, 2.0595150637903567e-06, 1.985123589092599e-06, 2.0715969730537444e-06, 1.982023009104364e-06, 2.0806461607426024e-06, 2.104361108547659e-06, 2.0104368666631603e-06, 2.0855939446006874e-06, 2.0111504596188985e-06, 2.084385837924227e-06, 2.0553742027678977e-06, 2.0945803149263324e-06, 2.070464778100759e-06, 2.0837281522328838e-06, 2.026683362337156e-06, 2.004080000615748e-06, 2.0897298443099174e-06, 2.090295683602892e-06, 2.022332647815563e-06, 2.077095389254349e-06, 2.0117529439893277e-06, 2.0714388836325887e-06, 2.0234684405036166e-06, 2.075055356916183e-06, 2.0050108688828014e-06, 2.0285213530188698e-06, 2.100495419893857e-06, 2.0736362873735605e-06, 2.0197045841626198e-06, 2.050022620426528e-06, 2.071285663676762e-06]",0.0,0.0
../test_data\delta_elevators_processed.csv,0.2,RF[md20],"[1.9992290277543174e-06, 2.116789760672965e-06, 2.098175476555262e-06, 2.006964472016565e-06, 2.0323597930589856e-06, 2.0591103129834015e-06, 2.0710532423212736e-06, 2.0326974036209434e-06, 2.0873940041713513e-06, 2.001326718805433e-06, 1.9828707696945355e-06, 2.150304078403345e-06, 1.9941203348744548e-06, 2.1035993451911403e-06, 1.9942190482285286e-06, 2.1017091854652014e-06, 2.048187638338068e-06, 2.0300676442540546e-06, 2.075899619911722e-06, 2.0668677543392327e-06, 2.015338870797062e-06, 2.0706669548560527e-06, 2.057397872660111e-06, 1.9869322083969526e-06, 2.0688880377189924e-06, 2.0641687258493517e-06, 1.997567491255016e-06, 2.11491319556871e-06, 2.1001006636329657e-06, 2.045517490863417e-06, 2.0635091157389833e-06, 2.021068111950385e-06, 2.0912919853473862e-06, 2.024708800489885e-06, 2.056330108021024e-06, 2.017347067853689e-06, 2.040435536138917e-06, 2.0624111277922678e-06, 2.119125627031053e-06, 1.9928292181194936e-06, 2.0361634529953565e-06, 2.049427266725639e-06, 2.029642749771817e-06, 2.0631368044847784e-06, 2.1042988101313715e-06, 2.0345985594370266e-06, 2.0108828812379584e-06, 2.1117099934611423e-06, 1.971726667208377e-06, 2.1643150370271254e-06, 2.053535125382187e-06, 2.0297057724518497e-06, 2.0772750281800284e-06, 2.0151713920221425e-06, 2.0987372839999365e-06, 1.9805778903878384e-06, 2.0709643126854947e-06, 2.064379536603976e-06, 2.0586708347492753e-06, 2.0668876015313487e-06, 2.05988566854227e-06, 2.049731066792258e-06, 2.075298789336449e-06, 2.014238087658017e-06, 2.0563809032565898e-06, 2.0300330604438085e-06, 1.981437807637995e-06, 2.146370297723693e-06, 2.0035590733639534e-06, 2.0619797142806858e-06, 1.9921705143222907e-06, 2.070228885110722e-06, 1.987594081861029e-06, 2.0816992411266687e-06, 2.110319378030647e-06, 2.009786609023974e-06, 2.08685925440855e-06, 2.014305095631834e-06, 2.0869363008029007e-06, 2.054770876676987e-06, 2.1025840740095194e-06, 2.0779536845266194e-06, 2.0865984598856683e-06, 2.032386367282626e-06, 2.009986266995157e-06, 2.0876688594691035e-06, 2.0970125744612044e-06, 2.0264020032584276e-06, 2.078666650837696e-06, 2.0161064032901678e-06, 2.0682758214452107e-06, 2.0291872493132084e-06, 2.078542020386744e-06, 2.0129378968024105e-06, 2.0323310922744164e-06, 2.103398392920093e-06, 2.0752429400568016e-06, 2.0252185631501664e-06, 2.0465009716278094e-06, 2.071015374379886e-06]",0.0,0.0
../test_data\delta_elevators_processed.csv,0.2,RF[md25],"[1.9965939425535686e-06, 2.1170758737356367e-06, 2.098586059991941e-06, 2.005320588246886e-06, 2.0310715791299766e-06, 2.057277200094805e-06, 2.0713396891749647e-06, 2.0355628959705293e-06, 2.085561427776647e-06, 2.0014449163697666e-06, 1.982703416874919e-06, 2.149754380685075e-06, 1.9947033300723956e-06, 2.1022959689534706e-06, 1.9972630182543795e-06, 2.10319236603777e-06, 2.051981936564638e-06, 2.033031957971906e-06, 2.0757024298139014e-06, 2.06405068652673e-06, 2.0197446930071097e-06, 2.0705273704976178e-06, 2.0566498694709942e-06, 1.984732640417282e-06, 2.069035027758281e-06, 2.068440454918748e-06, 1.9980683170838424e-06, 2.117300232072531e-06, 2.103168598723555e-06, 2.0453423779686847e-06, 2.0640838624563627e-06, 2.018841913988354e-06, 2.090306972275151e-06, 2.026573906947107e-06, 2.0580882888211808e-06, 2.019036945969981e-06, 2.03917007802189e-06, 2.0648428072788666e-06, 2.118182062656137e-06, 1.9868450785815004e-06, 2.040569867397261e-06, 2.04900855118136e-06, 2.0333009185146926e-06, 2.0636705619639735e-06, 2.1072258342174277e-06, 2.0415415249651794e-06, 2.008088567547871e-06, 2.111234999442843e-06, 1.9699783115190647e-06, 2.168358784712979e-06, 2.0543831148548232e-06, 2.0282585767951448e-06, 2.07576685236031e-06, 2.0173877337265635e-06, 2.092108066111707e-06, 1.9826954275839523e-06, 2.0716011076825913e-06, 2.0641842904182323e-06, 2.0588509225524264e-06, 2.0678708860723296e-06, 2.0580794222985e-06, 2.05374203593673e-06, 2.0769544739018297e-06, 2.014518570610543e-06, 2.055227760219141e-06, 2.0305028264110996e-06, 1.9829756657252076e-06, 2.1438846220934657e-06, 1.9966332999134237e-06, 2.0680550871769697e-06, 1.9948406873685913e-06, 2.070805760131829e-06, 1.9855429488540555e-06, 2.0818194654913226e-06, 2.1067546522948184e-06, 2.012177170834003e-06, 2.093135190625657e-06, 2.013860650949288e-06, 2.0888188928788947e-06, 2.0553612961097526e-06, 2.098633943032151e-06, 2.0756731463589684e-06, 2.0858691675212356e-06, 2.0338481761266943e-06, 2.006057340148231e-06, 2.094759866508288e-06, 2.0938386172325537e-06, 2.0289130102533977e-06, 2.0787862413475197e-06, 2.0163846661963333e-06, 2.073690192240213e-06, 2.028298847241683e-06, 2.080129394361248e-06, 2.0138321322742983e-06, 2.033702372671093e-06, 2.102653685473703e-06, 2.0758660281455024e-06, 2.0201499873123045e-06, 2.0489738168182936e-06, 2.0715705573707938e-06]",0.0,0.0
../test_data\delta_elevators_processed.csv,0.2,RF[mss3],"[1.9963997274579158e-06, 2.1146634917624123e-06, 2.0925929605659455e-06, 2.002262337285741e-06, 2.031444405897597e-06, 2.0585855621759847e-06, 2.0699233521398056e-06, 2.0360907256375227e-06, 2.083751918908034e-06, 1.9992003891516044e-06, 1.9838749828745533e-06, 2.1480720070816404e-06, 1.9907793065419907e-06, 2.09755038826421e-06, 1.995039364811702e-06, 2.1106115855576574e-06, 2.0444422145291964e-06, 2.0343005240238664e-06, 2.075511075949663e-06, 2.061358960802859e-06, 2.0142817155273053e-06, 2.0693549403168933e-06, 2.0574196462200277e-06, 1.9877807883739663e-06, 2.05995788463963e-06, 2.062093203610294e-06, 1.9899315553804487e-06, 2.1197383389787963e-06, 2.102063423910252e-06, 2.0379152225958622e-06, 2.0627886418832154e-06, 2.0185669192412778e-06, 2.0919869098024797e-06, 2.022894337665219e-06, 2.0589194347318533e-06, 2.0196125345441594e-06, 2.038475204740725e-06, 2.060542611817524e-06, 2.119313171674722e-06, 1.9835130149689415e-06, 2.0374500644101237e-06, 2.0500480551644013e-06, 2.0326150884698e-06, 2.0573969244897484e-06, 2.105674696901777e-06, 2.031825777468358e-06, 2.002736970914758e-06, 2.106412686533791e-06, 1.970211151957695e-06, 2.165781956762879e-06, 2.0513645093973993e-06, 2.028142275331605e-06, 2.07751093370456e-06, 2.01149888226846e-06, 2.0959559098550115e-06, 1.9756369167834295e-06, 2.0674260200380566e-06, 2.061332899922937e-06, 2.0564945000291846e-06, 2.069801152830321e-06, 2.0544615576976957e-06, 2.0488028993683156e-06, 2.0716821374355023e-06, 2.0175070751716407e-06, 2.0563830030351847e-06, 2.0297795882081635e-06, 1.9856353471375875e-06, 2.1426634689178465e-06, 1.9982513077794123e-06, 2.0622357915615806e-06, 1.991062351357662e-06, 2.0666737179720706e-06, 1.9822095561742662e-06, 2.0806442472735973e-06, 2.1074687610492404e-06, 2.011185403408295e-06, 2.0880935802222695e-06, 2.020666375011676e-06, 2.090470316453037e-06, 2.055563220575872e-06, 2.096121815810978e-06, 2.075024615151091e-06, 2.0878495805082765e-06, 2.027681262902247e-06, 2.003827599787537e-06, 2.0892330114835836e-06, 2.09400165004903e-06, 2.027812417600766e-06, 2.0785121687621117e-06, 2.0129112207510157e-06, 2.068584290688987e-06, 2.024035011232544e-06, 2.0744884135089076e-06, 2.0089973578359256e-06, 2.0328215704804938e-06, 2.1028233647540982e-06, 2.0749288846804885e-06, 2.017273052998459e-06, 2.0473213099857583e-06, 2.066858394890477e-06]",0.0,0.0
../test_data\delta_elevators_processed.csv,0.2,RF[mss4],"[1.9939708234974527e-06, 2.1116631405209415e-06, 2.095708877547804e-06, 2.005688656194866e-06, 2.0287071763456665e-06, 2.054304510086247e-06, 2.070191385701945e-06, 2.0322081565562336e-06, 2.081798713404939e-06, 2.002365954442643e-06, 1.9781472749994166e-06, 2.1501408160057914e-06, 1.988121362228102e-06, 2.093424489591227e-06, 1.987938147650067e-06, 2.102378002347282e-06, 2.0438482136580697e-06, 2.0330752570933163e-06, 2.072269945026704e-06, 2.0613432133043144e-06, 2.0166884284282455e-06, 2.0663089790251815e-06, 2.0539231975060744e-06, 1.986243090040381e-06, 2.0576276337991177e-06, 2.058070088831771e-06, 1.9921108850812092e-06, 2.1162346529821123e-06, 2.0980424184556745e-06, 2.0359527398375003e-06, 2.061529188867709e-06, 2.0189753432985292e-06, 2.0857342566987293e-06, 2.0236896430888805e-06, 2.0544275461581567e-06, 2.0166639669562376e-06, 2.0358712641049133e-06, 2.0583169241342185e-06, 2.116155158402697e-06, 1.9871183720984538e-06, 2.0346499918793326e-06, 2.0517832081118427e-06, 2.0306136067451147e-06, 2.0538666728422067e-06, 2.105148451113155e-06, 2.0319900051611373e-06, 2.0029959567413506e-06, 2.1085433699289367e-06, 1.967242508098154e-06, 2.165199864758864e-06, 2.048236585528006e-06, 2.0279735969390138e-06, 2.0707616219922726e-06, 2.0122650523175434e-06, 2.0967831211449697e-06, 1.9714403608483956e-06, 2.0628793130946784e-06, 2.0581883477899495e-06, 2.0541698042656023e-06, 2.0639995905492505e-06, 2.053308233907684e-06, 2.0451678529018794e-06, 2.076911730695367e-06, 2.016789447083275e-06, 2.053041053098223e-06, 2.0295071352750925e-06, 1.9792954176997966e-06, 2.144681084315329e-06, 1.9930809868607946e-06, 2.065058779349662e-06, 1.988446957387578e-06, 2.0701728134855104e-06, 1.980707837834055e-06, 2.0804277077909838e-06, 2.1068541258425975e-06, 2.0058209808105743e-06, 2.0861603479456994e-06, 2.014158607260096e-06, 2.0834339820713257e-06, 2.050330857528769e-06, 2.093497937180013e-06, 2.0692440800899594e-06, 2.0810676285328097e-06, 2.022625225966602e-06, 2.0037625129899475e-06, 2.0851980976717574e-06, 2.0907971548749503e-06, 2.019806442192241e-06, 2.0737299380012283e-06, 2.0102766668166413e-06, 2.0692653361875745e-06, 2.0194027309564082e-06, 2.069890648835671e-06, 2.004682141977374e-06, 2.031690776674367e-06, 2.100706483737498e-06, 2.0686769164915602e-06, 2.016664813135819e-06, 2.041014322939255e-06, 2.0669434369774884e-06]",0.0,0.0
../test_data\delta_elevators_processed.csv,0.2,RF[mss6],"[1.9910170919683394e-06, 2.1096121959102034e-06, 2.0929496152833588e-06, 2.0021917674493946e-06, 2.0257420277440206e-06, 2.0475019333355424e-06, 2.0634604507996534e-06, 2.0268903721167493e-06, 2.0720685891730826e-06, 1.996573654264185e-06, 1.970316528920442e-06, 2.1387579683101277e-06, 1.9832890796517093e-06, 2.0928642852766056e-06, 1.986547678050946e-06, 2.097545320024381e-06, 2.0419833949279168e-06, 2.0269590369153367e-06, 2.0705853451622587e-06, 2.0543908048440267e-06, 2.013842086630652e-06, 2.0589945366805594e-06, 2.05074846603306e-06, 1.9775084860350335e-06, 2.05649653220471e-06, 2.050237004166959e-06, 1.988692947084408e-06, 2.106199513632164e-06, 2.0945216390650312e-06, 2.0320283542329115e-06, 2.0655877767379803e-06, 2.0101602693920424e-06, 2.0785010638606946e-06, 2.0176629765985123e-06, 2.0554279716918326e-06, 2.0108415085990193e-06, 2.0312185523778102e-06, 2.0565152497526577e-06, 2.107399353475796e-06, 1.9841933681211745e-06, 2.0311155601879084e-06, 2.045474640983371e-06, 2.025648804406958e-06, 2.054775693120717e-06, 2.1009970572203257e-06, 2.028136195169179e-06, 1.992522545238733e-06, 2.1052495119079955e-06, 1.9574941130973758e-06, 2.1633162797020806e-06, 2.0436297739391267e-06, 2.021650808758503e-06, 2.062523070801787e-06, 2.008175284879789e-06, 2.091495122130184e-06, 1.9716903429820623e-06, 2.0589906266044908e-06, 2.0594138852505087e-06, 2.0528369593081773e-06, 2.0584839833899578e-06, 2.0484370308280446e-06, 2.045485192877445e-06, 2.0714569770661987e-06, 2.0116219785144953e-06, 2.0525395095688693e-06, 2.0215060535046413e-06, 1.972406954738793e-06, 2.1420767024717145e-06, 1.9875808968630258e-06, 2.064644006212631e-06, 1.98188862105698e-06, 2.0638529684153175e-06, 1.9770510788622896e-06, 2.080659278679983e-06, 2.100054459981412e-06, 1.9983667573661527e-06, 2.074071876893222e-06, 2.0078682718428982e-06, 2.0783477349182144e-06, 2.0467338544656915e-06, 2.0837957670104095e-06, 2.065726219657047e-06, 2.078764503718806e-06, 2.0237073975027812e-06, 1.999843238407565e-06, 2.0825487711587094e-06, 2.085757241753458e-06, 2.0132650747561548e-06, 2.0737797380850734e-06, 2.00625524070137e-06, 2.0636035163876748e-06, 2.0164822652416547e-06, 2.0660682008718936e-06, 1.99753834502506e-06, 2.0243905680808617e-06, 2.091820849719932e-06, 2.066947210268138e-06, 2.014416773623776e-06, 2.0410717562760708e-06, 2.066164191619959e-06]",0.0,0.0
