dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
../test_data\taxi_trip_processed.csv,0.2,RF[100],"[269.32061110510824, 128.13793804648193, 165.31806291676943, 142.01053206277797, 134.03238583669517, 172.67879867103534, 186.8239916503335, 129.96329364374168, 143.95637086447124, 178.2306231750165, 328.03250829544504, 115.79292762543118, 167.55448739928653, 141.32268309354075, 153.99162287161934, 154.89167480025827, 209.29632067664238, 133.81065296537568, 117.13171025697874, 177.80775443901913, 163.15247513696002, 124.82129751006886, 105.60427393506565, 204.1673959435313, 132.66738205080236, 216.51799091177594, 137.33385435207728, 146.55545039204338, 151.88262047456087, 140.14158399306476, 126.92126361410432, 190.04212861927104, 290.6863280826753, 103.85913125555152, 158.7079795577884, 147.18240090045919, 191.82592603155058, 122.44916774792006, 138.43924104051507, 141.35484733738247, 130.30031562597418, 175.70194193618923, 120.83053684577159, 157.46038877058297, 136.0145688400588, 140.9893551222202, 140.25314951672033, 237.04664358021267, 311.6693982405243, 113.157583936776, 134.6618665567794, 152.29419147824242, 137.354825329042, 211.8983864019566, 177.52629663272813, 117.09094306731598, 170.82538045319419, 131.66718571854193, 240.96220576642622, 115.70075955696643, 186.54358328686965, 127.32376754128043, 115.61949005871158, 169.42246500018825, 163.93379301839508, 136.6363540140313, 145.30891114911353, 152.21698159399412, 141.21394748627063, 182.214291623206, 193.83955770716597, 131.06588690262438, 131.33156506575804, 172.58945103125137, 136.63635694231317, 159.06414293702852, 181.2247477426023, 123.99071511500162, 159.3788598717272, 131.68369320837292, 148.0513198933164, 154.68080176377043, 130.321105715211, 175.9921469199277, 110.49567657811669, 197.81515163986208, 169.97977524297508, 129.55998080257913, 154.50054151166904, 127.49893235790555, 157.09076056320785, 130.18750791506864, 156.75946453346785, 133.52734874602845, 275.48683166987456, 119.6156941043365, 204.16669015066847, 116.86206275904179, 287.9768915132638, 139.99311537816484]",159.996,44.254
../test_data\taxi_trip_processed.csv,0.2,RF[200],"[244.2013038696891, 128.04720364988785, 173.03884440683404, 143.63442531995176, 134.999265510118, 172.62591570571078, 177.87968343334893, 140.49324650661512, 146.6642557851884, 188.46316471656067, 369.71632586343003, 117.90090625903248, 164.14570825273955, 145.5297159230604, 159.08179904192554, 156.89706891572533, 202.7405644489211, 135.76503343920967, 116.40662094892069, 181.77230406693772, 181.21068986586718, 122.63804365874566, 106.88037671764796, 213.68052268784305, 131.40390780094467, 224.7073816047366, 136.8442382587722, 159.313379931864, 159.98151484982378, 134.92663755348212, 123.40536301562852, 187.80317850180742, 308.5910612036252, 104.17040379847204, 151.6294801196603, 150.03148085629297, 198.63751899034895, 111.95120253803135, 161.537146281061, 141.74585899884417, 125.50249350392887, 163.17966769380246, 120.05778544015362, 166.69431718838368, 152.60190688379924, 135.52654013882727, 128.06609044820877, 222.04169009417095, 294.86955529597503, 110.74504094575343, 130.1438044342801, 152.48524944340375, 133.61418236387888, 202.70572142258345, 189.9910336320877, 117.20250828735743, 171.35283322023463, 127.58694267567223, 249.5084709541492, 116.02446006784312, 172.88857542967622, 130.86330597238586, 115.8244159269351, 170.75723350507369, 159.0685284720597, 137.78104080293946, 158.51290894707728, 149.66515623300134, 136.73915635718646, 182.23191600337032, 206.9537499509962, 131.77371265655347, 129.282925923302, 167.24828485538217, 134.79911571913624, 153.37916724732878, 178.61421140434064, 125.15611955788351, 164.88124856269144, 134.23034877926733, 142.41509603375226, 158.25112791429038, 129.55631010853378, 186.36878417761454, 110.17548867634767, 194.42155788018619, 203.93474166579952, 128.6523071430054, 174.06156849653186, 131.9210291414718, 189.0723646683093, 132.47888558374117, 145.6585663081455, 129.23967109713232, 280.94634031261603, 121.22348711130785, 212.27854854756933, 108.64983955841419, 239.13276454466967, 131.31206641586004]",161.114,45.365
../test_data\taxi_trip_processed.csv,0.2,RF[500],"[248.86314663121973, 133.61007282078776, 180.24436747996648, 142.56506212888075, 133.6520750909064, 166.9387406535788, 176.72002559379033, 125.59676303237552, 148.90484436266388, 194.99278877744533, 351.10225322338056, 119.19362719074208, 164.44183796828537, 139.97930233350453, 165.08245970547486, 152.33179439730458, 189.4071845059434, 131.96757438005872, 116.6119622374825, 189.32372118646015, 168.2466915166615, 123.21935535993549, 106.7960321743907, 214.28047926332178, 128.84601352442036, 215.7993571361472, 134.5917810064951, 182.78181276502713, 158.92432845765143, 136.93606809800585, 121.44043844430358, 180.81057128110095, 266.63457054373384, 108.56337851305847, 149.75678577494455, 147.67335713119442, 182.52464289330143, 115.59173440476236, 166.31643177764724, 141.16970993423269, 126.63625145321164, 156.02735029170077, 120.98598829496893, 167.0800918746135, 158.68921932106323, 136.29692046960417, 124.48012193360869, 201.38105901158477, 252.09392415765842, 110.62567997739905, 135.67804407387766, 160.98684830013562, 124.77351142783695, 199.93192878898614, 184.9516282160037, 116.64450941900907, 176.0099756481182, 126.40311980170773, 221.7232965185039, 113.43692640090573, 183.8918821220139, 133.51599790503474, 116.87442874821558, 167.13121568046103, 159.14622681654575, 142.72926715589628, 150.9303272397558, 146.07436827478801, 139.17045895309138, 181.0655194604157, 193.0020924250335, 131.33791084181456, 132.5807893786029, 163.33435304906715, 127.027119527203, 149.0771987786962, 172.53511318715363, 126.57964377774921, 166.50881000973007, 133.12011022211203, 139.4775199903833, 154.59926157319998, 124.50662940093892, 181.25705454447234, 110.86749966430567, 192.57880287808516, 207.62320276456134, 130.0486716436703, 167.71067703619673, 131.26449967176927, 182.87453016889202, 133.71682267278663, 147.3600226674951, 134.8219661696996, 297.6669512809281, 117.7398953105707, 192.19824848268254, 108.7154754583776, 241.82450834094354, 129.4251386505589]",158.792,41.543
../test_data\taxi_trip_processed.csv,0.2,RF[md10],"[268.2917963360736, 130.3250931734863, 168.13836735251476, 145.77433351895303, 132.51586809000293, 168.22285064157276, 181.39913955823383, 129.79645359809507, 143.8773090415172, 176.55895340943025, 326.69100129872254, 119.11120243049177, 166.7523014963738, 138.2256760407227, 152.8262093571428, 155.8514151603748, 213.35441096456086, 134.46654267085162, 116.39390149442062, 176.95922841131596, 162.43685854382514, 122.57668450798117, 109.93237117941398, 199.54295676288572, 135.19922272221277, 219.47605241526153, 134.15515733976835, 145.68666856220653, 150.536684617665, 138.23571905222522, 124.71045970275739, 186.43674820268248, 287.2354091764398, 104.76434179962628, 157.7480616526603, 153.29589044440544, 193.2576301347686, 121.84949257402906, 142.46366676686046, 143.90426102816096, 127.37179357201671, 181.16069512875492, 119.43719169565739, 165.00351719777933, 137.11922497607728, 140.25869443090326, 136.28064062346374, 242.01095677196335, 299.5696961984576, 114.02158083976126, 132.13084057643832, 156.2912899482916, 134.37179796346567, 202.21611411791747, 178.08612965808155, 115.7747294502023, 170.88997697411745, 130.85165420412676, 239.60894769292983, 115.31685572286418, 192.40442091421306, 127.71460326061339, 119.59860547272541, 173.69922557063583, 165.06780747685613, 137.03342125685987, 141.78248859795195, 152.86778790471985, 140.23042126484265, 181.93026847645487, 193.31485256162142, 129.40927439463525, 134.3767400158894, 169.89096762420635, 135.50014769598803, 158.06761616022487, 175.78507231962678, 127.23376300385523, 160.6343841544287, 131.75893372035765, 146.1721081421304, 155.30175237044693, 131.82014887994862, 170.75265918473252, 111.05707292489679, 198.87491651376342, 171.3456186959692, 129.77218018120138, 157.37210990427954, 125.78702456502094, 160.9586461334965, 132.8034506307947, 154.49507986011184, 135.08039366759047, 268.3444798608617, 117.14425078537184, 205.57343244208596, 113.89662405906321, 283.93362275955286, 144.0667575385859]",159.796,43.339
../test_data\taxi_trip_processed.csv,0.2,RF[md15],"[269.32061110510824, 128.13793804648193, 165.22431240236327, 142.09872552256223, 134.03238583669517, 172.65111274418953, 186.70972589560893, 130.95958219271236, 143.9421443239144, 178.24768143304303, 328.4426193151165, 115.63034741312896, 167.698757625385, 141.32851021720373, 154.47219723298025, 154.89167480025827, 209.45468517390154, 133.8808113367361, 117.13171025697874, 177.82179963854392, 163.3159954307266, 124.94184630245843, 105.88245135572933, 204.1673959435313, 132.5722858581534, 216.41677444642903, 137.40310385325643, 146.56009220218192, 151.7431298285212, 140.102125339916, 126.91833615434703, 190.04212861927104, 291.9054411357142, 103.89713849421305, 158.51953608458425, 147.16927373301704, 191.82353498310877, 122.24282480423493, 139.42708502735152, 141.44075921175272, 130.39489957159503, 176.23494421637423, 121.01762492394182, 157.78925511255602, 136.7073929413456, 141.00014326533554, 140.59424273199588, 237.15988828668, 311.6693982405243, 113.09405897787859, 134.63296426310612, 153.0598890389531, 138.07722589597878, 210.4779335199494, 177.36997935148113, 117.84340301815423, 170.82538045319419, 131.31241056157984, 240.42273393684334, 115.72710527347273, 186.630996506383, 127.19275381345565, 115.94882176133986, 169.27366186543466, 163.97354398309045, 136.55825530832976, 144.72689446453364, 152.8862900928313, 141.23551415411404, 182.369095820281, 193.83875351258706, 131.57598265739693, 131.33156506575804, 173.21125866396733, 136.830255607664, 158.94268489076805, 181.5038824111127, 123.9760772711962, 159.4359417980365, 131.88881352794272, 148.2754717993536, 154.81618462434153, 130.560740590436, 175.29047843665214, 110.49567657811669, 197.67609481875724, 169.97977524297508, 129.68778076837975, 154.06532256999455, 127.49893235790555, 157.1463309843962, 130.22802455738633, 156.8352068223277, 132.96910240078907, 274.8156848454876, 119.6212761683658, 204.16669015066847, 116.1241184171795, 288.685999355719, 139.99311537816484]",160.062,44.256
../test_data\taxi_trip_processed.csv,0.2,RF[md20],"[269.32061110510824, 128.13793804648193, 165.31806291676943, 142.01053206277797, 134.03238583669517, 172.67879867103534, 186.8239916503335, 129.96329364374168, 143.95637086447124, 178.2306231750165, 328.03250829544504, 115.79292762543118, 167.55448739928653, 141.32268309354075, 153.99162287161934, 154.89167480025827, 209.29632067664238, 133.81065296537568, 117.13171025697874, 177.80775443901913, 163.15247513696002, 124.82129751006886, 105.60427393506565, 204.1673959435313, 132.66738205080236, 216.51799091177594, 137.33385435207728, 146.55545039204338, 151.88262047456087, 140.14158399306476, 126.92126361410432, 190.04212861927104, 290.6863280826753, 103.85913125555152, 158.7079795577884, 147.18240090045919, 191.82592603155058, 122.44916774792006, 138.43924104051507, 141.35484733738247, 130.30031562597418, 175.70194193618923, 120.83053684577159, 157.46038877058297, 136.0145688400588, 140.9893551222202, 140.25314951672033, 237.04664358021267, 311.6693982405243, 113.157583936776, 134.6618665567794, 152.29419147824242, 137.354825329042, 211.8983864019566, 177.52629663272813, 117.09094306731598, 170.82538045319419, 131.66718571854193, 240.96220576642622, 115.70075955696643, 186.54358328686965, 127.32376754128043, 115.61949005871158, 169.42246500018825, 163.93379301839508, 136.6363540140313, 145.30891114911353, 152.21698159399412, 141.21394748627063, 182.214291623206, 193.83955770716597, 131.06588690262438, 131.33156506575804, 172.58945103125137, 136.63635694231317, 159.06414293702852, 181.2247477426023, 123.99071511500162, 159.3788598717272, 131.68369320837292, 148.0513198933164, 154.68080176377043, 130.321105715211, 175.9921469199277, 110.49567657811669, 197.81515163986208, 169.97977524297508, 129.55998080257913, 154.50054151166904, 127.49893235790555, 157.09076056320785, 130.18750791506864, 156.75946453346785, 133.52734874602845, 275.48683166987456, 119.6156941043365, 204.16669015066847, 116.86206275904179, 287.9768915132638, 139.99311537816484]",159.996,44.254
../test_data\taxi_trip_processed.csv,0.2,RF[md25],"[269.32061110510824, 128.13793804648193, 165.31806291676943, 142.01053206277797, 134.03238583669517, 172.67879867103534, 186.8239916503335, 129.96329364374168, 143.95637086447124, 178.2306231750165, 328.03250829544504, 115.79292762543118, 167.55448739928653, 141.32268309354075, 153.99162287161934, 154.89167480025827, 209.29632067664238, 133.81065296537568, 117.13171025697874, 177.80775443901913, 163.15247513696002, 124.82129751006886, 105.60427393506565, 204.1673959435313, 132.66738205080236, 216.51799091177594, 137.33385435207728, 146.55545039204338, 151.88262047456087, 140.14158399306476, 126.92126361410432, 190.04212861927104, 290.6863280826753, 103.85913125555152, 158.7079795577884, 147.18240090045919, 191.82592603155058, 122.44916774792006, 138.43924104051507, 141.35484733738247, 130.30031562597418, 175.70194193618923, 120.83053684577159, 157.46038877058297, 136.0145688400588, 140.9893551222202, 140.25314951672033, 237.04664358021267, 311.6693982405243, 113.157583936776, 134.6618665567794, 152.29419147824242, 137.354825329042, 211.8983864019566, 177.52629663272813, 117.09094306731598, 170.82538045319419, 131.66718571854193, 240.96220576642622, 115.70075955696643, 186.54358328686965, 127.32376754128043, 115.61949005871158, 169.42246500018825, 163.93379301839508, 136.6363540140313, 145.30891114911353, 152.21698159399412, 141.21394748627063, 182.214291623206, 193.83955770716597, 131.06588690262438, 131.33156506575804, 172.58945103125137, 136.63635694231317, 159.06414293702852, 181.2247477426023, 123.99071511500162, 159.3788598717272, 131.68369320837292, 148.0513198933164, 154.68080176377043, 130.321105715211, 175.9921469199277, 110.49567657811669, 197.81515163986208, 169.97977524297508, 129.55998080257913, 154.50054151166904, 127.49893235790555, 157.09076056320785, 130.18750791506864, 156.75946453346785, 133.52734874602845, 275.48683166987456, 119.6156941043365, 204.16669015066847, 116.86206275904179, 287.9768915132638, 139.99311537816484]",159.996,44.254
../test_data\taxi_trip_processed.csv,0.2,RF[mss3],"[270.0653366912924, 130.66002510570547, 167.44929432285247, 148.46433904710852, 131.54481198108215, 180.16227461038034, 187.399038486779, 130.89021887504356, 143.1743478124922, 187.54968975384224, 325.09995588362364, 117.69709747773486, 170.20978236474068, 141.42353200541902, 157.9834225870459, 156.50624051074814, 213.57662815276208, 142.68362232871849, 112.68506934344812, 180.21528006099226, 165.47369073776775, 119.81433630326696, 107.14813999513696, 206.25303726990248, 136.1550752782242, 223.49245202016525, 139.394195349414, 150.70906554345413, 150.70941674883792, 138.97471183629906, 127.92073133533746, 187.90252324764873, 297.3728809680978, 105.27053788870806, 158.65674962486318, 147.1134903327695, 193.5752520681238, 123.09773915606543, 143.1786939081345, 141.82698752795298, 128.87470376229555, 181.25439811394932, 124.99580334217843, 160.0170296510753, 139.2414840160446, 139.26778653546972, 139.34112638980895, 235.25166893375302, 309.62576009178457, 116.12042154248147, 134.34906123389808, 154.6119792246007, 135.72160737874597, 207.80666367172424, 177.88430641363593, 116.4387586616923, 167.07673920936298, 130.35194804343445, 235.45118333134204, 114.05732282308486, 189.94110331590676, 130.95137687173028, 115.67597681509159, 171.81894059158387, 165.69133685601943, 137.83765089701924, 142.3363944492761, 152.9876125950603, 142.39372595883052, 186.2815688202454, 197.496200535671, 130.43697932237484, 131.70370260819718, 175.49654423731505, 134.50395588239215, 157.39420074940335, 182.43903556309394, 124.80752902835563, 161.4920451136558, 132.71821089206665, 146.7659655895007, 157.43012331744748, 131.32691438150954, 170.86005175372964, 109.08127557134685, 201.7706447476811, 173.7528678195537, 132.21564118328453, 157.09258142217104, 130.15156990646292, 155.42143822940244, 130.94981331658101, 159.2324191979138, 139.8157755074757, 274.9247514498228, 116.05730864972048, 209.39401305207056, 117.62249483547633, 287.14917460961425, 142.04565551562607]",161.147,44.323
../test_data\taxi_trip_processed.csv,0.2,RF[mss4],"[273.6443370597689, 130.47152156767945, 165.19840767428323, 151.24441334363732, 134.35928633136677, 179.7927331657638, 186.04679917058994, 130.34543942643054, 147.24518058095444, 185.0804146993576, 321.4993986513551, 118.11161546146285, 172.56971749607592, 141.07828940184214, 158.07432298718533, 158.0893604611978, 213.77791839710733, 138.22264078797093, 114.1039551709178, 175.52252041508112, 164.52290203335613, 123.292407622747, 107.38218004852175, 209.04075751361185, 137.04199344915065, 228.89884143302217, 138.67206673565389, 149.22972848929157, 148.96765718253536, 140.90045165112633, 127.89665435282602, 196.76756354543872, 299.1437043904566, 107.65515933532882, 156.6508563532359, 147.66436828544144, 191.81874449482424, 121.23698524648032, 144.67052464875297, 142.5031700633225, 129.5096950579859, 178.91616863221782, 123.05648082132855, 166.07310743707, 140.49077367479586, 138.49869606511024, 141.75284696726135, 240.3106553905501, 308.8556718707211, 116.95194664238318, 134.6304242086328, 157.45968918189706, 136.14469562368075, 212.76312386927736, 176.93990517181862, 117.19950218251456, 171.01057845140278, 133.10727679951816, 236.05964806718498, 117.08830093145176, 190.3791836591935, 132.02869567140695, 116.18752049607104, 172.5027485230708, 169.8671307230197, 139.09627457270688, 139.91156891229025, 156.3311349358964, 147.15312169596328, 184.0062054598302, 196.35360591197232, 133.6553090893275, 132.72312314722188, 175.14187281090398, 137.1303297590325, 160.50416681928618, 181.39399494853018, 127.25144388290796, 169.3284938832311, 134.86651711342782, 150.00325774897817, 157.07827024859517, 130.4939422123174, 176.66363501555426, 111.15374260529971, 202.48047370652642, 176.33199484202436, 133.21271224142725, 158.65266570756705, 130.38443892375278, 161.3629099281165, 130.5322908228538, 157.43044576196166, 140.42600646834, 273.29197692735255, 118.5568023298126, 209.9064111242866, 119.88836582720647, 289.4683491567588, 143.67038699773923]",162.221,44.255
../test_data\taxi_trip_processed.csv,0.2,RF[mss6],"[274.86374551395267, 132.26228673207785, 170.32746493194367, 154.20100977599424, 137.86190159823803, 181.03538377570695, 188.51504542338893, 132.33841533906087, 149.46205646591724, 189.90304668749303, 323.29037613302853, 120.88254736662363, 174.8386314474361, 142.6898560645361, 162.12661706317024, 161.99809932317834, 216.8960580492793, 141.0269043051962, 116.04715753116461, 177.83152122877905, 169.75531853340064, 125.57889254289307, 110.83760612137196, 210.4357898326515, 141.52146656922113, 229.8650420794655, 141.91014636866052, 153.37616315249272, 152.84943581136324, 144.4849797220478, 132.1024046333426, 202.66582749735662, 303.8488274115076, 111.40304586770561, 158.47674337922228, 150.50478135138272, 197.327876134154, 122.82735516695985, 148.5667410436441, 144.552582276322, 133.59337355734095, 184.43829696471462, 125.91963791646123, 171.37515972241306, 144.01790367969352, 141.93209544856552, 142.72140926768293, 240.17153743877762, 309.79927704628466, 119.73469685504017, 139.73495001876213, 158.56649575871344, 139.5959325258625, 214.49790108328222, 181.49462020335469, 121.29272580532015, 174.06682305539303, 138.3227361508337, 236.24135609296587, 119.13775538124202, 193.28699405401122, 135.8471852782239, 119.33626302533006, 177.20153954357448, 172.03450097312188, 141.48292373271227, 143.14252114454933, 160.60520037899462, 148.24831978801623, 187.6877626520342, 201.02956315230563, 136.89292625416647, 132.75343022190364, 177.72330205360635, 138.4392017447934, 164.75212372630287, 183.78192566149337, 130.9497211387139, 170.7188696492835, 137.2835962809068, 153.88639420350955, 160.48871296904196, 130.2420394115029, 175.53910630288155, 115.81664668892768, 208.21376613392064, 177.5817499600453, 136.70935786226823, 163.2827576350824, 136.9668095229929, 163.04805425141447, 136.45127967033122, 161.04030677971758, 143.89620083639525, 275.9615283884868, 123.76672002665266, 210.4932179650895, 122.19212037605496, 292.3668498566209, 147.92547413844235]",165.270,43.986
