dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,0.2,RF,"[3050.975041379752, 4335.463695594737, 6444.715121155181, 1713.5674843952906, 1476.1625712111343, 8032.5660864787105, 2623.7395522260404, 6390.848478921585, 2831.2912092998317, 4665.667579493165, 1607.6450961524595, 5386.384222783119, 1556.045604173207, 7090.0963097157555, 3041.3992709512104, 4140.630633354016, 3802.26542443186, 4569.401474985369, 5844.540234926229, 1783.5652307353257, 8014.584810336482, 1152.9178491490043, 2834.3281123351767, 4939.462166249837, 2349.595868651596, 5265.550401992451, 3838.2040083782767, 3514.638325547984, 3655.459856082952, 3438.6621405741707, 2772.3355642727697, 4073.400772544806, 2993.604631966971, 4940.320584359962, 1826.0996336507199, 7668.240535081857, 3900.9945082735458, 3250.350841515364, 7567.676246118286, 1603.598838548693, 4357.728681077401, 3099.5692350173476, 3981.0324612806435, 4139.085683517887, 1591.5922935410904, 5641.219153970568, 7156.160522112438, 2098.4882533233863, 4495.696665013555, 2850.8437664421417, 5882.325900687889, 1952.5228728995507, 4450.209482277124, 3200.0235756423995, 6742.257730301107, 1927.6817799462358, 1924.18805199412, 6861.0569875208985, 3289.462290454768, 4193.161472238559, 3170.112698348085, 4776.522010844679, 8759.829532730311, 572.9331151204735, 3621.434528387511, 3110.756709044565, 2287.1617053725377, 6445.789268933934, 2567.6524425505386, 5447.269507572092, 1517.3036132839793, 7069.481448412133, 2971.383299015669, 4402.0303141054765, 2042.9670747466666, 7255.0864043359215, 6574.42922123016, 1475.2899641781603, 3390.3310335747688, 4243.559009724989, 2581.8003049670447, 4322.970061246301, 2914.397168556698, 5203.104794885445, 3070.9333521980107, 4367.225131085393, 2752.1065906517915, 4721.181659125604, 2500.822824212758, 6387.315495299004, 9692.926358124632, 1970.7309514353594, 8417.251924441816, 1153.2598626798376, 3717.133960083937, 2981.464047953264, 4488.494506139471, 3208.48793345737, 4091.011689602156, 3374.9464154153247]",4034.402,1958.875
./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,0.2,RF[200],"[3066.1971630588014, 4387.444346852451, 7222.449030102635, 1457.0433777655276, 1396.9187126839438, 7632.033473839463, 2166.5362782060565, 6324.187920637514, 2902.7647972279733, 5068.616337301733, 1810.2033769903958, 5472.340583172061, 1404.4023780063399, 6834.826100517577, 3126.354679984554, 4310.322887661216, 3384.1461554428647, 4858.459226553834, 6346.68125228836, 1990.521869327747, 7704.941154972029, 1270.4189651625431, 2728.9576655484216, 4682.465871283366, 2440.2034088853047, 5115.399478586523, 3784.125672967334, 3316.6817870197824, 3546.340609452301, 3481.7651738109516, 2785.2459381216117, 3991.3101963575723, 3000.5986153888894, 4731.44716289499, 1449.1638269537398, 7228.7998667543325, 4102.26282744264, 3099.8076868830444, 7331.421100246954, 1653.56338768796, 4145.952599678052, 3009.474382397079, 3663.861988078915, 3903.782448363251, 1830.4515831363137, 5842.653754953056, 7563.197073616644, 2001.9021704390723, 4623.036851887149, 2827.787274547207, 5891.824900985865, 2188.8037725872427, 4278.639366868422, 3354.7098186826997, 6690.684312539628, 1801.4896482264764, 1862.1117046323182, 6588.917664537913, 3182.205633860061, 4154.764515091279, 3234.3380541660167, 4392.547099143059, 9015.967093370577, 465.6578284610862, 4141.621817548818, 3086.1580400937846, 2086.933975492388, 6267.0861202536935, 2456.699393384906, 5752.442935371276, 1578.4998464392988, 6647.08615803219, 2734.9630704680517, 4540.617767761676, 2225.1172837453796, 6961.372286603798, 6232.5543945081445, 1333.7973088707977, 3224.9977989669464, 4431.732916887012, 2823.6989610318897, 4351.2867054640565, 2693.0663677987177, 5081.350257379913, 3344.0890086187346, 4339.139210051857, 2845.301579874319, 4793.568554708693, 2493.2617450712855, 5836.771083923669, 9495.00347028327, 1705.311274484582, 8206.744776678672, 1163.2876307639588, 3905.4479969995605, 3008.1396787446934, 4612.363584693271, 2955.0459680294066, 4322.7451638452085, 3624.2175589734175]",4004.237,1939.263
./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,0.2,RF[500],"[3066.1971905419146, 4323.1921331602025, 7248.894792691398, 1509.9729994243705, 1307.1110955715742, 7301.450855207037, 2018.4913304889374, 6305.597595099124, 2755.7673838567193, 5163.811362782766, 1720.3886673222971, 5997.442702447208, 1468.5260913139691, 6909.75607925388, 3103.429341275145, 4373.094577479465, 3363.1417967592674, 4581.94421087556, 6093.131537345112, 1951.1238670389937, 7419.234236203687, 1330.703262830077, 2698.3273481108054, 4684.782661825372, 2361.043892713381, 5162.27598960218, 3726.086382471753, 3254.5187817835313, 3484.984527002428, 3352.243042959127, 3070.948721073602, 3903.3318365756595, 2733.6951564259903, 4662.791167632219, 1403.5257130791513, 7055.596178530392, 3989.3242857236123, 3044.654816349065, 7044.8928102514865, 1554.7791798687, 4177.884649329781, 2937.401960641895, 3641.2618005193917, 3888.923805803692, 1645.9716195199273, 6138.238977735847, 7063.717901641862, 2084.0210418958673, 4643.394068102344, 2800.25283673924, 5897.834260951609, 2175.1704290191765, 4044.725381734147, 3268.158069862318, 6774.147863703281, 1734.4607424717349, 1828.0856780680965, 6536.302307704313, 3052.7248029232205, 4183.4021128385375, 3254.0700040794413, 4436.625299025149, 8872.598964973799, 546.6740832114689, 4265.8617739415085, 3322.065986720094, 2113.5789806020366, 6136.699811050607, 2164.294259473295, 5854.700168179673, 1515.9268510863908, 6729.789107956599, 2858.147658622055, 4558.38142534361, 2129.0707051904296, 6551.258189569509, 6413.131708477804, 1234.8848293275016, 3026.4911160575452, 4158.354944134144, 2869.6132532652296, 4342.4196514967225, 2729.305281806962, 4797.77109836118, 3087.2776762108015, 4383.31368320341, 2868.3967808139846, 5025.055936481481, 2402.2591065985544, 5468.62473418975, 9504.704444447183, 1535.1755890894403, 8285.896559879106, 1078.4031742326638, 3986.4532759081844, 3154.0572398027466, 4436.526781027292, 2988.87497027903, 4302.449676877515, 3558.4135897207507]",3959.639,1926.445
./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,0.2,RF[md10],"[3050.975041379752, 4335.463695594738, 6444.715121155179, 1713.5674843952897, 1476.1625712111345, 8032.56608647871, 2623.7395522260426, 6390.84847892159, 2831.2912092998313, 4665.667579493163, 1607.6450961524579, 5386.38422278312, 1556.0456041732089, 7090.0963097157555, 3041.39927095121, 4140.630633354016, 3802.265424431861, 4569.401474985369, 5844.540234926229, 1783.565230735326, 8014.584810336484, 1152.9178491490036, 2834.3281123351762, 4939.462166249837, 2349.595868651595, 5265.550401992449, 3838.2040083782786, 3514.6383255479864, 3655.459856082952, 3438.662140574174, 2772.3355642727684, 4073.4007725448037, 2993.604631966969, 4940.320584359963, 1826.0996336507194, 7668.240535081855, 3900.9945082735458, 3250.350841515365, 7567.676246118285, 1603.598838548692, 4357.728681077401, 3099.5692350173495, 3981.032461280638, 4139.085683517888, 1591.5922935410906, 5641.219153970569, 7156.160522112437, 2098.4882533233867, 4495.696665013554, 2850.8437664421417, 5882.325900687888, 1952.522872899549, 4450.209482277129, 3200.0235756423995, 6742.257730301102, 1927.681779946236, 1924.1880519941199, 6861.056987520896, 3289.4622904547655, 4193.161472238557, 3170.112698348085, 4776.522010844681, 8759.829532730313, 572.933115120474, 3621.4345283875114, 3110.7567090445664, 2287.1617053725377, 6445.78926893393, 2567.6524425505404, 5447.26950757209, 1517.3036132839786, 7069.481448412133, 2971.3832990156693, 4402.0303141054765, 2042.967074746666, 7255.0864043359215, 6574.429221230163, 1475.289964178161, 3390.331033574772, 4243.559009724991, 2581.8003049670456, 4322.970061246302, 2914.397168556696, 5203.104794885446, 3070.933352198012, 4367.225131085391, 2752.10659065179, 4721.181659125606, 2500.822824212761, 6387.315495299006, 9692.92635812463, 1970.7309514353585, 8417.251924441818, 1153.259862679838, 3717.133960083936, 2981.464047953266, 4488.494506139471, 3208.487933457368, 4091.011689602156, 3374.946415415326]",4034.402,1958.875
./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,0.2,RF[md15],"[3050.9750413797506, 4335.46369559474, 6444.715121155183, 1713.5674843952906, 1476.162571211135, 8032.566086478711, 2623.73955222604, 6390.848478921588, 2831.2912092998304, 4665.667579493164, 1607.6450961524586, 5386.384222783117, 1556.0456041732077, 7090.096309715759, 3041.3992709512113, 4140.630633354017, 3802.265424431861, 4569.401474985369, 5844.540234926227, 1783.5652307353273, 8014.584810336484, 1152.917849149005, 2834.3281123351744, 4939.462166249838, 2349.5958686515946, 5265.5504019924465, 3838.204008378276, 3514.6383255479864, 3655.45985608295, 3438.66214057417, 2772.3355642727697, 4073.400772544806, 2993.6046319669713, 4940.320584359963, 1826.0996336507208, 7668.240535081857, 3900.9945082735426, 3250.3508415153638, 7567.676246118284, 1603.5988385486926, 4357.728681077403, 3099.5692350173467, 3981.032461280641, 4139.0856835178865, 1591.5922935410906, 5641.219153970568, 7156.160522112438, 2098.488253323387, 4495.696665013555, 2850.843766442141, 5882.32590068789, 1952.52287289955, 4450.209482277127, 3200.023575642399, 6742.257730301105, 1927.6817799462356, 1924.18805199412, 6861.056987520894, 3289.4622904547664, 4193.161472238557, 3170.112698348084, 4776.522010844681, 8759.829532730313, 572.9331151204739, 3621.434528387511, 3110.756709044566, 2287.161705372537, 6445.789268933934, 2567.65244255054, 5447.269507572093, 1517.303613283979, 7069.481448412137, 2971.38329901567, 4402.0303141054765, 2042.9670747466669, 7255.086404335921, 6574.42922123016, 1475.2899641781619, 3390.3310335747688, 4243.5590097249915, 2581.800304967046, 4322.970061246302, 2914.397168556698, 5203.104794885443, 3070.933352198011, 4367.225131085393, 2752.106590651791, 4721.181659125604, 2500.82282421276, 6387.3154952990035, 9692.92635812463, 1970.730951435358, 8417.251924441814, 1153.259862679837, 3717.1339600839365, 2981.4640479532663, 4488.494506139469, 3208.4879334573698, 4091.011689602155, 3374.9464154153243]",4034.402,1958.875
./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,0.2,RF[md20],"[3050.97504137975, 4335.463695594738, 6444.7151211551845, 1713.5674843952902, 1476.1625712111347, 8032.5660864787105, 2623.739552226042, 6390.848478921588, 2831.291209299832, 4665.667579493168, 1607.6450961524579, 5386.38422278312, 1556.045604173207, 7090.096309715753, 3041.399270951211, 4140.630633354016, 3802.2654244318614, 4569.40147498537, 5844.540234926225, 1783.565230735326, 8014.584810336483, 1152.9178491490045, 2834.3281123351753, 4939.462166249837, 2349.595868651595, 5265.550401992451, 3838.2040083782795, 3514.6383255479864, 3655.4598560829504, 3438.6621405741707, 2772.3355642727697, 4073.400772544805, 2993.604631966968, 4940.320584359961, 1826.0996336507203, 7668.240535081854, 3900.994508273545, 3250.3508415153638, 7567.676246118285, 1603.5988385486924, 4357.7286810774, 3099.569235017347, 3981.0324612806376, 4139.085683517887, 1591.592293541091, 5641.219153970569, 7156.16052211244, 2098.4882533233863, 4495.696665013554, 2850.843766442142, 5882.32590068789, 1952.522872899549, 4450.20948227713, 3200.0235756423963, 6742.257730301107, 1927.6817799462356, 1924.18805199412, 6861.056987520899, 3289.462290454766, 4193.16147223856, 3170.112698348084, 4776.522010844679, 8759.829532730313, 572.9331151204735, 3621.4345283875095, 3110.756709044567, 2287.161705372537, 6445.789268933934, 2567.6524425505404, 5447.26950757209, 1517.3036132839807, 7069.481448412136, 2971.3832990156693, 4402.030314105477, 2042.9670747466675, 7255.086404335921, 6574.429221230157, 1475.2899641781603, 3390.3310335747688, 4243.5590097249915, 2581.800304967044, 4322.970061246301, 2914.397168556697, 5203.104794885443, 3070.93335219801, 4367.225131085392, 2752.106590651792, 4721.181659125605, 2500.8228242127607, 6387.315495299006, 9692.926358124636, 1970.7309514353599, 8417.251924441818, 1153.2598626798379, 3717.133960083936, 2981.4640479532663, 4488.494506139469, 3208.4879334573684, 4091.011689602155, 3374.9464154153256]",4034.402,1958.875
./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,0.2,RF[md25],"[3050.9750413797537, 4335.463695594739, 6444.715121155179, 1713.5674843952902, 1476.1625712111359, 8032.566086478707, 2623.7395522260395, 6390.8484789215845, 2831.2912092998345, 4665.667579493163, 1607.6450961524579, 5386.384222783119, 1556.0456041732084, 7090.096309715753, 3041.399270951211, 4140.630633354015, 3802.2654244318614, 4569.401474985369, 5844.540234926227, 1783.5652307353264, 8014.584810336483, 1152.9178491490047, 2834.3281123351753, 4939.462166249836, 2349.595868651594, 5265.550401992449, 3838.2040083782795, 3514.6383255479873, 3655.459856082952, 3438.662140574168, 2772.3355642727693, 4073.4007725448055, 2993.6046319669704, 4940.320584359959, 1826.0996336507196, 7668.240535081855, 3900.9945082735458, 3250.3508415153656, 7567.676246118283, 1603.5988385486926, 4357.728681077399, 3099.5692350173463, 3981.0324612806407, 4139.085683517888, 1591.5922935410902, 5641.219153970572, 7156.160522112438, 2098.4882533233863, 4495.6966650135555, 2850.8437664421426, 5882.32590068789, 1952.522872899549, 4450.209482277129, 3200.0235756423976, 6742.257730301108, 1927.681779946236, 1924.1880519941199, 6861.0569875208985, 3289.462290454766, 4193.1614722385575, 3170.1126983480835, 4776.522010844679, 8759.829532730313, 572.933115120474, 3621.4345283875127, 3110.7567090445655, 2287.1617053725367, 6445.7892689339305, 2567.652442550539, 5447.26950757209, 1517.3036132839811, 7069.481448412133, 2971.383299015669, 4402.030314105476, 2042.9670747466666, 7255.0864043359215, 6574.429221230163, 1475.2899641781612, 3390.331033574769, 4243.55900972499, 2581.800304967045, 4322.970061246301, 2914.397168556697, 5203.104794885443, 3070.933352198011, 4367.225131085392, 2752.106590651791, 4721.181659125604, 2500.8228242127607, 6387.315495299006, 9692.926358124636, 1970.7309514353587, 8417.251924441816, 1153.2598626798374, 3717.133960083935, 2981.4640479532654, 4488.494506139473, 3208.487933457371, 4091.011689602157, 3374.9464154153247]",4034.402,1958.875
./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,0.2,RF[mss3],"[3177.9478457021855, 4378.798772149932, 6537.400928098035, 1659.346338146586, 1590.172501602928, 8045.223036700855, 2582.834560038414, 6526.201677183835, 2755.719193044218, 4630.411627582732, 1621.983275956079, 5425.844378278822, 1495.6234519850743, 7071.828558202894, 3136.2258765599577, 4233.6219843145545, 3922.1393376122087, 4601.379321066664, 5897.065681966038, 1766.2518929008781, 8286.777048228894, 1129.7454131058646, 2872.3280583798105, 5003.080766697274, 2379.6649451382377, 5397.323679901441, 3832.3802357791565, 3504.3404697874967, 3780.2359570373374, 3647.8070283891075, 2655.1833356757784, 4129.276471661618, 3158.1887950386977, 4997.063266300315, 1909.2238417224848, 7800.972147416329, 3882.7953682544317, 3482.639769449455, 7609.888839466308, 1558.626731708055, 4234.161244300409, 3196.728569630408, 3992.3478263843413, 4166.829501614195, 1663.554859640388, 5635.598896557142, 7277.640353343973, 2112.1016261074597, 4809.767769044497, 2791.2463140166506, 5903.359133680917, 2000.3573621920914, 4472.2241468077555, 3260.076492654387, 7028.333584122213, 1992.2621588491204, 1915.027097675026, 6865.6678038611735, 3277.1318970776792, 4229.64808534365, 3082.515872525515, 4801.608014151818, 9016.093608154593, 589.5929227345009, 3782.3675686786723, 3187.150482711296, 2319.426352838192, 6549.237884056902, 2603.142320919511, 5463.202411625601, 1583.3267409439056, 7095.992829514686, 2966.2203497312603, 4498.159872234359, 2085.7413499349846, 7360.537472612258, 6545.3679381764605, 1499.085201326762, 3488.5923380017616, 4250.428341033617, 2631.2589872345084, 4365.28182664688, 3017.1469497482262, 5408.373713552532, 3116.606184925656, 4420.76092187599, 2789.2637426206106, 4786.474324227383, 2507.6115917976003, 6266.887992079604, 10001.022062553264, 1982.731324446708, 8599.94129463609, 1107.1397648388795, 3852.8562646801324, 3069.2845379321643, 4496.72469619932, 3182.0679692388735, 4160.381314597166, 3473.103563671242]",4089.003,1993.471
./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,0.2,RF[mss4],"[3324.713757254892, 4549.386471085135, 6756.536218438427, 1824.0518750881313, 1695.100510958291, 8132.737769871968, 2606.842510140647, 6741.466116361932, 2885.6567686371754, 4783.3130011686535, 1704.6492800841245, 5621.39041201582, 1626.1911761681806, 7263.9754435482255, 3257.874749130594, 4342.423798961161, 3970.012929032446, 4718.553652624768, 5952.214564526792, 1848.8004496449882, 8486.353913139763, 1175.1061527341892, 2814.015299239064, 5197.254037690444, 2486.730089841338, 5593.8934985697315, 4010.6080730857675, 3640.435251508417, 3871.564933134041, 3688.8393343155913, 2815.559857361725, 4192.45870646944, 3141.5814716703903, 5099.5015944687975, 1919.0346809633877, 7877.2472309625655, 4083.0881409922945, 3566.218575464493, 7713.187254261532, 1658.8090572953045, 4451.339713052784, 3269.729830698163, 4080.6697913664307, 4296.493104105016, 1759.0674841278908, 5971.226846293866, 7512.73038376698, 2261.698088862773, 4852.435936200281, 2933.2735917547393, 6174.195975176989, 2106.1166633445755, 4517.657978933637, 3372.950368758728, 7146.388636731595, 2070.4660238562396, 1988.6014147495546, 7069.482980964968, 3464.562355742767, 4358.200028773509, 3193.6804828788886, 4904.48343815407, 9286.62660469393, 624.1835527075751, 3978.9036579505864, 3394.304661954576, 2400.625161054745, 6676.780251045392, 2765.716318510296, 5703.660860569149, 1693.0544216819233, 7272.841151495443, 3172.5090263055026, 4666.449498943001, 2147.485784189368, 7567.549064176034, 6717.43636245134, 1514.5371379465896, 3625.5600811829195, 4367.155255352898, 2731.074031647978, 4442.111296804902, 3095.415107456873, 5480.042886667507, 3304.159659202014, 4592.262553499814, 2919.1887619276836, 5003.046116237286, 2610.289467687907, 6396.541074527427, 10218.253281831316, 2034.556015677415, 8707.158334939204, 1143.8095370123394, 3911.443350209951, 3227.7761871473203, 4676.594863836782, 3279.890839206783, 4202.45189324618, 3563.2467518483754]",4215.075,2025.589
./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,0.2,RF[mss6],"[4821.756434284932, 6329.48304924923, 8932.596570341893, 3371.7338115219463, 3341.684600391202, 9689.887393696039, 4138.8509942715245, 8494.611062151997, 4170.608025915147, 6544.834636611314, 3081.186920383569, 7402.085646722524, 2556.3878344355853, 9022.06601021885, 5401.727106683665, 5883.016335384454, 5322.528519077762, 6102.057539369093, 8095.077259753806, 3044.4678217913865, 9931.22507589193, 2420.719293430373, 4397.555327333902, 7029.4597161992815, 3744.5831962827287, 7264.948085088603, 5672.103817245576, 5368.5952107412895, 5621.915517510579, 5073.899914251454, 4393.709507499414, 6060.810388173245, 4914.661641368513, 6897.189690398498, 3417.582480905681, 9360.723133907954, 5773.848102192388, 5229.747637984344, 9200.510077147623, 3296.212878176288, 6155.23341750282, 4802.918236520489, 5437.3818038641975, 5662.499028695032, 2871.588896101622, 8243.535261292343, 9170.86217584921, 3808.6221457286724, 5946.71255097903, 4883.661470587923, 8035.533108395359, 3754.1227722964027, 6371.254662989191, 4973.1820116597855, 8929.121457066694, 3273.5425673193836, 2824.2546351666138, 8664.569551840084, 5098.135135327174, 6489.73758397086, 4425.439999331222, 6943.359410516399, 10848.479750740295, 1361.7324422176162, 5536.636684038191, 5086.7144303869545, 3572.6844548846334, 8584.291086606372, 4165.5906408639075, 7348.060916842433, 2922.2700369561594, 8731.419990647431, 4729.070816731857, 6244.796588991288, 3337.9676248549117, 8905.270454440697, 8790.008617775926, 2688.069956187875, 5098.0100322879925, 5914.577682179257, 4477.667946969257, 6296.980464327586, 4546.036320546075, 7029.718222545348, 5347.142092896529, 6021.391108535148, 4739.00540779554, 6431.29503274437, 4048.2999935915223, 8103.666701306011, 11761.460921163145, 3947.5026577969547, 10614.868116643629, 1943.3592591551349, 5207.062905522223, 5188.635671140727, 6554.575418162088, 4741.465744192601, 5426.6833855560635, 5098.906357049578]",5789.733,2160.316
