dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
./preprocessed_data_mis_not_standarized\dataset_Facebook_preprocessed.csv,0.2,RF,"[124303.59557920003, 6857.843857831326, 105000.83046319998, 11602.888946586347, 120379.192912, 9332.107594779116, 5852.2076916000005, 128549.24355983936, 4994.5180439999995, 130385.21253775101, 101814.09566240002, 19876.476159036145, 100816.9943376, 16847.7056502008, 11490.7925808, 107147.26579196789, 4216.607439199999, 145276.45398232935, 9798.420404800001, 111697.08827389557, 112917.34191200003, 14271.193234939758, 8704.056145199998, 116528.78169718874, 10416.887426799998, 115645.2107248996, 12535.170409600001, 114304.07627068272, 114657.8003468, 9843.244118072289, 116548.95418000002, 12789.519388755016, 96099.96676440003, 22288.26226546185, 109040.65050080001, 15524.499630120481, 104867.9708316, 14211.96567188755, 135096.5642912, 10706.75561325301, 5091.5757136, 140221.62446947795, 97793.46719039997, 18060.566146184738, 4205.947006400001, 136941.80576184738, 12652.3508944, 108857.8190056225, 16552.640700800002, 106377.27051967874, 15119.3560224, 108603.54874859439, 11661.797904800002, 116699.49828594376, 117685.33662280002, 7732.498196787149, 22979.008684400003, 103195.4256321285, 6489.903268400001, 116011.364888755, 19407.5766252, 106967.59019477913, 14884.767694400001, 114467.56976144579, 15520.683970399998, 109408.29100963856, 105279.60072399999, 22059.055390763053, 15058.854663599997, 108791.73362811243, 17173.3057492, 102946.23129397591, 17155.139382799996, 104757.20220763053, 6411.1667216, 121026.81824819277, 11091.428770000002, 117124.07829236948, 8303.724413200001, 127135.96848473896, 111929.8234124, 11971.85530562249, 109930.6700412, 14129.096250602412, 18555.9450572, 99248.14715542166, 10926.0314248, 129107.42383052208, 107789.03577160003, 13439.250192771084, 117813.5103712, 9264.415324899595, 9326.6539556, 119051.12282610442, 131792.03089080003, 6700.57295301205, 97544.8677868, 26077.278627309242, 119081.842404, 8243.406879518072]",63530.650,51720.552
./preprocessed_data_mis_not_standarized\dataset_Facebook_preprocessed.csv,0.2,RF[200],"[121648.5883313, 7332.8051797188755, 108304.83690950001, 11334.228992670685, 120591.55215550002, 9820.833702610444, 7072.216760999999, 128347.60354708837, 6456.3762842, 129971.0372879518, 102483.36742319998, 19555.18084116466, 102031.47521220004, 17498.670860542166, 10657.4177801, 109272.63755281123, 4002.5482633, 144797.9551009036, 11526.0500415, 109556.12250682732, 111558.22565970001, 15801.893024698793, 9407.156073600001, 116902.08541465862, 10156.6596024, 116907.07932439761, 15030.7412035, 113319.8049261044, 117259.49323650003, 9756.973025602409, 115740.22398769998, 13023.429123895581, 100141.64015670001, 23919.837893473898, 109049.13814430001, 14847.015735140561, 106374.742073, 13585.110476104417, 134154.20132480003, 9005.176726104419, 5964.1929076999995, 144474.96004558232, 98200.3192508, 19751.20014618474, 4997.0677667, 136603.48407991967, 14072.947098699999, 109052.80837620482, 17352.9742497, 105712.72758303215, 14820.098101799998, 108158.7703619478, 13193.126250300002, 113246.94228875502, 120303.39256230001, 7836.119624598394, 23953.834034299998, 103353.11293323293, 6406.2783438, 117688.57615070281, 18253.3863017, 106899.1419561245, 14005.832706999998, 112992.51208463854, 18171.868844800003, 109548.59107168672, 103933.242337, 20974.84870301205, 15723.6028697, 108431.60133393573, 17755.9528601, 103606.30507841369, 18176.9924461, 104233.58026365461, 8006.15131, 122223.72644809238, 9843.2752448, 119556.1143667671, 9958.321733600002, 128958.69026757029, 113812.5532548, 13541.362725000003, 112378.45306250002, 13722.553132831325, 18359.419643600002, 99520.89823283134, 8669.370960900002, 127988.02337941766, 109659.24728070002, 13748.535072590363, 118308.4731177, 9161.226360642568, 9229.6980385, 116085.25984457831, 130628.61393980002, 6238.868224598394, 97973.04280229998, 26308.339137550203, 120642.77703250003, 8129.05518253012]",63887.046,51710.519
./preprocessed_data_mis_not_standarized\dataset_Facebook_preprocessed.csv,0.2,RF[500],"[123742.261733472, 7052.934111084338, 111485.22974737601, 10724.966258859438, 122423.611096704, 10375.860105943775, 7560.7452797119995, 129219.7071419759, 6285.320288271999, 128972.96898014458, 103900.58480563201, 19189.61017664257, 101536.98720696001, 18220.979586650603, 12152.000074175998, 109506.22761742971, 4417.703492975999, 145166.2775831968, 11935.972294448, 108050.429339743, 113153.758815776, 13433.020563148595, 8713.992564784, 117697.01088210441, 9816.107518736, 118207.84678967069, 14498.438687888, 114418.33656777507, 115954.68771115202, 9915.342146168674, 116469.702821632, 11832.86597418474, 100471.69633398399, 24245.73677714057, 111524.14575110399, 15291.233243614455, 106149.223115584, 13457.725238923695, 134935.701510784, 7575.712407951806, 5833.303858544002, 145605.26125333336, 99711.33719259201, 19966.035155598394, 3918.407562992, 135392.57185341362, 14028.609926336001, 111021.36567432927, 18518.38340672, 104374.66034308434, 13973.993020176005, 107456.06369150203, 12477.359291216, 111927.89645248192, 121088.81108755198, 7617.765939084338, 24179.368080976, 103865.50424027306, 7142.259108800001, 119969.96748334136, 17985.568339392004, 105680.29785583937, 14591.388638496, 110751.48401444177, 16962.710041663995, 106772.54311643375, 104106.29273534402, 20384.755857927714, 14819.675372288002, 109608.4154570442, 18690.925762928, 102416.05909122895, 17882.396713328, 104123.15911291564, 7787.8272172960005, 122573.3199327711, 9768.854067743998, 120629.01087738152, 9587.714013456001, 129621.51646713253, 112387.76789225599, 13130.99998075502, 112108.87986339202, 15312.231230746986, 18336.962824783997, 101673.23914975101, 9620.008635200002, 127401.70195722088, 110504.59372232, 13596.667731823294, 117560.518022304, 10149.688146602412, 9722.551718495999, 115121.70131424902, 128276.359203872, 6847.984205445783, 98308.50273648, 25118.26713484338, 118002.770471712, 9367.344553092371]",63950.442,51808.803
./preprocessed_data_mis_not_standarized\dataset_Facebook_preprocessed.csv,0.2,RF[md10],"[124303.59557920003, 6800.462626241521, 104717.83261487825, 11540.273717481035, 120330.65528465554, 8953.110305674143, 5755.580145930667, 128303.09502650602, 4993.972949977778, 130853.84108654132, 101308.1004014249, 20279.33850838911, 101043.16642431113, 16926.28995509538, 11485.451310288887, 106897.84155957159, 4312.263964373334, 145276.45398232935, 9790.275680324747, 111435.96222685181, 113223.76854467503, 14343.712699877286, 8943.942584826777, 116357.72407269463, 10308.699660655555, 115634.18883950246, 12356.132344611111, 113998.22398721552, 114703.1421839889, 9788.299160505914, 116282.2251118, 12755.90984540384, 95404.86167694442, 22239.538261091475, 109991.49477883331, 15500.204943577088, 105368.525394, 14338.347161769298, 136138.42536472226, 10793.433502476571, 5133.426045835555, 140256.69861566267, 97502.77049057778, 18225.377621697902, 4092.469055216, 136251.1262872044, 12531.205703475, 108990.99833601796, 16413.896675225, 106332.93024101965, 14901.277989925, 107792.8633030734, 11662.556402078444, 117214.0553255327, 118016.28996050003, 7693.4045496957815, 23059.67452598889, 102976.9074475243, 6486.820790566666, 115958.54005248494, 19433.077695555996, 106555.39052918061, 14970.90823701111, 114484.53361266175, 15505.590186300677, 109043.86814988288, 105012.47531438801, 22090.49729945337, 15024.22514371111, 108703.9599696787, 17035.605388625776, 103197.32674376974, 17646.542135232554, 103558.81900547248, 6518.219867297223, 121478.45326020748, 10861.073447566665, 117124.07829236948, 8336.323185700001, 127786.66540712534, 111752.97445702222, 11957.02201650491, 110278.96990193611, 14132.228909059573, 18168.683105177777, 99271.92794663097, 11070.655861816222, 128771.70070948236, 107964.17150422222, 13356.200173661311, 117685.81400485577, 9303.388038554218, 9515.24351761389, 119105.05371769304, 130584.23068742502, 6638.694848962518, 96995.81556648611, 26355.64219782185, 119846.0576025278, 8053.818402342704]",63504.476,51707.101
./preprocessed_data_mis_not_standarized\dataset_Facebook_preprocessed.csv,0.2,RF[md15],"[124303.59557920003, 6857.843857831326, 105000.83046319998, 11602.888946586347, 120379.192912, 9332.107594779116, 5852.2076916000005, 128549.24355983936, 4994.5180439999995, 130385.21253775101, 101814.09566240002, 19876.476159036145, 100816.9943376, 16847.7056502008, 11490.7925808, 107147.26579196789, 4216.607439199999, 145276.45398232935, 9798.420404800001, 111697.08827389557, 112917.34191200003, 14271.193234939758, 8704.056145199998, 116528.78169718874, 10416.887426799998, 115645.2107248996, 12535.170409600001, 114304.07627068272, 114657.8003468, 9843.244118072289, 116548.95418000002, 12789.519388755016, 96099.96676440003, 22288.26226546185, 109040.65050080001, 15524.499630120481, 104867.9708316, 14211.96567188755, 135096.5642912, 10706.75561325301, 5091.5757136, 140221.62446947795, 97793.46719039997, 18060.566146184738, 4205.947006400001, 136941.80576184738, 12652.3508944, 108857.8190056225, 16552.640700800002, 106377.27051967874, 15119.3560224, 108603.54874859439, 11661.797904800002, 116699.49828594376, 117685.33662280002, 7732.498196787149, 22979.008684400003, 103195.4256321285, 6489.903268400001, 116011.364888755, 19407.5766252, 106967.59019477913, 14884.767694400001, 114467.56976144579, 15520.683970399998, 109408.29100963856, 105279.60072399999, 22059.055390763053, 15058.854663599997, 108791.73362811243, 17173.3057492, 102946.23129397591, 17155.139382799996, 104757.20220763053, 6411.1667216, 121026.81824819277, 11091.428770000002, 117124.07829236948, 8303.724413200001, 127135.96848473896, 111929.8234124, 11971.85530562249, 109930.6700412, 14129.096250602412, 18555.9450572, 99248.14715542166, 10926.0314248, 129107.42383052208, 107789.03577160003, 13439.250192771084, 117813.5103712, 9264.415324899595, 9326.6539556, 119051.12282610442, 131792.03089080003, 6700.57295301205, 97544.8677868, 26077.278627309242, 119081.842404, 8243.406879518072]",63530.650,51720.552
./preprocessed_data_mis_not_standarized\dataset_Facebook_preprocessed.csv,0.2,RF[md20],"[124303.59557920003, 6857.843857831326, 105000.83046319998, 11602.888946586347, 120379.192912, 9332.107594779116, 5852.2076916000005, 128549.24355983936, 4994.5180439999995, 130385.21253775101, 101814.09566240002, 19876.476159036145, 100816.9943376, 16847.7056502008, 11490.7925808, 107147.26579196789, 4216.607439199999, 145276.45398232935, 9798.420404800001, 111697.08827389557, 112917.34191200003, 14271.193234939758, 8704.056145199998, 116528.78169718874, 10416.887426799998, 115645.2107248996, 12535.170409600001, 114304.07627068272, 114657.8003468, 9843.244118072289, 116548.95418000002, 12789.519388755016, 96099.96676440003, 22288.26226546185, 109040.65050080001, 15524.499630120481, 104867.9708316, 14211.96567188755, 135096.5642912, 10706.75561325301, 5091.5757136, 140221.62446947795, 97793.46719039997, 18060.566146184738, 4205.947006400001, 136941.80576184738, 12652.3508944, 108857.8190056225, 16552.640700800002, 106377.27051967874, 15119.3560224, 108603.54874859439, 11661.797904800002, 116699.49828594376, 117685.33662280002, 7732.498196787149, 22979.008684400003, 103195.4256321285, 6489.903268400001, 116011.364888755, 19407.5766252, 106967.59019477913, 14884.767694400001, 114467.56976144579, 15520.683970399998, 109408.29100963856, 105279.60072399999, 22059.055390763053, 15058.854663599997, 108791.73362811243, 17173.3057492, 102946.23129397591, 17155.139382799996, 104757.20220763053, 6411.1667216, 121026.81824819277, 11091.428770000002, 117124.07829236948, 8303.724413200001, 127135.96848473896, 111929.8234124, 11971.85530562249, 109930.6700412, 14129.096250602412, 18555.9450572, 99248.14715542166, 10926.0314248, 129107.42383052208, 107789.03577160003, 13439.250192771084, 117813.5103712, 9264.415324899595, 9326.6539556, 119051.12282610442, 131792.03089080003, 6700.57295301205, 97544.8677868, 26077.278627309242, 119081.842404, 8243.406879518072]",63530.650,51720.552
./preprocessed_data_mis_not_standarized\dataset_Facebook_preprocessed.csv,0.2,RF[md25],"[124303.59557920003, 6857.843857831326, 105000.83046319998, 11602.888946586347, 120379.192912, 9332.107594779116, 5852.2076916000005, 128549.24355983936, 4994.5180439999995, 130385.21253775101, 101814.09566240002, 19876.476159036145, 100816.9943376, 16847.7056502008, 11490.7925808, 107147.26579196789, 4216.607439199999, 145276.45398232935, 9798.420404800001, 111697.08827389557, 112917.34191200003, 14271.193234939758, 8704.056145199998, 116528.78169718874, 10416.887426799998, 115645.2107248996, 12535.170409600001, 114304.07627068272, 114657.8003468, 9843.244118072289, 116548.95418000002, 12789.519388755016, 96099.96676440003, 22288.26226546185, 109040.65050080001, 15524.499630120481, 104867.9708316, 14211.96567188755, 135096.5642912, 10706.75561325301, 5091.5757136, 140221.62446947795, 97793.46719039997, 18060.566146184738, 4205.947006400001, 136941.80576184738, 12652.3508944, 108857.8190056225, 16552.640700800002, 106377.27051967874, 15119.3560224, 108603.54874859439, 11661.797904800002, 116699.49828594376, 117685.33662280002, 7732.498196787149, 22979.008684400003, 103195.4256321285, 6489.903268400001, 116011.364888755, 19407.5766252, 106967.59019477913, 14884.767694400001, 114467.56976144579, 15520.683970399998, 109408.29100963856, 105279.60072399999, 22059.055390763053, 15058.854663599997, 108791.73362811243, 17173.3057492, 102946.23129397591, 17155.139382799996, 104757.20220763053, 6411.1667216, 121026.81824819277, 11091.428770000002, 117124.07829236948, 8303.724413200001, 127135.96848473896, 111929.8234124, 11971.85530562249, 109930.6700412, 14129.096250602412, 18555.9450572, 99248.14715542166, 10926.0314248, 129107.42383052208, 107789.03577160003, 13439.250192771084, 117813.5103712, 9264.415324899595, 9326.6539556, 119051.12282610442, 131792.03089080003, 6700.57295301205, 97544.8677868, 26077.278627309242, 119081.842404, 8243.406879518072]",63530.650,51720.552
./preprocessed_data_mis_not_standarized\dataset_Facebook_preprocessed.csv,0.2,RF[mss3],"[128194.03326033967, 7185.97567916209, 105898.1208176061, 11918.310833955933, 123346.26567178413, 9428.699659903505, 5855.411785311889, 127486.12022800645, 5448.416035720556, 133245.8343966806, 101850.40264844224, 19488.003174359434, 99947.72790292036, 17177.792771627846, 11963.516322152775, 110214.84778214702, 4402.917255000001, 146679.0121852664, 10258.534999950998, 112204.72008868975, 114792.12091402557, 13780.253651386322, 8884.999648716, 119824.48876556872, 10556.995357119888, 115769.46941391737, 12977.52755285389, 114864.91972704318, 116462.32949158413, 10282.807761232598, 117883.69533710346, 12490.012186102746, 96485.59249627679, 22717.59894353581, 110389.46979084508, 15930.498359222445, 108403.18557527359, 13585.871442902055, 136031.4034107292, 10585.113974520193, 5382.155252696887, 141058.82965034293, 98009.08433826167, 18621.233909418675, 3968.5900260644444, 138140.51998920873, 13123.92593118611, 108529.46386358725, 16213.228968147218, 106251.28547741944, 14758.874193159558, 107389.46975864634, 11765.844404941667, 118956.91614605112, 116179.19417053644, 7562.064617986391, 23780.67411684, 102241.82806812019, 6120.787546211002, 117747.6225595897, 19361.636374844667, 106822.72215601067, 14225.093036656885, 115748.23910534235, 15638.348634022772, 111060.04282433991, 105581.64330613242, 22859.588644823187, 14885.07519824433, 108216.75552997793, 17062.440958681003, 105309.72217691601, 16739.110032233337, 104451.53611142618, 6769.650103972222, 123242.68539467873, 11670.763073641001, 119319.38856870333, 7827.166970100668, 132207.9608990319, 112951.83418025177, 12871.27414821765, 111404.9076885228, 14716.486829742416, 18063.091900687996, 100758.28685546968, 11342.126188188888, 130349.54347866453, 107791.91527934976, 13069.831195205155, 118937.11501146467, 9573.072114477354, 9279.689150861113, 120331.45330418932, 134139.59129098232, 6760.164761281237, 99918.4395979, 26921.927743509932, 119171.27867482847, 7489.510990427377]",64155.357,52290.906
./preprocessed_data_mis_not_standarized\dataset_Facebook_preprocessed.csv,0.2,RF[mss4],"[127456.45721995023, 7435.851639563144, 106201.08461492235, 12670.46064184536, 124109.09919410742, 9432.289379201804, 5809.320599943444, 129608.52975037761, 5327.119003554335, 132414.43248429027, 103429.02458307492, 20091.360266244752, 102582.81257682129, 17788.36833052258, 11883.183505856998, 109888.7949074295, 4235.975010558557, 146744.0626273638, 10763.512979467772, 113746.9642106882, 115543.68356469682, 14063.795554225126, 9214.387671405111, 120967.23754888796, 10890.819120316772, 116664.36008806046, 12773.757861579556, 119725.42117820305, 120377.92599712336, 10199.967178252005, 119496.32584296179, 12983.004165522092, 97087.94866971232, 24438.162541332895, 113401.73224982225, 16801.73105062482, 108399.5149280052, 13923.68233269, 139096.56487109233, 10480.591873867024, 5606.800379343109, 140794.8467507091, 98987.21475536769, 18620.862079484716, 3726.456581897887, 138421.16670753673, 13306.558865313884, 110265.871600112, 17019.664309299886, 106996.78962155386, 14395.196724735108, 109077.91131358339, 11750.67319595756, 119531.87635664166, 120135.80698200643, 7765.324051664663, 24837.62090467511, 102955.70721781011, 6183.992627847668, 119987.4520116051, 21192.458416577556, 108098.5037855829, 15239.925189139332, 116649.74488499328, 16120.949436686225, 111566.81846702112, 107510.57428562341, 23020.36357233573, 15137.768242049777, 109230.42077147988, 17681.60296802244, 105600.34328831991, 17432.851607823774, 107782.13284788428, 6588.065740537999, 124869.34677838585, 11423.894515635224, 120499.11236171606, 8278.844512199332, 131938.47041200142, 116278.04390714067, 12396.283329329317, 112295.85123956481, 14724.616027839584, 19084.00547578811, 102601.45704450592, 11164.584520831779, 132835.90856840473, 108820.88306687726, 13725.502370464079, 120599.38699546002, 9430.633693992751, 9544.313260628005, 120828.02817779656, 135226.97426804536, 6435.616366385652, 100162.40732975578, 26725.54678065919, 118615.15630499349, 8319.254065995541]",64941.938,52771.021
./preprocessed_data_mis_not_standarized\dataset_Facebook_preprocessed.csv,0.2,RF[mss6],"[131582.0250765445, 7982.326699141879, 107168.65314315558, 14033.853190618825, 128030.39235952389, 9840.770727364665, 6187.034535246474, 134607.77151294236, 5421.552863331266, 138249.41452092308, 105784.14969673484, 21463.522185416812, 103702.2037162053, 18065.406399913103, 12651.500847751531, 115024.94400556125, 4151.117631751972, 150813.25315154393, 11639.124687743728, 116326.35542852417, 117177.27672238128, 15494.85150320483, 9752.036339582639, 125825.411060185, 11563.08721104458, 121570.46550172855, 14164.089954749194, 122142.8428298344, 124034.4011649218, 10754.136815379403, 122406.50264500268, 13308.77599568901, 98950.88921991279, 25943.193831866458, 118402.49196927487, 16392.167754103586, 110394.63274579473, 14709.61768599245, 142589.6474591498, 10786.086638124683, 6000.001778433483, 142560.3613950928, 100244.84412258965, 20894.70236802556, 4272.29970560221, 140800.42734256832, 14313.062321355796, 113247.87170947963, 18461.46926855124, 110057.75440284208, 16779.62476124713, 112742.29340214269, 12883.036482061636, 120371.064858309, 123253.55382743642, 8441.30056471578, 25433.984148754367, 108375.39033928988, 6814.6797174560015, 122674.80643185187, 21872.70085934432, 114119.87100582017, 16151.02265537804, 119374.21671415553, 18042.151212006866, 114241.2596177303, 109252.89258217554, 24006.422769531273, 16534.156006367706, 111538.62365554596, 18606.31384772035, 108624.05306232501, 17583.011135561253, 110245.25399299187, 7412.395507276801, 131421.6117877898, 12074.544179033399, 123188.07112652894, 8524.296873297291, 133730.03513796785, 118968.92881776391, 13069.99642138686, 114891.05255956811, 15818.966320907426, 20184.809716153286, 105013.83283531388, 11427.502460572998, 136434.7424103548, 110193.41936956049, 14745.747743168311, 122777.63186432084, 10044.351675853906, 10239.33677173996, 125718.74034610465, 139977.60769545077, 6857.209358665318, 101012.33821160524, 30294.010494453563, 122107.23237687149, 8972.84853613226]",66930.037,53961.315
