dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
./preprocessed_data_mis_not_standarized\forestfires_preprocessed.csv,0.2,RF,"[2.00529366630669, 2.1246848869637542, 2.0469512521206346, 2.0474764388685363, 1.9958478182136101, 2.1277046644601127, 2.0909511839345205, 2.0034264002885234, 2.3097824786112775, 1.8218544758521091, 1.733586116499978, 2.5336253668459916, 2.061782819537157, 2.104476827735514, 1.7722363869148292, 2.32462320985042, 2.251632873019767, 1.967529704872827, 2.125508548190646, 1.9584651513731153, 2.068937282164296, 2.130860805074195, 2.2898977470913926, 1.9258841895693934, 1.950817826230603, 2.0662165812341775, 2.2132715691532416, 1.924236492282814, 2.0630324712320607, 2.256299415659946, 2.1785746248994395, 2.0306573345831245, 2.2015947654866195, 2.1150073926804858, 1.8442916610043554, 2.1858766217445273, 2.1224633522610654, 2.013889473626086, 2.149100349902023, 1.9843402338816327, 1.9679231550394884, 2.1314366673812692, 2.0402143936130246, 2.1332940910065177, 1.9943243788285545, 2.2851503088747265, 2.025141369184448, 2.142778244010125, 2.053908941060416, 2.247897064798436, 1.898096301363519, 2.1569974047953693, 2.004385542758986, 2.142014744179599, 1.8681487035287885, 2.2489932870635583, 2.092759247740379, 1.9699816373811179, 1.974615704337841, 2.0533965273337165, 2.149146454935102, 1.96022292297895, 2.1679940367714265, 1.865977019187055, 2.174963033473348, 2.0324101492160045, 2.147463264212101, 2.102537628013188, 2.0567133609390327, 2.0688616328413065, 2.015913489521865, 2.078370694278811, 2.3787019747938705, 1.9607894144698195, 2.1171352391590115, 2.1298774126859996, 2.211526169307817, 2.048984363627884, 2.094383513873813, 1.8788954507569486, 2.1608058211995025, 2.1421434013404, 2.156971596712138, 1.9847947232592165, 1.9513587166143525, 2.2672471941022563, 2.1349839569212556, 2.0057124030800706, 1.887613990836721, 2.10116575431083, 1.9614223587246986, 2.1107720408930284, 2.0621757153522613, 1.9427607233611193, 2.0518481813952376, 2.1417827724017604, 2.023183696001487, 2.077720240475637, 2.342766385024759, 1.869803131382517]",2.076,0.132
./preprocessed_data_mis_not_standarized\forestfires_preprocessed.csv,0.2,RF[200],"[1.996139059418241, 2.1361267477910557, 2.030649891841057, 2.056193557794802, 1.994444258802371, 2.175890728307378, 2.0958196085445313, 2.0132992233302587, 2.2718212596463787, 1.8258897934886482, 1.7318667858839962, 2.535844676136979, 2.0730631066060026, 2.120029132346384, 1.7759251174583477, 2.331521175108855, 2.219066131947293, 1.9163901633941702, 2.116565029724579, 1.9466362173869554, 2.061438886619426, 2.123834821578756, 2.3343109783383786, 1.920915887692047, 1.9356396352701513, 2.081322048204762, 2.214366728385731, 1.9033761173118555, 2.0436321637709933, 2.2384859168398297, 2.1785825927730857, 2.033202361738776, 2.1759036179510782, 2.0959544558537875, 1.8335838961901487, 2.227358199741093, 2.119135774708211, 1.9730289677689539, 2.1356816584686698, 1.9823877406423853, 1.9668112360616756, 2.1180631946273647, 2.0583892109764417, 2.1283417106056204, 1.9819590386465962, 2.2848235664911605, 2.002465121370501, 2.1596600594913076, 2.0409503891158076, 2.210035423944137, 1.9051626397918942, 2.14908920456897, 2.00637569395074, 2.1513619996243927, 1.820188883522443, 2.2436977689843376, 2.1089775692456456, 1.9799578680281287, 2.017309316886808, 2.0388529543950438, 2.140536757660262, 1.9825881708094348, 2.1815017975026247, 1.8423994540813866, 2.1865053871022657, 2.021133307528882, 2.1290156427030835, 2.0936868348874915, 2.0693100745971305, 2.0303268241015493, 1.9939963985344944, 2.0796022521531614, 2.3726858209865127, 1.9307461300323692, 2.1055429976396884, 2.090240086688019, 2.1712773336193987, 2.096670502959703, 2.072777855583748, 1.8897917154494985, 2.143562624396167, 2.121066131705204, 2.152898170082434, 1.9647125263255045, 1.9353649037492593, 2.259447720205422, 2.119676485904324, 1.9629176714197158, 1.885873556012861, 2.0805597466606303, 1.9299176627415466, 2.1022436743565094, 2.0429194180202734, 1.9194528955975227, 2.0628635561982103, 2.1798046893206333, 1.9849321031176492, 2.0400327202306894, 2.3281280608921864, 1.848432547151964]",2.069,0.135
./preprocessed_data_mis_not_standarized\forestfires_preprocessed.csv,0.2,RF[500],"[2.0129646935622136, 2.123687885163961, 2.017431683786192, 2.066524398147887, 1.9996479868140127, 2.1613299508638235, 2.102941381545782, 2.004971376502556, 2.265202655765791, 1.8481992665698876, 1.74344933849666, 2.53202023631796, 2.032093063319642, 2.1104493901292347, 1.76512030260928, 2.31450403209144, 2.2199459981484733, 1.9200507860029672, 2.108356946957825, 1.969643226351518, 2.0771383586231558, 2.101114936018966, 2.3357140408720714, 1.940333655818939, 1.936817322430907, 2.100635210021551, 2.188041268519606, 1.9097761167781373, 2.0362603797258885, 2.227469702547216, 2.1618180250901555, 2.0153068211380085, 2.174600284801859, 2.0645266425688233, 1.830740225642311, 2.2511865265019777, 2.133843581693572, 1.9817900817467877, 2.126551983202482, 1.9758714739655412, 1.9492236319002985, 2.1331660993431143, 2.0513866813998516, 2.1060952440161387, 1.9661658725437325, 2.282078248583363, 1.9725462540930012, 2.1449607303393625, 2.0596651245606297, 2.176984555786563, 1.889459302790339, 2.1666887223818465, 1.9998037669384026, 2.133187030550825, 1.8059885049334372, 2.2466384717457015, 2.120801046343203, 2.003659307748282, 2.017162000788057, 2.050947389404055, 2.1368949343773167, 1.9615809898347323, 2.1911026586038553, 1.8399670200340834, 2.1506037662465847, 2.0207639007161036, 2.1019491804192105, 2.088685945323264, 2.0689726351252413, 2.0530414987211927, 1.999207992403167, 2.0584722717724717, 2.397576481542503, 1.9252550199977, 2.1110481463320117, 2.0631908430208004, 2.1380619209080187, 2.1069931336424843, 2.1038199246506903, 1.8703950060417989, 2.1340398444370656, 2.1287860829382925, 2.170587828638184, 1.9730481585620667, 1.888553645936369, 2.241428412070209, 2.1324089328023903, 1.9614175338445712, 1.8947020486569857, 2.069666106916652, 1.9338798167530535, 2.1099810888877952, 2.054936681661284, 1.9276102473348327, 2.0516124165541174, 2.1854415611731337, 1.9829205666764316, 2.0480350244995043, 2.3014327228967386, 1.8522687476585695]",2.066,0.134
./preprocessed_data_mis_not_standarized\forestfires_preprocessed.csv,0.2,RF[md10],"[1.99297747392035, 2.120994593285748, 2.0541530386177307, 2.052119504183553, 2.00670237895096, 2.1272350209609776, 2.0897760225301174, 2.002204114530368, 2.3028624158145634, 1.8208235069229832, 1.7411483753042594, 2.5399021534769877, 2.0756576848392085, 2.10043629944727, 1.7827541504845292, 2.322014445291674, 2.254086969810181, 1.9658818705048922, 2.120474242111584, 1.9564941095746229, 2.069975415839354, 2.128427277061928, 2.2920813354794, 1.9283924286692509, 1.9443575432479463, 2.0654764019574254, 2.2130938811834735, 1.9297299822491691, 2.0582834457765093, 2.251411462424665, 2.168459580290391, 2.0329277479163483, 2.207046188279283, 2.1070190204196426, 1.8441591569579747, 2.1897490988179342, 2.1203135406513107, 2.0172765035487785, 2.1494392060668175, 1.986493845172221, 1.97276888439114, 2.129011739325999, 2.0347451168193196, 2.144277499400466, 1.9948860397297232, 2.2978174857846807, 2.0280454807761945, 2.1407664019981762, 2.049125313149559, 2.248433735514137, 1.895693183582598, 2.1489464029421175, 2.0091174629584954, 2.1369318370916033, 1.8852643415442745, 2.245002162207527, 2.0976779140564714, 1.9756282599967139, 1.9791156712208597, 2.062639597700965, 2.1598294377083804, 1.9643714627053983, 2.166732425541121, 1.8626700838435395, 2.1645572425691912, 2.044827443779009, 2.1323594284205294, 2.096137753375466, 2.0539246661323793, 2.0676233877442294, 2.0109597109384185, 2.0751481530270626, 2.37257568150522, 1.954801239374316, 2.112662239223461, 2.1430994830302383, 2.2169384026720915, 2.0417718024336504, 2.0934147241081438, 1.8808958932439392, 2.158517525141973, 2.1410072756744425, 2.164407267763614, 1.988748293444275, 1.942176611953182, 2.2699019402258447, 2.132621637903774, 2.013707338719381, 1.885101364094782, 2.095835149333698, 1.9532651208504666, 2.129576025225557, 2.065002476421792, 1.9593995861590636, 2.0539059608360284, 2.1473506346507047, 2.0234165906430928, 2.0758958585851546, 2.3351603011427207, 1.8720869894198957]",2.076,0.131
./preprocessed_data_mis_not_standarized\forestfires_preprocessed.csv,0.2,RF[md15],"[2.00529366630669, 2.1246848869637542, 2.046808039823585, 2.0474764388685367, 1.9958478182136101, 2.1291033072940038, 2.0909511839345205, 2.0034264002885234, 2.3097824786112775, 1.8218645534289317, 1.733586116499978, 2.5336253668459916, 2.0605681115581427, 2.1043845018309657, 1.7722363869148294, 2.32462320985042, 2.2520463529353356, 1.9648939693177587, 2.125508548190646, 1.958319782937847, 2.068937282164296, 2.130860805074195, 2.289897747091392, 1.9258773544440815, 1.950817826230603, 2.0662165812341775, 2.2132191273016852, 1.9256464303764087, 2.0630324712320607, 2.256299415659946, 2.1785746248994395, 2.0306573345831245, 2.2015947654866195, 2.115007392680486, 1.8442916610043552, 2.1858766217445273, 2.1222210327972975, 2.0138894736260866, 2.148099659260755, 1.984340233881633, 1.9679231550394884, 2.1314366673812692, 2.0407562093889666, 2.1332940910065172, 1.994324378828554, 2.2860330174494576, 2.025141369184448, 2.142778244010125, 2.053567469841621, 2.247897064798436, 1.8980963013635193, 2.156765531608669, 2.004385542758986, 2.14191530171131, 1.8681487035287885, 2.2489932870635583, 2.092759247740379, 1.9703392343601551, 1.974615704337841, 2.053670808278947, 2.149146454935102, 1.9602229229789503, 2.1679940367714265, 1.863204741850966, 2.1753174180603883, 2.0324101492160045, 2.147463264212101, 2.1025281341425455, 2.056659713166025, 2.069949832079681, 2.015913489521865, 2.078370694278811, 2.3789122391928172, 1.9607894144698195, 2.1166936954270166, 2.1298774126859996, 2.211526169307817, 2.048984363627884, 2.094383513873813, 1.8788954507569486, 2.1608058211995025, 2.142454171100522, 2.156971596712138, 1.9847947232592165, 1.951358716614353, 2.2686745456671, 2.1349839569212556, 2.0057124030800706, 1.8899992988333527, 2.1011657543108306, 1.9614223587246986, 2.110538091438003, 2.0621889818187045, 1.9415401197656497, 2.0518481813952376, 2.140411754079823, 2.0232582236358168, 2.077720240475637, 2.342766385024759, 1.869803131382517]",2.076,0.132
./preprocessed_data_mis_not_standarized\forestfires_preprocessed.csv,0.2,RF[md20],"[2.00529366630669, 2.1246848869637542, 2.0469512521206346, 2.0474764388685363, 1.9958478182136101, 2.1277046644601127, 2.0909511839345205, 2.0034264002885234, 2.3097824786112775, 1.8218544758521091, 1.733586116499978, 2.5336253668459916, 2.061782819537157, 2.104476827735514, 1.7722363869148292, 2.3246232098504205, 2.251632873019767, 1.967529704872827, 2.125508548190646, 1.9584651513731153, 2.0689372821642955, 2.130860805074195, 2.2898977470913926, 1.9258841895693932, 1.9508178262306028, 2.0662165812341775, 2.2132715691532416, 1.924236492282814, 2.0630324712320607, 2.2562994156599454, 2.1785746248994395, 2.0306573345831245, 2.2015947654866195, 2.115007392680486, 1.8442916610043552, 2.1858766217445273, 2.1224633522610654, 2.013889473626086, 2.1491003499020236, 1.984340233881633, 1.9679231550394882, 2.1314366673812692, 2.0402143936130246, 2.1332940910065177, 1.994324378828554, 2.2851503088747265, 2.0251413691844484, 2.142778244010125, 2.053908941060416, 2.247897064798436, 1.8980963013635193, 2.1569974047953693, 2.004385542758986, 2.1420147441795985, 1.8681487035287885, 2.2489932870635583, 2.092759247740379, 1.969981637381118, 1.9746157043378414, 2.0533965273337165, 2.149146454935102, 1.96022292297895, 2.1679940367714265, 1.8659770191870548, 2.174963033473348, 2.0324101492160045, 2.147463264212101, 2.102537628013188, 2.0567133609390327, 2.0688616328413065, 2.015913489521865, 2.078370694278811, 2.378701974793871, 1.9607894144698195, 2.117135239159012, 2.1298774126859996, 2.211526169307817, 2.048984363627884, 2.094383513873813, 1.8788954507569486, 2.1608058211995025, 2.1421434013404, 2.1569715967121383, 1.9847947232592165, 1.951358716614353, 2.2672471941022567, 2.1349839569212556, 2.0057124030800706, 1.8876139908367209, 2.10116575431083, 1.9614223587246984, 2.1107720408930284, 2.0621757153522613, 1.9427607233611193, 2.0518481813952376, 2.1417827724017604, 2.023183696001487, 2.077720240475637, 2.3427663850247584, 1.869803131382517]",2.076,0.132
./preprocessed_data_mis_not_standarized\forestfires_preprocessed.csv,0.2,RF[md25],"[2.00529366630669, 2.1246848869637542, 2.0469512521206346, 2.0474764388685367, 1.9958478182136101, 2.1277046644601127, 2.0909511839345205, 2.0034264002885234, 2.3097824786112775, 1.8218544758521091, 1.733586116499978, 2.5336253668459916, 2.061782819537157, 2.1044768277355135, 1.7722363869148292, 2.3246232098504205, 2.251632873019767, 1.967529704872827, 2.125508548190646, 1.9584651513731153, 2.0689372821642955, 2.1308608050741955, 2.2898977470913926, 1.9258841895693934, 1.9508178262306028, 2.0662165812341775, 2.2132715691532416, 1.924236492282814, 2.0630324712320607, 2.256299415659946, 2.1785746248994395, 2.0306573345831245, 2.2015947654866195, 2.115007392680486, 1.8442916610043552, 2.1858766217445273, 2.1224633522610654, 2.013889473626086, 2.149100349902023, 1.9843402338816327, 1.9679231550394884, 2.1314366673812692, 2.0402143936130246, 2.1332940910065177, 1.994324378828554, 2.2851503088747265, 2.025141369184448, 2.142778244010125, 2.053908941060416, 2.247897064798436, 1.898096301363519, 2.1569974047953693, 2.004385542758986, 2.1420147441795985, 1.8681487035287885, 2.2489932870635583, 2.0927592477403794, 1.969981637381118, 1.974615704337841, 2.0533965273337165, 2.149146454935102, 1.96022292297895, 2.1679940367714265, 1.8659770191870548, 2.174963033473348, 2.0324101492160045, 2.147463264212101, 2.102537628013188, 2.0567133609390327, 2.0688616328413065, 2.015913489521865, 2.078370694278811, 2.3787019747938705, 1.9607894144698195, 2.1171352391590115, 2.1298774126859996, 2.211526169307817, 2.048984363627884, 2.0943835138738134, 1.8788954507569486, 2.1608058211995025, 2.1421434013404, 2.156971596712138, 1.9847947232592165, 1.9513587166143525, 2.2672471941022563, 2.1349839569212556, 2.0057124030800706, 1.887613990836721, 2.1011657543108306, 1.9614223587246986, 2.1107720408930284, 2.0621757153522613, 1.9427607233611193, 2.0518481813952376, 2.1417827724017604, 2.023183696001487, 2.077720240475637, 2.342766385024759, 1.8698031313825172]",2.076,0.132
./preprocessed_data_mis_not_standarized\forestfires_preprocessed.csv,0.2,RF[mss3],"[1.990023611938014, 2.120685393070354, 2.0593896789541524, 2.0593244002974447, 2.0163219998849615, 2.1452701678008035, 2.096670329562864, 2.014723503071139, 2.293810550986572, 1.8297394071709707, 1.7282313902117032, 2.546328541169535, 2.068963035498194, 2.094708407790832, 1.7794758424877233, 2.3377647213625075, 2.2725417510087147, 1.9632920714672302, 2.1203168221101922, 1.949835485810892, 2.0430283196986383, 2.120158295750598, 2.2903232415629993, 1.9298060421038128, 1.93956195423934, 2.0602396991203245, 2.201592193211451, 1.9495088951063475, 2.068115732632904, 2.2582590957476913, 2.1704015837069672, 2.0461966529830726, 2.204738386667236, 2.0828031029042435, 1.8347669326937284, 2.1874183238182026, 2.143246676242315, 2.01545925161347, 2.1325480037656304, 1.9942004284433108, 1.9734291766288403, 2.146997150619611, 2.0441393280696976, 2.143847323982927, 1.99831800996579, 2.2891380191263186, 2.0012775041294226, 2.1629481522432292, 2.035969283001472, 2.2281033543865365, 1.9141073413846739, 2.1575576503433576, 1.9941115620776029, 2.1534788261829414, 1.8539540389033382, 2.2456273976420413, 2.0893001307659405, 1.9558298933552187, 1.9879524111634002, 2.0449569742786737, 2.154638532446607, 1.969791910462123, 2.1571883957119122, 1.844299275750434, 2.169046014265994, 2.008919979520673, 2.1481978211950308, 2.093038750702519, 2.071418505575196, 2.0541963616501486, 2.0202674890964207, 2.069746056698531, 2.3916339985704735, 1.9496268184920664, 2.1070009617826146, 2.1130284753988473, 2.206819446596736, 2.027612242079926, 2.0768122303933088, 1.8841551856355225, 2.1407420546345026, 2.132870681101946, 2.1674243061652887, 1.988225331052989, 1.9507688598949073, 2.2710068491239257, 2.132336052225556, 1.9993187362955727, 1.8822144177758031, 2.08249189106675, 1.9564516505003255, 2.097043030955069, 2.054263246467227, 1.9583357865539168, 2.0420578632203426, 2.1672193174009817, 2.019120225575359, 2.0806750720670344, 2.3236539652563324, 1.8623442685255012]",2.074,0.133
./preprocessed_data_mis_not_standarized\forestfires_preprocessed.csv,0.2,RF[mss4],"[1.9946871891671034, 2.101805908282973, 2.0440916782999072, 2.047526120238309, 2.0141666942062844, 2.1522908561543956, 2.0926322654232714, 2.0037295151680503, 2.3003392132382645, 1.8399325466443728, 1.7238082789957394, 2.544817168983741, 2.051477479722369, 2.104938374170362, 1.765457983132649, 2.3293482727162345, 2.259882102553585, 1.9419421107423402, 2.124351349338282, 1.956898097819227, 2.0522715270798377, 2.1058431636182213, 2.3007503446887188, 1.9173493872934353, 1.9382119388278145, 2.063252248677343, 2.204867521158616, 1.9293070990357326, 2.0204975870279727, 2.2483891208162197, 2.1925897155876584, 2.044269877413504, 2.1966373376128114, 2.0808263942662286, 1.8490250246834223, 2.1801205225108276, 2.1242817062404855, 2.0160950228467325, 2.1671518806027845, 1.9840814084366247, 1.97683050826875, 2.1325436696165005, 2.043375699577973, 2.145903731729448, 1.9763142100058455, 2.298182573062679, 1.9888264138481708, 2.1461110612534355, 2.0527496060590016, 2.2259865347838232, 1.9212728142921605, 2.157617380156185, 1.9823047962407399, 2.1676896000004016, 1.8455682634797803, 2.247335902028099, 2.0902951973760375, 1.9546377130313712, 1.971419465527691, 2.054396901297067, 2.1473599747832814, 1.959292635677789, 2.1805998225354557, 1.8423908205782915, 2.1588960425715893, 2.0149279933961286, 2.120338956799413, 2.0872520368144056, 2.0530379419464007, 2.0436127233529087, 2.0310842800814233, 2.0565083553841257, 2.382278814839945, 1.9628438358171632, 2.105845228785009, 2.106487513408579, 2.209783326552932, 2.038295510115018, 2.0765765908568024, 1.9011824001878899, 2.144647104547784, 2.129874526041678, 2.150954516047541, 1.9688763930158282, 1.9300811190943397, 2.266857577722659, 2.138275146963514, 2.0085677131891733, 1.8799319814304558, 2.1034513003267854, 1.9588533160230486, 2.101648944439945, 2.0392682991296063, 1.9528639938921497, 2.0238214006433837, 2.152562440350163, 2.0179863784128136, 2.0719823554250056, 2.3150546859628562, 1.8737372130295173]",2.071,0.134
./preprocessed_data_mis_not_standarized\forestfires_preprocessed.csv,0.2,RF[mss6],"[1.9795983318409793, 2.1039351936271062, 2.024905964017693, 2.0477756015505806, 1.9953221875387743, 2.1302949303578695, 2.0859539471741195, 2.011437559730476, 2.298685339785546, 1.831714998644204, 1.7057783225555037, 2.5522200991237547, 2.038784830081982, 2.111915989569079, 1.7628367591048248, 2.3372063417853184, 2.232116509823298, 1.944566720896358, 2.11869153447896, 1.9589223558131401, 2.050413454965618, 2.1091360128444077, 2.289761197522972, 1.9052628780292962, 1.9314884650217061, 2.050664550581011, 2.198407223080389, 1.9332697035240483, 2.0387142912065546, 2.2373736030739253, 2.1846926175316193, 2.0488812395286686, 2.1933292000843996, 2.0657542092057044, 1.83183398930319, 2.180463915339843, 2.110160968753536, 2.0000250422292583, 2.1671159030134115, 1.9803569557654523, 1.9712006281529584, 2.1406425819787005, 2.0375233434979503, 2.112607131111324, 1.958342496471882, 2.2863774788077937, 2.0116825528500417, 2.1292030861442695, 2.0453588623350867, 2.25670175280717, 1.899806592366212, 2.136724836830466, 1.969119977116697, 2.1640056117815822, 1.8329396375788283, 2.235702000063745, 2.0794392784285662, 1.9665081561777373, 1.9733987382705662, 2.043777470800131, 2.1295603356012536, 1.9798484772272995, 2.1614260082472203, 1.8492881503837082, 2.157223364214771, 2.021200548944707, 2.118562421017756, 2.082375458695493, 2.0585770476159744, 2.0347080689157555, 2.0117600357653433, 2.0528791200450285, 2.3853761913827314, 1.9753927324036713, 2.0932059125859426, 2.098344044722107, 2.1925198510079134, 2.02271259018947, 2.0920202172578173, 1.8882785851515982, 2.1157870957999827, 2.1160758343429045, 2.1323688286010096, 1.9644244660377945, 1.9165932684632399, 2.257012294157626, 2.125945621267081, 1.9899482194464624, 1.8832280655372697, 2.101485187286176, 1.9608630915852299, 2.1167507679048825, 2.045893457392904, 1.9430268014422505, 2.0273992183851615, 2.1383515628923595, 2.002840810777074, 2.0742738434195473, 2.3072417085682817, 1.8427998538355457]",2.065,0.134
