dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
./preprocessed_data_mis_not_standarized\screen_time_preprocessed.csv,0.2,RF,"[0.30705686393939374, 0.3079466252525257, 0.3383089231313131, 0.36052446818181855, 0.2964871026262622, 0.5255028577777777, 0.22038392000000034, 0.4843854549494951, 0.38392129050505086, 0.2517146921212121, 0.4610201935353531, 0.29102954989898955, 0.22839717161616138, 0.5913712893939401, 0.20843647050505068, 0.4041976425252525, 0.3803715199999997, 0.549129233333333, 0.24989408101010105, 0.5181777242424247, 0.290076618686869, 0.30455908676767685, 0.2617111613131313, 0.4719834828282827, 0.2604409689898992, 0.49275839363636414, 0.455766734646465, 0.3922013499999999, 0.2715036790909096, 0.417311688787878, 0.313849801212121, 0.3269728508080807, 0.2994419726262625, 0.38724198797979864, 0.34678862414141376, 0.33731278525252584, 0.46152823434343526, 0.42452781060606004, 0.4135547797979801, 0.3662561741414143, 0.3471187450505046, 0.2791721874747477, 0.24889039060606083, 0.32787312151515113, 0.3587234424242424, 0.28817115929292925, 0.39047366808080847, 0.34171994222222246, 0.4739240090909085, 0.3098194696969699, 0.4216590930303032, 0.30168505848484894, 0.3858128352525255, 0.3873607621212124, 0.19001373303030342, 0.4246026541414138, 0.28871126353535376, 0.5188114061616164, 0.4197214484848479, 0.2919370055555557, 0.7181149827272716, 0.34587836515151554, 0.5125970857575756, 0.18977319101010115, 0.22008150969696952, 0.36857274505050525, 0.41183372525252443, 0.40011196333333354, 0.2260152638383843, 0.4684104574747473, 0.3081295493939399, 0.35700914989898996, 0.32988161686868667, 0.3482277056565654, 0.2854035952525253, 0.3876703220202019, 0.2927072314141409, 0.30132839050505117, 0.4624127323232327, 0.24227688818181847, 0.5323904487878793, 0.14664215888888868, 0.3587655405050499, 0.4008869120202019, 0.4906062719191921, 0.2270766983838387, 0.4259048831313132, 0.2287880851515153, 0.4171962893939393, 0.4769309615151514, 0.27475149444444436, 0.30214432787878814, 0.3828748137373738, 0.23690835000000024, 0.3876553462626269, 0.23665777969696972, 0.4252469289898992, 0.21119865898989917, 0.27578612464646496, 0.3454810463636366]",0.356,0.100
./preprocessed_data_mis_not_standarized\screen_time_preprocessed.csv,0.2,RF[200],"[0.3229997275505052, 0.3000859159848484, 0.3174678324747476, 0.3660499066414134, 0.3054832247474744, 0.5029621906565661, 0.19966140497474744, 0.48462126416666546, 0.4000960057070721, 0.2666187803030294, 0.4123958028030311, 0.28020977530303015, 0.21636286111111072, 0.5745035019444447, 0.21593897459595934, 0.4275503992424235, 0.3555689814141411, 0.598175673611112, 0.28301966505050635, 0.5036032337626261, 0.274309709065656, 0.30260813313131263, 0.24740567224747398, 0.42270158555555737, 0.24329216714646484, 0.5255339104292928, 0.40046953608585945, 0.3781352676010081, 0.24624255739898934, 0.41656848409091096, 0.3024963505050498, 0.34148900123737275, 0.31485051790403945, 0.37642246136363616, 0.3283694229797982, 0.30270304141414117, 0.4487549215656581, 0.3964037962121198, 0.45243596803030317, 0.36760137671717186, 0.34855829207070754, 0.2703871461111111, 0.2586166634090907, 0.3305559169444435, 0.33088584595959647, 0.27908819714646405, 0.3326179923989902, 0.3479599098989901, 0.45941370994949265, 0.2864080052020206, 0.4156051929040394, 0.2954868989141423, 0.39372926674242387, 0.3946026335101023, 0.21119589992424317, 0.4149153073989897, 0.2744740311616164, 0.5107354930050498, 0.3866714900000003, 0.2845936763383837, 0.6706077583585855, 0.31658342244949517, 0.5360817715656547, 0.2202589837121208, 0.23117130287878776, 0.3513484044191923, 0.4390550030050478, 0.3589679362121216, 0.23207116398989902, 0.4154110774242411, 0.32739193063131317, 0.3529841465404041, 0.3433156606060612, 0.35223887340909055, 0.28734846974747413, 0.40168569270201976, 0.31896486702020194, 0.3278897683838386, 0.46336100361110977, 0.2411188536111114, 0.5317533543181832, 0.16137788757575697, 0.3256392881818172, 0.39069066856060575, 0.4917591419444437, 0.20131676181818278, 0.4533692663131294, 0.22925676777777845, 0.3947366187878793, 0.4808383344191916, 0.2920000793434349, 0.30768712083333283, 0.3807565152272726, 0.2477356842424235, 0.3783809348232321, 0.24679698568181765, 0.4417984381060613, 0.22726426492424262, 0.2566536351515148, 0.3330460011111104]",0.352,0.097
./preprocessed_data_mis_not_standarized\screen_time_preprocessed.csv,0.2,RF[500],"[0.3027675023636374, 0.2875250160525264, 0.2925560893292933, 0.38137748056161724, 0.29939989728889144, 0.47391715590303, 0.18986135235959747, 0.5093858783959591, 0.38264977540202244, 0.24249105267070775, 0.4211309925292945, 0.2603744993414164, 0.21562509102626445, 0.5224391259111106, 0.207664544472729, 0.4248621189333325, 0.35420153983838365, 0.5435860279393974, 0.2478147071191925, 0.4767834677373712, 0.28567244840404044, 0.30874621043636297, 0.23671958307878965, 0.4244666702383827, 0.24310569288485043, 0.46169255101009826, 0.3940904725333361, 0.3728889214141365, 0.2422471869010126, 0.3949435834222248, 0.29230847244444585, 0.35399046816969354, 0.2888823620444459, 0.35748828419797885, 0.3252370601696949, 0.30317247618990173, 0.42266508333737496, 0.4006909868727239, 0.40100672155959693, 0.36400156434747316, 0.32893821644040594, 0.25327884439595966, 0.23920819101818008, 0.31429666006464957, 0.3210522046666668, 0.27014672464242623, 0.35641047884040267, 0.3394573413858598, 0.48086177437575733, 0.2780898281373744, 0.38829751762828274, 0.2789826017333325, 0.410305510315153, 0.34986507226263, 0.20091875220202127, 0.38400322040808205, 0.2697298992242427, 0.45968651842424224, 0.38055957853333594, 0.25674914408484634, 0.6600568107434354, 0.26078321119595893, 0.499977485135353, 0.23857461152323353, 0.22789948045252556, 0.3559876918060607, 0.4120466517737362, 0.3689941730303071, 0.2163236534505053, 0.41730445830707097, 0.31027544861818124, 0.3511662791959595, 0.34485397134141715, 0.3227471011353547, 0.28596303700606207, 0.3928541711353541, 0.30529002204848477, 0.3282173627515151, 0.469294220197978, 0.23268376411717281, 0.5301417334666667, 0.18070902745454706, 0.3311939532404029, 0.40069127152727135, 0.4880430472121211, 0.20167097006060772, 0.4774216872686851, 0.2211549025899013, 0.40534484353131306, 0.4759245458101026, 0.2956597914787887, 0.3260574312484858, 0.3951480314626248, 0.2517763677899006, 0.354129414113131, 0.23041324236363736, 0.43054983683232684, 0.23755874757979945, 0.265845940101011, 0.31390618233939405]",0.343,0.093
./preprocessed_data_mis_not_standarized\screen_time_preprocessed.csv,0.2,RF[md10],"[0.30705686393939385, 0.3079466252525257, 0.3383089231313131, 0.36052446818181855, 0.29648710262626216, 0.5255028577777777, 0.22038392000000037, 0.4843854549494952, 0.38392129050505075, 0.25171469212121234, 0.46102019353535323, 0.29102954989898944, 0.2283971716161615, 0.5913712893939401, 0.20843647050505063, 0.40419764252525253, 0.38037152, 0.5491292333333332, 0.24989408101010124, 0.5181777242424245, 0.2900766186868689, 0.30455908676767696, 0.2617111613131313, 0.4719834828282831, 0.26044096898989927, 0.4927583936363641, 0.4557667346464651, 0.3922013500000002, 0.27150367909090956, 0.4173116887878783, 0.31384980121212114, 0.32697285080808075, 0.2994419726262626, 0.38724198797979875, 0.34678862414141376, 0.33731278525252595, 0.4615282343434351, 0.42452781060605993, 0.4135547797979802, 0.36625617414141426, 0.3471187450505047, 0.2791721874747476, 0.24889039060606083, 0.3278731215151513, 0.3587234424242424, 0.2881711592929292, 0.3904736680808083, 0.3417199422222227, 0.47392400909090826, 0.3098194696969698, 0.4216590930303031, 0.30168505848484906, 0.3858128352525255, 0.3873607621212124, 0.19001373303030336, 0.42460265414141396, 0.2887112635353537, 0.5188114061616163, 0.4197214484848482, 0.29193700555555585, 0.7181149827272723, 0.3458783651515156, 0.5125970857575755, 0.18977319101010098, 0.22008150969696977, 0.3685727450505053, 0.41183372525252454, 0.4001119633333335, 0.2260152638383843, 0.4684104574747471, 0.30812954939394, 0.35700914989898996, 0.3298816168686868, 0.3482277056565655, 0.2854035952525253, 0.3876703220202021, 0.29270723141414107, 0.30132839050505106, 0.46241273232323227, 0.2422768881818183, 0.5323904487878796, 0.14664215888888876, 0.35876554050504983, 0.4008869120202022, 0.4906062719191921, 0.2270766983838387, 0.4259048831313134, 0.22878808515151544, 0.41719628939393927, 0.4769309615151513, 0.27475149444444447, 0.3021443278787881, 0.3828748137373737, 0.23690835000000035, 0.38765534626262643, 0.23665777969696966, 0.4252469289898992, 0.21119865898989917, 0.275786124646465, 0.34548104636363647]",0.356,0.100
./preprocessed_data_mis_not_standarized\screen_time_preprocessed.csv,0.2,RF[md15],"[0.30705686393939385, 0.30794662525252553, 0.33830892313131306, 0.3605244681818183, 0.2964871026262622, 0.5255028577777778, 0.22038392000000043, 0.4843854549494949, 0.38392129050505097, 0.2517146921212122, 0.4610201935353534, 0.29102954989898944, 0.22839717161616147, 0.5913712893939401, 0.20843647050505057, 0.4041976425252525, 0.38037151999999974, 0.5491292333333333, 0.24989408101010122, 0.5181777242424245, 0.2900766186868689, 0.30455908676767685, 0.26171116131313127, 0.4719834828282831, 0.2604409689898992, 0.492758393636364, 0.45576673464646494, 0.3922013499999999, 0.27150367909090956, 0.4173116887878783, 0.31384980121212097, 0.32697285080808053, 0.2994419726262628, 0.38724198797979864, 0.3467886241414139, 0.33731278525252584, 0.46152823434343543, 0.42452781060606015, 0.4135547797979803, 0.36625617414141426, 0.3471187450505047, 0.2791721874747477, 0.24889039060606089, 0.3278731215151515, 0.3587234424242424, 0.28817115929292936, 0.39047366808080836, 0.34171994222222263, 0.47392400909090837, 0.30981946969696983, 0.42165909303030336, 0.30168505848484917, 0.3858128352525254, 0.3873607621212125, 0.1900137330303034, 0.424602654141414, 0.2887112635353537, 0.5188114061616166, 0.4197214484848481, 0.2919370055555557, 0.7181149827272718, 0.34587836515151554, 0.5125970857575757, 0.1897731910101011, 0.2200815096969698, 0.3685727450505053, 0.4118337252525243, 0.4001119633333335, 0.2260152638383843, 0.4684104574747471, 0.30812954939393994, 0.35700914989898996, 0.3298816168686868, 0.34822770565656574, 0.2854035952525254, 0.3876703220202019, 0.29270723141414107, 0.30132839050505106, 0.4624127323232325, 0.24227688818181822, 0.5323904487878796, 0.1466421588888887, 0.35876554050504994, 0.4008869120202019, 0.4906062719191922, 0.2270766983838387, 0.4259048831313132, 0.22878808515151536, 0.4171962893939391, 0.4769309615151512, 0.2747514944444444, 0.30214432787878814, 0.3828748137373738, 0.23690835000000035, 0.38765534626262665, 0.23665777969696966, 0.4252469289898994, 0.2111986589898992, 0.2757861246464649, 0.3454810463636367]",0.356,0.100
./preprocessed_data_mis_not_standarized\screen_time_preprocessed.csv,0.2,RF[md20],"[0.3070568639393939, 0.3079466252525256, 0.33830892313131306, 0.3605244681818184, 0.29648710262626204, 0.5255028577777777, 0.22038392000000034, 0.48438545494949514, 0.38392129050505075, 0.2517146921212122, 0.4610201935353534, 0.29102954989898955, 0.2283971716161614, 0.5913712893939403, 0.20843647050505074, 0.40419764252525237, 0.3803715199999997, 0.549129233333333, 0.2498940810101013, 0.5181777242424246, 0.29007661868686896, 0.30455908676767685, 0.2617111613131312, 0.47198348282828295, 0.26044096898989927, 0.492758393636364, 0.45576673464646494, 0.39220135000000006, 0.27150367909090944, 0.41731168878787855, 0.3138498012121211, 0.32697285080808075, 0.29944197262626265, 0.38724198797979853, 0.3467886241414139, 0.3373127852525256, 0.4615282343434352, 0.4245278106060601, 0.4135547797979803, 0.36625617414141426, 0.3471187450505048, 0.27917218747474765, 0.24889039060606077, 0.32787312151515136, 0.3587234424242425, 0.2881711592929293, 0.39047366808080836, 0.34171994222222263, 0.47392400909090876, 0.3098194696969698, 0.421659093030303, 0.3016850584848491, 0.3858128352525255, 0.3873607621212124, 0.1900137330303034, 0.424602654141414, 0.2887112635353537, 0.5188114061616166, 0.4197214484848484, 0.29193700555555585, 0.7181149827272719, 0.34587836515151543, 0.5125970857575755, 0.18977319101010107, 0.22008150969696988, 0.3685727450505053, 0.4118337252525245, 0.4001119633333333, 0.22601526383838433, 0.4684104574747471, 0.30812954939393983, 0.35700914989899, 0.32988161686868667, 0.34822770565656536, 0.2854035952525252, 0.387670322020202, 0.29270723141414107, 0.3013283905050511, 0.4624127323232326, 0.24227688818181842, 0.5323904487878792, 0.14664215888888876, 0.3587655405050497, 0.4008869120202021, 0.49060627191919204, 0.22707669838383882, 0.42590488313131314, 0.2287880851515153, 0.4171962893939393, 0.4769309615151512, 0.27475149444444436, 0.3021443278787882, 0.38287481373737364, 0.23690835000000032, 0.38765534626262665, 0.23665777969696955, 0.425246928989899, 0.2111986589898992, 0.2757861246464647, 0.3454810463636367]",0.356,0.100
./preprocessed_data_mis_not_standarized\screen_time_preprocessed.csv,0.2,RF[md25],"[0.3070568639393938, 0.3079466252525256, 0.33830892313131294, 0.3605244681818184, 0.29648710262626227, 0.5255028577777779, 0.22038392000000043, 0.484385454949495, 0.38392129050505086, 0.25171469212121234, 0.46102019353535334, 0.29102954989898966, 0.22839717161616135, 0.5913712893939399, 0.2084364705050506, 0.4041976425252526, 0.3803715199999998, 0.549129233333333, 0.24989408101010124, 0.5181777242424248, 0.29007661868686885, 0.30455908676767685, 0.26171116131313116, 0.4719834828282831, 0.2604409689898992, 0.492758393636364, 0.4557667346464652, 0.3922013499999998, 0.27150367909090956, 0.4173116887878783, 0.31384980121212114, 0.3269728508080807, 0.2994419726262628, 0.38724198797979864, 0.3467886241414138, 0.33731278525252595, 0.4615282343434352, 0.4245278106060598, 0.4135547797979802, 0.36625617414141426, 0.3471187450505048, 0.2791721874747477, 0.248890390606061, 0.3278731215151511, 0.3587234424242425, 0.2881711592929294, 0.3904736680808086, 0.3417199422222227, 0.4739240090909086, 0.3098194696969697, 0.42165909303030313, 0.30168505848484906, 0.3858128352525254, 0.38736076212121234, 0.19001373303030336, 0.42460265414141385, 0.2887112635353537, 0.5188114061616166, 0.41972144848484827, 0.29193700555555563, 0.718114982727272, 0.34587836515151543, 0.5125970857575757, 0.1897731910101011, 0.22008150969696977, 0.3685727450505053, 0.41183372525252465, 0.40011196333333343, 0.22601526383838422, 0.4684104574747473, 0.3081295493939398, 0.3570091498989902, 0.32988161686868667, 0.3482277056565654, 0.2854035952525254, 0.387670322020202, 0.29270723141414096, 0.30132839050505106, 0.4624127323232325, 0.24227688818181822, 0.5323904487878793, 0.14664215888888876, 0.35876554050504994, 0.4008869120202019, 0.4906062719191921, 0.2270766983838389, 0.4259048831313131, 0.22878808515151536, 0.41719628939393927, 0.4769309615151514, 0.2747514944444444, 0.30214432787878837, 0.3828748137373735, 0.23690835000000024, 0.3876553462626265, 0.2366577796969696, 0.4252469289898992, 0.21119865898989917, 0.27578612464646474, 0.3454810463636366]",0.356,0.100
./preprocessed_data_mis_not_standarized\screen_time_preprocessed.csv,0.2,RF[mss3],"[0.32733774834259266, 0.31712115392497164, 0.3431714909653482, 0.36905019916829446, 0.3164946919283112, 0.5399905579342033, 0.2294139459671999, 0.4994159440396747, 0.3856101252889171, 0.26740827517300786, 0.4707217691327999, 0.309975101080359, 0.23118992515443318, 0.6499343912759544, 0.23924559622502836, 0.43523785511644203, 0.41454773604797923, 0.5718877463573792, 0.27447301831240184, 0.5283022022006454, 0.3099311358889728, 0.322480214022868, 0.276839768708137, 0.4783995266824631, 0.28780949610563994, 0.5266090872399832, 0.4752006689861676, 0.4048088665705114, 0.29457959368153774, 0.45110200201178463, 0.3366776234511783, 0.3732202440321548, 0.3130109773139452, 0.4237093838289565, 0.36646906280162717, 0.3532234780021041, 0.4656369129152642, 0.47970369870852947, 0.4293848512381313, 0.4056613824090911, 0.36837906791756436, 0.2932969864717733, 0.26175449489281744, 0.33541072386102666, 0.39233581857755306, 0.3168032303928176, 0.3838536623639173, 0.3584671656600724, 0.5223101863234275, 0.32615941000662163, 0.4278595984747481, 0.3101336986090913, 0.4317975412680414, 0.3920282338124581, 0.20871305562920903, 0.4433458326498598, 0.31322548907598213, 0.5552682690192765, 0.45498676918706515, 0.3047471056790399, 0.7599892082631033, 0.3574134132039569, 0.5130417485065936, 0.21525686816548834, 0.25645784209399564, 0.3823949536083335, 0.4221524188220254, 0.4081320291235973, 0.23226009574006762, 0.47236042275134654, 0.30389350237791823, 0.374349977746212, 0.36600954887205395, 0.3649312843490461, 0.32125972112275497, 0.38811349174615595, 0.33176094419045976, 0.32328455496843445, 0.47731399038594247, 0.260013394827918, 0.5756419486777224, 0.15507829309214355, 0.3806740662787598, 0.4317659209199217, 0.5262043929987376, 0.22435760616675085, 0.4719142282066775, 0.2378961674517398, 0.447951266402806, 0.5111230677461844, 0.30207748259680134, 0.3325715801546857, 0.4077266721499156, 0.24742551182379363, 0.39851458699284503, 0.25939444759410757, 0.44606307584393917, 0.22404415117623458, 0.289996064060522, 0.36171139336798613]",0.377,0.104
./preprocessed_data_mis_not_standarized\screen_time_preprocessed.csv,0.2,RF[mss4],"[0.36066491618271596, 0.3753508167917788, 0.39394466167606673, 0.3977960002105783, 0.39465593718266007, 0.5826931170096802, 0.2545314362322951, 0.5690634865283674, 0.4432770842456509, 0.33645579815816534, 0.5130182913486817, 0.34414804174262087, 0.2658539585727269, 0.715935044385139, 0.26032046071046594, 0.48367883842696413, 0.46570669851324353, 0.6048226121979238, 0.2946104190620092, 0.5840556282193609, 0.34526933337668325, 0.3805182559323794, 0.3315961711280582, 0.5429137341427333, 0.3495795925837822, 0.5531522162397028, 0.4853148229483167, 0.4487893377800505, 0.33124753152471964, 0.5175694848108863, 0.3733179706137766, 0.4279000144631873, 0.34857072748765433, 0.4395676742173119, 0.4156125272858865, 0.42451756220106523, 0.48033119993832835, 0.5119555634742143, 0.4697675318568747, 0.4666073339729237, 0.4155396156147583, 0.3585128426598489, 0.31373557055521933, 0.3993899671198649, 0.4074286524468011, 0.35655525096776064, 0.40696434024932704, 0.40683194709118936, 0.5733144533962401, 0.34687228057962344, 0.4743304282020767, 0.3479215637940519, 0.49453610759663347, 0.42369813510886667, 0.2241638646323235, 0.48380733152255884, 0.33836610469121814, 0.595851725440236, 0.4944525313625139, 0.3480576665622893, 0.8069422095598758, 0.4015144670340351, 0.5734130141228116, 0.24381116882567366, 0.2791657114948093, 0.4523147420355502, 0.5012544533085297, 0.43669051398627945, 0.25583207501481503, 0.5350188583069584, 0.3614759347019922, 0.4062193499941075, 0.3990801076689956, 0.39843928271360823, 0.37009371653890927, 0.444951079515713, 0.3783318041902354, 0.3575247630316497, 0.5384216536471097, 0.2580233681754769, 0.5882539583807241, 0.1809144117485409, 0.446862433406313, 0.4990030799793207, 0.5683695922686026, 0.25771345120143074, 0.5374285932724465, 0.2629084036765152, 0.4854365614382437, 0.5878373886726718, 0.345213273512458, 0.3803278292278055, 0.4520970698521325, 0.2880197941648152, 0.4717908872972221, 0.2808482946238774, 0.46237558308221194, 0.2539793464960156, 0.3211601892605782, 0.4303139245496361]",0.420,0.110
./preprocessed_data_mis_not_standarized\screen_time_preprocessed.csv,0.2,RF[mss6],"[0.4766577777012695, 0.4934422833616462, 0.5457964447444367, 0.5410014904148562, 0.5630315852026352, 0.7177554484950283, 0.35752018598620955, 0.7104322374449772, 0.5438905120780543, 0.4725544764244736, 0.6702919381082788, 0.43321050696358243, 0.35813891083969607, 0.8859296101689899, 0.36818650714632245, 0.6102020126530358, 0.6367876635853259, 0.6858783274286088, 0.4120810302384964, 0.687786507588546, 0.5039388620735726, 0.5171808750793525, 0.4259099793211532, 0.6249413728110337, 0.4925244327545761, 0.7114687624767613, 0.6312632973189196, 0.5778507109033358, 0.46495528516677215, 0.6388853660842985, 0.46993003586700105, 0.5737766288034581, 0.4657276501831399, 0.5798500001366371, 0.5074672766312435, 0.5366528620171466, 0.5521875186419433, 0.6829478750021541, 0.5855389653231968, 0.680220320861908, 0.5541360163611629, 0.4756748876743127, 0.369313716019003, 0.5566696110631818, 0.5355571983605097, 0.4726130669878812, 0.5039397436435072, 0.5312055165652153, 0.7675277691968555, 0.44667129611760387, 0.6447519023754188, 0.42633971574836044, 0.622015551173813, 0.5197106725771412, 0.3287833624953524, 0.6375034884471463, 0.4293829709902441, 0.7495220285039452, 0.6534320442938686, 0.4645970797577058, 1.000983921099217, 0.5384881113830111, 0.7006738767731966, 0.369949632731472, 0.4058683953749714, 0.5792699663123914, 0.6557152710443246, 0.5201927599863504, 0.33263510122589124, 0.6945258735789139, 0.5093636905388489, 0.5832861931065234, 0.515043922527681, 0.5302044607833803, 0.5149316328920904, 0.5444508284374309, 0.5096167407256874, 0.436279726441865, 0.707243612746015, 0.364742632404282, 0.7667768687409413, 0.2688888114230534, 0.6791789984604099, 0.6086464535519333, 0.7190924111661643, 0.38801270295588114, 0.7127028737233441, 0.3587847706716575, 0.6337693166705418, 0.765618809291568, 0.4620869517602739, 0.5630527846353868, 0.5974401392083096, 0.4032105563906997, 0.6102039309656514, 0.3910542473944855, 0.6270887446086492, 0.39454435425556095, 0.4599826325142905, 0.5457918136347765]",0.551,0.128
