dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
./preprocessed_data_mis_not_standarized\servo_preprocessed.csv,0.2,RF,"[0.5756549963789321, 0.8653748234376769, 0.36780238987405156, 0.902807920314473, 0.6690382691389851, 0.7087775625414118, 0.5189191556537148, 0.8275689631517013, 0.71735926215691, 0.8052802797617552, 0.73453569640837, 0.8238114639695393, 0.8335941767756426, 0.9394030688207942, 0.5981719988715295, 1.0434746035184415, 0.7609400603729275, 0.7924909359958078, 0.6659436282405758, 1.1501990324669222, 0.40779288260290414, 1.256379926735948, 1.1688136312902846, 0.6397058681078661, 0.6316788298051301, 0.8292298890141673, 0.6807463083343107, 0.7785527050434604, 0.9745423450432508, 0.691391409408778, 0.7243825340449696, 0.7317651606661378, 1.0662268984635457, 0.36304575460045463, 0.6650712618029166, 0.9399679010002562, 0.7902565634695358, 0.9964664470246536, 0.7318484541537853, 0.7211572583136404, 0.7603537988537644, 0.7761022248062523, 0.7936251271427148, 0.6206631501649302, 0.6052848537556778, 0.6560949336007476, 0.49729617310190205, 0.8465620566956384, 0.7020125238285955, 0.7874500485535938, 0.7750430283895768, 0.6710547722806435, 0.691722681136898, 0.5559033279241872, 1.113159493851202, 0.4700873002241983, 0.5999641517545079, 0.8903640976259918, 0.801482556636311, 0.6993709583694507, 1.0918741935622736, 0.6853882462793149, 1.0872255800101849, 0.46670750579568127, 0.6250659600994767, 0.6201266514613882, 0.7105829055941667, 1.0538030601613555, 0.5626839225345435, 0.9371388791620234, 0.8369559905799264, 0.6172557905579962, 0.9586388960677388, 0.5084327371334948, 1.5673552358145355, 0.6521195617479068, 0.7557140196287386, 0.7989764864557629, 0.48849679579078975, 0.8125087533206811, 0.5807854044726428, 1.0600576157126906, 0.7966828084460676, 0.6298707143089922, 0.6743671077767375, 0.6256424912948402, 1.0806793952399707, 0.619258716259786, 1.1287756054397837, 0.8007468180469882, 0.9078347514313075, 0.6628986857278598, 0.9839227217137955, 0.5600032808487511, 0.5761141073050268, 0.7647768672183586, 0.45550792234290277, 0.8535482518203843, 0.8410379538084375, 0.725434946432149]",0.766,0.203
./preprocessed_data_mis_not_standarized\servo_preprocessed.csv,0.2,RF[200],"[0.5665376481942327, 0.8453492934125579, 0.3833524876444033, 0.889462886080883, 0.6496065630018358, 0.7208639885880694, 0.46572756093775375, 0.8033618369404065, 0.8030460785537076, 0.77446191961331, 0.6914784027160213, 0.7641158174814844, 0.8957145133987693, 0.9936144529007302, 0.5323543304110981, 1.0302992203676111, 0.7440078177229814, 0.7788749123825845, 0.6361146905341546, 1.1543626833756993, 0.3836821420753144, 1.2494276610772932, 1.0226715629798027, 0.7442278971267041, 0.6048294373376153, 0.7867455808449314, 0.6484562363177926, 0.8560049417387144, 0.970853588645106, 0.6307946947110729, 0.7043482111938303, 0.7262402390171548, 1.0422013063424334, 0.3486539517366794, 0.6550489221701841, 0.9180423107857782, 0.8228426637152549, 0.8979638800455341, 0.6924969765775251, 0.751056121267229, 0.6795383262325799, 0.8212455261488986, 0.8162213025333732, 0.6490983065634346, 0.6107678098787029, 0.6509888746884955, 0.44905574544892296, 0.8840181906287793, 0.7069487445863446, 0.7358686290693518, 0.7783728552150547, 0.6202768568054898, 0.6777159634149733, 0.5736190606294819, 1.0711272356469628, 0.46759428871082337, 0.5877406810104513, 0.8568411578814501, 0.7670290121607386, 0.7133949047254253, 1.100807892737198, 0.6878349118018665, 1.0902523031977696, 0.4346370618775194, 0.618088649809633, 0.5958811605991006, 0.6913636087714103, 0.9699670368748912, 0.6829137843001546, 0.9678729011540815, 0.7933179403242347, 0.6539940525116391, 0.9498240142477514, 0.5209904608654639, 1.39135307567491, 0.6754120841509421, 0.6837950401750749, 0.7466407926060155, 0.4840739136819706, 0.813386891589078, 0.5625474396661391, 1.0278651673731851, 0.7688780007947238, 0.620115270078856, 0.6672647838936246, 0.5768958550791775, 1.0143548351980418, 0.5767521207494215, 1.156583531625757, 0.7152293045249486, 0.9054103580077317, 0.64766568281236, 0.9732716078469946, 0.549976357083241, 0.5944851611597655, 0.7488269548054729, 0.47795769004123256, 0.7812203637260947, 0.8346650163246956, 0.7150227283012847]",0.752,0.194
./preprocessed_data_mis_not_standarized\servo_preprocessed.csv,0.2,RF[500],"[0.5225813522746188, 0.8232108728784355, 0.3691263313677023, 0.8764362981155541, 0.6437112160676521, 0.7343272535303967, 0.427837965112449, 0.812812281932726, 0.7447533745388624, 0.7862475609008647, 0.6776011667538235, 0.7462947735965937, 0.8917152284064196, 0.9946766753150613, 0.5081065067363256, 1.0613683631419935, 0.727443047310628, 0.7452581297215874, 0.6928470383048843, 1.102576840511098, 0.4011110518309373, 1.2708832998871276, 1.071333099942056, 0.7286961762669909, 0.6231203055757168, 0.7975374833335479, 0.6662121548209592, 0.8707591859650828, 0.9676307128514327, 0.5956674176183938, 0.7008669392520298, 0.7047154488261619, 1.068517260390035, 0.32599593244586966, 0.7032740747066784, 0.8538093827855108, 0.8306895817759496, 0.8623079365624476, 0.700766323792265, 0.7794312968243878, 0.6447201633145367, 0.8733373611661591, 0.8499778210691208, 0.6872369684877283, 0.6219446792639496, 0.6749683038344122, 0.46895093532377624, 0.8782934953014202, 0.7103199023472966, 0.6847456160312642, 0.7785185048117007, 0.6325766176179219, 0.6449740606911538, 0.5815414318603689, 1.0630869417320903, 0.4682554885417744, 0.5703261887075131, 0.8760188135194035, 0.7652890011575069, 0.7331729062032637, 1.0879344028460614, 0.683379308012913, 1.0359147363805123, 0.4204744681813358, 0.6202949581158497, 0.5858610025204193, 0.6811152851229939, 1.0160856162220069, 0.6534562225167092, 0.9803478528749761, 0.7903893405662001, 0.6697103275870823, 0.9847067966082503, 0.5051655335808751, 1.3570115006372312, 0.6406221474091981, 0.6510344672789665, 0.7360387465815799, 0.4884863203078226, 0.8026113237695341, 0.582131540595663, 0.9832993800317474, 0.7430167707865797, 0.6194356304492603, 0.6540037337960569, 0.5669139954760063, 0.9794127245757986, 0.5651440056272544, 1.1673049382949954, 0.6847452035643846, 0.9053946684838414, 0.6230717506818687, 0.9469216030625682, 0.5594864357984501, 0.6202195953963308, 0.7565270180067865, 0.45290086980251754, 0.7945193379929376, 0.7840497230810817, 0.7276671432908807]",0.747,0.195
./preprocessed_data_mis_not_standarized\servo_preprocessed.csv,0.2,RF[md10],"[0.5756549963789321, 0.8653748234376769, 0.36780238987405167, 0.9028079203144731, 0.669038269138985, 0.7087775625414119, 0.518919155653715, 0.8275689631517009, 0.71735926215691, 0.8052802797617551, 0.7345356964083699, 0.8238683254068458, 0.8335941767756426, 0.9393929300409667, 0.5981719988715296, 1.0434746035184412, 0.7609400603729275, 0.7924909359958077, 0.6659436282405756, 1.150199032466923, 0.4077928826029042, 1.2563799267359477, 1.168813631290285, 0.639705868107866, 0.6316788298051301, 0.8292298890141673, 0.6807463083343107, 0.7785527050434603, 0.9745423450432507, 0.6913914094087781, 0.7243825340449693, 0.731765160666138, 1.0662268984635455, 0.3630457546004547, 0.6650712618029168, 0.9399679010002562, 0.7902565634695359, 0.9964664470246535, 0.7318484541537852, 0.7211572583136403, 0.7603537988537644, 0.7761022248062522, 0.7936251271427146, 0.6206631501649302, 0.6052848537556778, 0.6560949336007473, 0.4972961731019022, 0.8465620566956384, 0.7020125238285955, 0.7874500485535938, 0.7750430283895768, 0.6710547722806435, 0.6917226811368979, 0.5559033279241873, 1.113159493851202, 0.4700873002241982, 0.5999641517545079, 0.8903640976259918, 0.8014825566363112, 0.6993709583694508, 1.0918741935622733, 0.685388246279315, 1.087225580010185, 0.4667075057956814, 0.6250659600994768, 0.6201266514613883, 0.7105829055941666, 1.0538030601613557, 0.5626839225345435, 0.9371388791620237, 0.8369559905799265, 0.6172557905579963, 0.958638896067739, 0.5084327371334946, 1.5673552358145353, 0.652119561747907, 0.7557140196287386, 0.7989764864557629, 0.48849679579078975, 0.8125087533206814, 0.5807854044726427, 1.0600576157126906, 0.7966828084460682, 0.6298707143089922, 0.6743671077767375, 0.62564249129484, 1.0806793952399711, 0.6192587162597858, 1.1287756054397835, 0.8007468180469882, 0.9078347514313078, 0.6628986857278599, 0.9839227217137958, 0.5600032808487513, 0.5761141073050265, 0.7647768672183586, 0.45550792234290277, 0.8535482518203843, 0.8410379538084375, 0.7254349464321487]",0.766,0.203
./preprocessed_data_mis_not_standarized\servo_preprocessed.csv,0.2,RF[md15],"[0.575654996378932, 0.8653748234376769, 0.3678023898740515, 0.902807920314473, 0.6690382691389851, 0.7087775625414117, 0.518919155653715, 0.8275689631517009, 0.7173592621569099, 0.8052802797617551, 0.7345356964083701, 0.8238114639695393, 0.8335941767756426, 0.9394030688207939, 0.5981719988715296, 1.0434746035184417, 0.7609400603729275, 0.7924909359958077, 0.6659436282405756, 1.1501990324669225, 0.40779288260290414, 1.2563799267359474, 1.1688136312902848, 0.639705868107866, 0.6316788298051301, 0.8292298890141673, 0.6807463083343107, 0.7785527050434601, 0.9745423450432507, 0.691391409408778, 0.7243825340449696, 0.7317651606661376, 1.0662268984635457, 0.36304575460045463, 0.6650712618029168, 0.9399679010002564, 0.7902565634695355, 0.9964664470246535, 0.7318484541537852, 0.7211572583136404, 0.7603537988537644, 0.7761022248062522, 0.7936251271427146, 0.62066315016493, 0.6052848537556778, 0.6560949336007472, 0.49729617310190205, 0.8465620566956384, 0.7020125238285955, 0.7874500485535937, 0.7750430283895768, 0.6710547722806437, 0.6917226811368978, 0.5559033279241873, 1.113159493851202, 0.47008730022419803, 0.5999641517545079, 0.8903640976259918, 0.8014825566363112, 0.699370958369451, 1.0918741935622736, 0.6853882462793152, 1.0872255800101847, 0.4667075057956814, 0.6250659600994768, 0.6201266514613885, 0.7105829055941667, 1.0538030601613557, 0.5626839225345437, 0.9371388791620234, 0.8369559905799265, 0.6172557905579964, 0.9586388960677388, 0.5084327371334948, 1.5673552358145353, 0.652119561747907, 0.7557140196287387, 0.7989764864557631, 0.48849679579078975, 0.8125087533206814, 0.5807854044726426, 1.0600576157126906, 0.796682808446068, 0.6298707143089921, 0.6743671077767373, 0.6256424912948401, 1.0806793952399711, 0.6192587162597858, 1.1287756054397835, 0.8007468180469882, 0.9078347514313075, 0.6628986857278596, 0.9839227217137957, 0.5600032808487512, 0.5761141073050267, 0.7647768672183587, 0.45550792234290277, 0.8535482518203846, 0.8410379538084375, 0.7254349464321489]",0.766,0.203
./preprocessed_data_mis_not_standarized\servo_preprocessed.csv,0.2,RF[md20],"[0.575654996378932, 0.865374823437677, 0.36780238987405156, 0.902807920314473, 0.6690382691389851, 0.7087775625414116, 0.5189191556537149, 0.8275689631517009, 0.7173592621569099, 0.8052802797617552, 0.73453569640837, 0.8238114639695394, 0.8335941767756425, 0.9394030688207943, 0.5981719988715294, 1.043474603518442, 0.7609400603729275, 0.7924909359958077, 0.6659436282405756, 1.1501990324669227, 0.4077928826029042, 1.256379926735948, 1.1688136312902853, 0.6397058681078662, 0.6316788298051301, 0.8292298890141673, 0.6807463083343107, 0.7785527050434604, 0.9745423450432504, 0.6913914094087781, 0.7243825340449696, 0.7317651606661378, 1.0662268984635457, 0.36304575460045463, 0.6650712618029169, 0.9399679010002564, 0.7902565634695359, 0.9964664470246536, 0.7318484541537851, 0.7211572583136402, 0.7603537988537644, 0.7761022248062522, 0.7936251271427146, 0.6206631501649303, 0.6052848537556779, 0.6560949336007473, 0.49729617310190216, 0.8465620566956384, 0.7020125238285956, 0.7874500485535938, 0.7750430283895768, 0.6710547722806435, 0.6917226811368978, 0.5559033279241873, 1.113159493851202, 0.47008730022419815, 0.5999641517545079, 0.8903640976259918, 0.801482556636311, 0.699370958369451, 1.0918741935622736, 0.6853882462793149, 1.0872255800101849, 0.46670750579568127, 0.6250659600994768, 0.6201266514613883, 0.7105829055941667, 1.0538030601613555, 0.5626839225345435, 0.9371388791620237, 0.8369559905799264, 0.6172557905579964, 0.958638896067739, 0.5084327371334946, 1.5673552358145355, 0.652119561747907, 0.7557140196287386, 0.7989764864557631, 0.48849679579078975, 0.8125087533206811, 0.5807854044726427, 1.0600576157126906, 0.796682808446068, 0.6298707143089922, 0.6743671077767375, 0.6256424912948401, 1.0806793952399711, 0.6192587162597857, 1.1287756054397835, 0.800746818046988, 0.9078347514313075, 0.6628986857278599, 0.9839227217137957, 0.5600032808487512, 0.5761141073050267, 0.7647768672183586, 0.45550792234290277, 0.8535482518203843, 0.8410379538084375, 0.7254349464321492]",0.766,0.203
./preprocessed_data_mis_not_standarized\servo_preprocessed.csv,0.2,RF[md25],"[0.575654996378932, 0.8653748234376769, 0.36780238987405156, 0.9028079203144731, 0.6690382691389852, 0.7087775625414117, 0.5189191556537148, 0.8275689631517009, 0.7173592621569101, 0.8052802797617551, 0.7345356964083701, 0.8238114639695391, 0.8335941767756425, 0.9394030688207943, 0.5981719988715295, 1.0434746035184415, 0.7609400603729275, 0.7924909359958077, 0.6659436282405756, 1.1501990324669225, 0.407792882602904, 1.2563799267359474, 1.1688136312902848, 0.6397058681078664, 0.6316788298051301, 0.8292298890141673, 0.6807463083343107, 0.7785527050434603, 0.9745423450432508, 0.691391409408778, 0.7243825340449696, 0.7317651606661378, 1.0662268984635455, 0.3630457546004548, 0.665071261802917, 0.9399679010002564, 0.7902565634695358, 0.9964664470246535, 0.7318484541537853, 0.7211572583136403, 0.7603537988537644, 0.7761022248062522, 0.7936251271427146, 0.6206631501649302, 0.6052848537556778, 0.6560949336007473, 0.49729617310190216, 0.8465620566956384, 0.7020125238285956, 0.7874500485535937, 0.7750430283895768, 0.6710547722806435, 0.6917226811368978, 0.5559033279241874, 1.113159493851202, 0.47008730022419815, 0.599964151754508, 0.8903640976259918, 0.8014825566363108, 0.6993709583694508, 1.0918741935622733, 0.685388246279315, 1.0872255800101847, 0.46670750579568127, 0.6250659600994768, 0.6201266514613883, 0.7105829055941667, 1.0538030601613555, 0.5626839225345435, 0.9371388791620234, 0.8369559905799265, 0.6172557905579963, 0.958638896067739, 0.5084327371334948, 1.5673552358145355, 0.6521195617479069, 0.7557140196287386, 0.7989764864557631, 0.48849679579078964, 0.8125087533206811, 0.5807854044726427, 1.0600576157126904, 0.796682808446068, 0.6298707143089922, 0.6743671077767375, 0.6256424912948402, 1.0806793952399711, 0.6192587162597858, 1.1287756054397835, 0.8007468180469882, 0.9078347514313075, 0.6628986857278597, 0.9839227217137957, 0.5600032808487513, 0.5761141073050267, 0.764776867218359, 0.45550792234290266, 0.8535482518203843, 0.8410379538084375, 0.7254349464321489]",0.766,0.203
./preprocessed_data_mis_not_standarized\servo_preprocessed.csv,0.2,RF[mss3],"[0.5700563241991013, 0.869699675890325, 0.37077332389351647, 0.954314161622568, 0.6721928801986767, 0.7425284222602061, 0.5191951054351875, 0.8510970440895407, 0.7285801671963605, 0.8397971996538205, 0.7462505077215725, 0.8288176945744159, 0.824899374118145, 0.9420427121112945, 0.6074721208950139, 1.0582881004434384, 0.7935755082617364, 0.8141722368312003, 0.702748220575782, 1.1382091611220322, 0.3992167613773801, 1.281795451427135, 1.1992003510631999, 0.6674255121529964, 0.6291442122543321, 0.8410536038909486, 0.6711690049717005, 0.8086923995711992, 0.9656155702502083, 0.6917081162365909, 0.7405492649181349, 0.7430718808522025, 1.12764707468039, 0.36749983321252205, 0.6404938169211165, 0.9766143807199322, 0.7874521710482453, 1.0171189342576616, 0.7819218727972465, 0.758687979574613, 0.7657378563171009, 0.8309104134604244, 0.8079240273973602, 0.647333907905907, 0.6403787189640715, 0.6666540696299335, 0.5119125500338452, 0.8607989973003403, 0.7267427686420426, 0.7844886901009981, 0.7996392512895214, 0.6738615463132936, 0.7109893242738523, 0.5655044610247579, 1.1153448133488397, 0.4698993366541172, 0.6159511825670939, 0.9022616970870859, 0.8028633693800815, 0.7361534078516593, 1.0431002360735173, 0.7020447283210492, 1.1015750338986425, 0.47798655270223017, 0.6292428255651219, 0.6570335878680681, 0.7120420624266223, 1.0447362692072604, 0.5767101570436153, 0.9471945851995907, 0.8437304524787325, 0.6127853149488298, 0.9704893090833521, 0.5213368975679388, 1.5860598723010018, 0.6577085733981582, 0.7468942505074099, 0.8107692466469063, 0.5110365717518646, 0.8364031528702346, 0.5976577674788912, 1.0313401893583531, 0.7881320040559642, 0.6379782798715554, 0.7130882718933247, 0.6412416671088665, 1.0956681591062032, 0.6190738154564115, 1.129338334889155, 0.8024979900791331, 0.9194464263760144, 0.6519534760637188, 0.98242555265535, 0.5817261408745059, 0.5959338882519232, 0.7752611643820682, 0.4606908701275985, 0.9146527901758974, 0.8611869192291814, 0.7596976673621922]",0.779,0.203
./preprocessed_data_mis_not_standarized\servo_preprocessed.csv,0.2,RF[mss4],"[0.6104016335906282, 0.9133203155670647, 0.40167223025718524, 1.0208165463634913, 0.710390438664833, 0.8041086194805123, 0.5505436373615659, 0.9136879214898793, 0.7557299912060692, 0.8730701384099853, 0.7769828864381646, 0.8554950490184167, 0.8208163189117333, 1.069671632590225, 0.6219266639026377, 1.120721521730612, 0.8261958674051706, 0.8297933518751613, 0.7342867409456714, 1.2395766429059976, 0.4296246201034427, 1.3179328764548455, 1.286637574075802, 0.7031017918472926, 0.6690714553011525, 0.8807114206028864, 0.7383170166142959, 0.8615047168952266, 0.9885322449196883, 0.7006523113632794, 0.7678244038570332, 0.7971178984279265, 1.1910135005470361, 0.38475217550290364, 0.6942188471768274, 1.004285285075881, 0.8324544034350054, 1.061962068298577, 0.793683043324707, 0.8185976343664474, 0.8118421979558258, 0.8900902463516793, 0.8298833167681379, 0.6842847228117567, 0.6941285034868034, 0.7417687071906598, 0.5762911940524115, 0.9023982378696457, 0.7894909221712225, 0.794474499970644, 0.8265425770268823, 0.7263676470759073, 0.7396983109997065, 0.626773917264332, 1.1364206570319109, 0.4638910897448321, 0.619159835695074, 0.964943280158299, 0.8341288455236162, 0.8012232787031051, 1.1246779388273997, 0.7459528227010903, 1.2152507226220597, 0.5198308880121826, 0.7042398223672015, 0.6995857291335195, 0.7236419653303953, 1.0987891246657437, 0.5897572188334856, 0.9933772360395134, 0.873701003607852, 0.6720621017442295, 1.1044822859061278, 0.5364733635466341, 1.6331753464143215, 0.6702584735566138, 0.7139987652381438, 0.8318026275283289, 0.5619295183622104, 0.8904915169940096, 0.6347694739941653, 1.1074373388981105, 0.8277069489910678, 0.6804011584275067, 0.7775955452313897, 0.6858582734236595, 1.154181451983894, 0.6328090725751896, 1.169303562066143, 0.841524411743641, 0.9777826471080273, 0.7042823228968637, 1.0423804990737269, 0.6091227625789832, 0.6291418713899622, 0.829322797671808, 0.5081466453478746, 1.0397616939123646, 0.9370421409874723, 0.8336054840958199]",0.824,0.214
./preprocessed_data_mis_not_standarized\servo_preprocessed.csv,0.2,RF[mss6],"[0.7710105628148828, 1.1248034751610116, 0.5356088410020976, 1.1653638162692947, 0.8169344639671707, 0.9640835297237548, 0.6582498980846424, 1.107914101238025, 0.9433305147597527, 1.061612097772373, 0.8929287640682274, 0.9240805660952582, 1.0085906746362643, 1.2462020436314873, 0.6827149760943652, 1.2465457392535517, 0.9551100393489569, 0.9717695694781768, 0.9161484458080532, 1.321369560259265, 0.48496495895275626, 1.4049930503351653, 1.4327816808022047, 0.8908395653155786, 0.7814794430516783, 1.079583594463812, 0.8894429071164516, 1.0652641482829694, 1.129989234346851, 0.7401781619026574, 0.8759080885556242, 0.94515698487935, 1.3658423868887952, 0.4775134843810622, 0.9110985340539811, 1.074991227089584, 1.0011293686212246, 1.1327081043648775, 0.9015076774692181, 0.9870387292726406, 0.9013750282312989, 0.9993697113220366, 0.9577043662649531, 0.8443909685097148, 0.8688828541562286, 0.8686153336294076, 0.6813073792319158, 1.033062495626903, 0.9368688611366367, 0.8742411964451213, 0.9295304574757404, 0.8682792902227561, 0.8829011386648306, 0.7892393017032601, 1.237022154135919, 0.6082396704287676, 0.723533857436888, 1.074970972593894, 0.9656662165951527, 0.9090960350719365, 1.240366174732784, 0.8903969112194124, 1.326739040219999, 0.6398744682490997, 0.8698574413862774, 0.8838147196879358, 0.8306878346309203, 1.2596723126390021, 0.7364770055209756, 1.1346419985367815, 0.9216422180887077, 0.8682984577852254, 1.2679151262861308, 0.6890695004144668, 1.7402228517286378, 0.8294092063464081, 0.8869156514629402, 0.9737517298597108, 0.6901783767657871, 1.1033318228720272, 0.7303131696112859, 1.1100066476212889, 0.928535843858283, 0.8587485384084553, 0.946718702982008, 0.8325116797514387, 1.2385238723445948, 0.7238211687126873, 1.2546245353100973, 0.9557431706764574, 1.1099726503000373, 0.8159410032028823, 1.1201135976975962, 0.7686000714345294, 0.8137112289916246, 0.963255707441975, 0.6431020228821428, 1.1503243739513138, 1.1340987532352673, 0.9453497709011254]",0.957,0.213
